Date,Oppenheimer Ultra Div RevenueEtf_Open_average,Oppenheimer Ultra Div RevenueEtf_Open_max,Oppenheimer Ultra Div RevenueEtf_Open_min,Oppenheimer Ultra Div RevenueEtf_Open_volatility,Oppenheimer Ultra Div RevenueEtf_Open_change,Oppenheimer Ultra Div RevenueEtf_High_average,Oppenheimer Ultra Div RevenueEtf_High_max,Oppenheimer Ultra Div RevenueEtf_High_min,Oppenheimer Ultra Div RevenueEtf_High_volatility,Oppenheimer Ultra Div RevenueEtf_High_change,Oppenheimer Ultra Div RevenueEtf_Low_average,Oppenheimer Ultra Div RevenueEtf_Low_max,Oppenheimer Ultra Div RevenueEtf_Low_min,Oppenheimer Ultra Div RevenueEtf_Low_volatility,Oppenheimer Ultra Div RevenueEtf_Low_change,Oppenheimer Ultra Div RevenueEtf_Close_average,Oppenheimer Ultra Div RevenueEtf_Close_max,Oppenheimer Ultra Div RevenueEtf_Close_min,Oppenheimer Ultra Div RevenueEtf_Close_volatility,Oppenheimer Ultra Div RevenueEtf_Close_change
2018-01-14,37.21,37.21,37.21,0.0,0.0,37.34,37.34,37.34,0.0,0.0,36.98,36.98,36.98,0.0,0.0,37.33,37.33,37.33,0.0,0.0
2018-01-21,37.73,37.73,37.73,0.0,0.0,37.93,37.93,37.93,0.0,0.0,37.55,37.55,37.55,0.0,0.0,37.93,37.93,37.93,0.0,0.0
2018-01-28,36.76,36.76,36.76,0.0,0.0,36.76,36.76,36.76,0.0,0.0,36.11,36.11,36.11,0.0,0.0,36.11,36.11,36.11,0.0,0.0
2018-02-04,34.56,34.56,34.56,0.0,0.0,34.89,34.89,34.89,0.0,0.0,33.68,33.68,33.68,0.0,0.0,34.64,34.64,34.64,0.0,0.0
2018-02-11,35.9,35.9,35.9,0.0,0.0,36.29,36.29,36.29,0.0,0.0,35.9,35.9,35.9,0.0,0.0,36.01,36.01,36.01,0.0,0.0
2018-02-18,35.49,35.49,35.49,0.0,0.0,35.94,35.94,35.94,0.0,0.0,35.49,35.49,35.49,0.0,0.0,35.94,35.94,35.94,0.0,0.0
2018-02-25,35.03,35.03,35.03,0.0,0.0,35.78,35.78,35.78,0.0,0.0,35.03,35.03,35.03,0.0,0.0,35.77,35.77,35.77,0.0,0.0
2018-03-04,35.82,35.82,35.82,0.0,0.0,35.87,35.87,35.87,0.0,0.0,35.6,35.6,35.6,0.0,0.0,35.87,35.87,35.87,0.0,0.0
2018-03-11,35.29,35.29,35.29,0.0,0.0,35.74,35.74,35.74,0.0,0.0,35.29,35.29,35.29,0.0,0.0,35.58,35.58,35.58,0.0,0.0
2018-03-18,34.6,34.6,34.6,0.0,0.0,34.73,34.73,34.73,0.0,0.0,33.93,33.93,33.93,0.0,0.0,33.99,33.99,33.99,0.0,0.0
