Date,IGT_Open_average,IGT_Open_max,IGT_Open_min,IGT_Open_volatility,IGT_Open_change,IGT_High_average,IGT_High_max,IGT_High_min,IGT_High_volatility,IGT_High_change,IGT_Low_average,IGT_Low_max,IGT_Low_min,IGT_Low_volatility,IGT_Low_change,IGT_Close_average,IGT_Close_max,IGT_Close_min,IGT_Close_volatility,IGT_Close_change,IGT_Volume_average,IGT_Volume_max,IGT_Volume_min,IGT_Volume_volatility,IGT_Volume_change
2018-01-14,27.504,28.07,27.07,1.0,-0.6999999999999993,27.75,28.09,27.57,0.5199999999999996,-0.41999999999999815,27.008,27.29,26.79,0.5,0.07000000000000028,27.352,27.63,26.98,0.6499999999999986,0.3000000000000007,872703,1386668,504382,882286,-215700
2018-01-21,28.346,28.79,27.69,1.0999999999999979,1.0599999999999987,28.996,29.51,28.45,1.0600000000000023,1.0600000000000023,28.041999999999998,28.34,27.63,0.7100000000000009,0.7100000000000009,28.66,29.15,28.01,1.139999999999997,1.139999999999997,1581257,2179797,1134508,1045289,619741
2018-01-28,29.004,29.41,28.56,0.8500000000000014,-0.370000000000001,29.338,29.89,29.0,0.8900000000000006,-0.010000000000001563,28.552,28.97,27.73,1.2399999999999984,-0.7199999999999989,28.852,29.64,27.77,1.870000000000001,-1.1700000000000017,1118760,1473919,775459,698460,-307016
2018-02-04,27.13,28.05,26.13,1.9200000000000017,-1.1799999999999997,27.504,28.38,26.62,1.759999999999998,-1.4399999999999977,26.336000000000002,27.47,25.1,2.3699999999999974,-1.1799999999999997,26.796,28.05,25.92,2.129999999999999,-2.129999999999999,1677256,2942504,913149,2029355,-919820
2018-02-11,26.3925,27.08,25.81,1.2699999999999996,1.1799999999999997,27.015,27.52,26.27,1.25,1.25,26.2275,26.96,25.71,1.25,1.25,26.747500000000002,27.23,25.96,1.2699999999999996,1.2300000000000004,1251664,1968470,962196,1006274,-134230
2018-02-18,27.056,27.45,26.6,0.8499999999999979,-0.08000000000000185,27.358,27.7,26.99,0.7100000000000009,-0.3999999999999986,26.746,27.09,26.48,0.6099999999999994,-0.4400000000000013,27.02,27.59,26.49,1.1000000000000014,-0.5199999999999996,734358,885254,614952,270302,-89037
2018-02-25,26.628,27.1,26.11,0.990000000000002,-0.39000000000000057,27.032,27.19,26.91,0.28000000000000114,-0.16000000000000014,26.26,26.58,25.95,0.629999999999999,-0.31999999999999673,26.652,26.88,26.36,0.5199999999999996,0.120000000000001,1115411,1346113,762655,583458,90740
2018-03-04,28.59,29.99,26.98,3.009999999999998,2.25,29.176,30.22,27.67,2.549999999999997,2.549999999999997,28.14,29.23,26.86,2.370000000000001,2.370000000000001,28.806,29.86,27.59,2.2699999999999996,2.129999999999999,2418661,4380358,1592511,2787847,534076
2018-03-11,30.118,30.75,29.79,0.9600000000000009,0.1999999999999993,30.53,30.82,30.11,0.7100000000000009,-0.35999999999999943,29.778,30.18,29.4,0.7800000000000011,-0.370000000000001,30.096,30.74,29.64,1.0999999999999979,-0.28000000000000114,1705339,2659106,1370320,1288786,-104542
2018-03-18,28.43,29.75,27.15,2.6000000000000014,-2.6000000000000014,28.686,29.82,27.29,2.530000000000001,-2.530000000000001,27.716,28.88,26.38,2.5,-2.5,27.936,29.12,26.89,2.2300000000000004,-2.0700000000000003,1354014,1618341,947007,671334,155664
2018-03-25,26.73,27.05,26.5,0.5500000000000007,-0.33999999999999986,26.8975,27.13,26.81,0.3200000000000003,-0.3000000000000007,26.1225,26.38,25.83,0.5500000000000007,-0.5500000000000007,26.455,26.73,26.06,0.6700000000000017,-0.490000000000002,1506403,1722291,1246239,476052,-207089
2018-04-01,26.192,26.4,25.86,0.5399999999999991,-0.19000000000000128,26.482,26.88,26.18,0.6999999999999993,-0.23000000000000043,25.774,26.33,25.3,1.0299999999999976,-0.5599999999999987,26.052,26.64,25.35,1.2899999999999991,-0.7099999999999973,1217101,1577916,727429,850487,95628
2018-04-08,26.146,26.81,25.6,1.2099999999999973,0.9499999999999993,26.512,26.99,25.87,1.1199999999999974,1.0,25.896,26.36,25.5,0.8599999999999994,0.8599999999999994,26.24,26.79,25.69,1.0999999999999979,1.0999999999999979,1069630,1594490,783927,810563,-107604
2018-04-15,27.662,28.18,27.0,1.1799999999999997,0.9499999999999993,28.132,28.48,27.37,1.1099999999999994,0.8099999999999987,27.358,27.72,26.9,0.8200000000000003,0.5400000000000027,27.882,28.15,27.21,0.9399999999999977,0.879999999999999,1206510,1717141,983254,733887,268643
2018-04-22,27.548,28.2,26.84,1.3599999999999994,-0.16000000000000014,27.876,28.38,27.25,1.129999999999999,0.08999999999999986,27.174,27.93,26.63,1.3000000000000007,0.9199999999999982,27.492,28.27,26.85,1.4199999999999982,1.1600000000000001,1039223,1327123,813377,513746,-199697
2018-04-29,27.944,28.29,27.64,0.6499999999999986,-0.28999999999999915,28.21,28.45,27.83,0.620000000000001,0.14999999999999858,27.63,27.99,27.27,0.7199999999999989,0.36999999999999744,27.932,28.25,27.66,0.5899999999999999,0.3099999999999987,785583,1158012,647507,510505,-510505
2018-05-06,28.292,28.71,28.02,0.6900000000000013,0.35999999999999943,28.894,29.99,28.39,1.5999999999999979,1.5899999999999999,28.044,28.42,27.57,0.8500000000000014,0.8399999999999999,28.5,29.36,28.02,1.3399999999999999,1.3399999999999999,1470087,2309127,885007,1424120,1424120
2018-05-13,30.466,30.92,29.88,1.0400000000000027,0.7300000000000004,30.752,31.0,30.53,0.46999999999999886,0.11999999999999744,29.972,30.36,29.44,0.9199999999999982,0.23000000000000043,30.262,30.59,29.81,0.7800000000000011,-0.3100000000000023,2359135,2920699,1311190,1609509,289431
2018-05-20,27.955,28.87,27.16,1.7100000000000009,-1.7100000000000009,28.14,28.94,27.16,1.7800000000000011,-1.7800000000000011,26.905,27.39,26.15,1.240000000000002,-0.9299999999999997,27.4425,28.46,26.4,2.0600000000000023,-2.0600000000000023,6891329,9654977,4927206,4727771,-2768687
2018-05-27,25.796,26.33,25.25,1.0799999999999983,-0.9299999999999997,26.098,26.77,25.39,1.379999999999999,-0.8999999999999986,25.064,25.86,24.31,1.5500000000000007,-1.0800000000000018,25.44,26.26,24.75,1.5100000000000016,-0.8900000000000006,5088130,5699208,4090986,1608222,-332721
2018-06-03,24.823999999999998,25.61,24.5,1.1099999999999994,-0.23000000000000043,25.372,25.71,24.93,0.7800000000000011,-0.17999999999999972,24.42,24.6,24.14,0.46000000000000085,0.0400000000000027,24.842,25.58,24.46,1.1199999999999974,0.4200000000000017,3978211,7056464,2151120,4905344,-140542
2018-06-10,25.69,26.7,25.2,1.5,0.7200000000000024,26.068,26.72,25.58,1.1400000000000006,0.6499999999999986,25.398,26.0,24.97,1.0300000000000011,0.7800000000000011,25.732,26.28,25.2,1.0800000000000018,0.620000000000001,4665880,6706271,3240369,3465902,-650767
