Date,Guggenheim Invest S&P 500 Equal Weight Consumer St_Open_average,Guggenheim Invest S&P 500 Equal Weight Consumer St_Open_max,Guggenheim Invest S&P 500 Equal Weight Consumer St_Open_min,Guggenheim Invest S&P 500 Equal Weight Consumer St_Open_volatility,Guggenheim Invest S&P 500 Equal Weight Consumer St_Open_change,Guggenheim Invest S&P 500 Equal Weight Consumer St_High_average,Guggenheim Invest S&P 500 Equal Weight Consumer St_High_max,Guggenheim Invest S&P 500 Equal Weight Consumer St_High_min,Guggenheim Invest S&P 500 Equal Weight Consumer St_High_volatility,Guggenheim Invest S&P 500 Equal Weight Consumer St_High_change,Guggenheim Invest S&P 500 Equal Weight Consumer St_Low_average,Guggenheim Invest S&P 500 Equal Weight Consumer St_Low_max,Guggenheim Invest S&P 500 Equal Weight Consumer St_Low_min,Guggenheim Invest S&P 500 Equal Weight Consumer St_Low_volatility,Guggenheim Invest S&P 500 Equal Weight Consumer St_Low_change,Guggenheim Invest S&P 500 Equal Weight Consumer St_Close_average,Guggenheim Invest S&P 500 Equal Weight Consumer St_Close_max,Guggenheim Invest S&P 500 Equal Weight Consumer St_Close_min,Guggenheim Invest S&P 500 Equal Weight Consumer St_Close_volatility,Guggenheim Invest S&P 500 Equal Weight Consumer St_Close_change
2018-01-14,135.14,135.14,135.14,0.0,0.0,136.14,136.14,136.14,0.0,0.0,135.14,135.14,135.14,0.0,0.0,136.14,136.14,136.14,0.0,0.0
2018-01-21,138.39,138.39,138.39,0.0,0.0,138.61,138.61,138.61,0.0,0.0,137.38,137.38,137.38,0.0,0.0,137.38,137.38,137.38,0.0,0.0
2018-01-28,131.74,131.74,131.74,0.0,0.0,132.33,132.33,132.33,0.0,0.0,128.15,128.15,128.15,0.0,0.0,128.21,128.21,128.21,0.0,0.0
2018-02-04,128.68,128.68,128.68,0.0,0.0,129.52,129.52,129.52,0.0,0.0,128.32,128.32,128.32,0.0,0.0,128.89,128.89,128.89,0.0,0.0
2018-02-11,131.97,131.97,131.97,0.0,0.0,133.03,133.03,133.03,0.0,0.0,131.6,131.6,131.6,0.0,0.0,132.84,132.84,132.84,0.0,0.0
2018-02-18,130.29,130.29,130.29,0.0,0.0,130.81,130.81,130.81,0.0,0.0,129.98,129.98,129.98,0.0,0.0,130.57,130.57,130.57,0.0,0.0
2018-02-25,128.23,128.23,128.23,0.0,0.0,129.97,129.97,129.97,0.0,0.0,128.23,128.23,128.23,0.0,0.0,129.89,129.89,129.89,0.0,0.0
2018-03-04,130.79,130.79,130.79,0.0,0.0,131.38,131.38,131.38,0.0,0.0,130.48,130.48,130.48,0.0,0.0,130.59,130.59,130.59,0.0,0.0
2018-03-11,127.81,127.81,127.81,0.0,0.0,128.08,128.08,128.08,0.0,0.0,126.62,126.62,126.62,0.0,0.0,127.0,127.0,127.0,0.0,0.0
2018-03-18,123.23,123.23,123.23,0.0,0.0,124.35,124.35,124.35,0.0,0.0,123.03,123.03,123.03,0.0,0.0,124.32,124.32,124.32,0.0,0.0
