Date,SR_Open_average,SR_Open_max,SR_Open_min,SR_Open_volatility,SR_Open_change,SR_High_average,SR_High_max,SR_High_min,SR_High_volatility,SR_High_change,SR_Low_average,SR_Low_max,SR_Low_min,SR_Low_volatility,SR_Low_change,SR_Close_average,SR_Close_max,SR_Close_min,SR_Close_volatility,SR_Close_change,SR_Volume_average,SR_Volume_max,SR_Volume_min,SR_Volume_volatility,SR_Volume_change
2018-01-14,68.60000000000001,68.95,68.05,0.9000000000000057,-0.20000000000000284,68.966,69.38,68.5,0.8799999999999955,-0.47999999999998977,68.08,68.3,67.8,0.5,-0.09999999999999432,68.53,69.0,68.15,0.8499999999999943,0.29999999999999716,215779,251703,166970,84733,-1206
2018-01-21,68.89999999999999,69.85,68.35,1.5,0.29999999999999716,69.58,70.0,69.05,0.9500000000000028,0.25,68.49,69.1,68.05,1.0499999999999972,0.0,69.08,69.9,68.55,1.3500000000000085,0.29999999999999716,264724,331169,187513,143656,143656
2018-01-28,66.25,69.0,62.5,6.5,-4.25,67.01,69.4,64.8,4.6000000000000085,-4.6000000000000085,64.286,68.6,61.8,6.799999999999997,-6.799999999999997,65.01,68.8,61.9,6.899999999999999,-6.899999999999999,527732,783223,269372,513851,136345
2018-02-04,63.08,65.85,61.45,4.3999999999999915,4.299999999999997,64.37,66.3,61.95,4.349999999999994,4.099999999999994,62.278,64.55,60.09,4.459999999999994,4.459999999999994,63.85,65.8,61.3,4.5,4.5,465357,614979,326400,288579,-155003
2018-02-11,65.05,65.55,64.5,1.0499999999999972,-0.04999999999999716,65.8125,66.55,65.05,1.5,0.7000000000000028,64.4675,65.5,63.91,1.5900000000000034,1.1400000000000006,65.275,66.2,64.2,2.0,1.1500000000000057,256143,335587,187715,147872,73152
2018-02-18,66.72,69.3,65.85,3.450000000000003,3.299999999999997,67.63,69.6,66.2,3.3999999999999915,3.3999999999999915,66.0,68.65,64.7,3.950000000000003,3.8500000000000085,67.06,69.4,65.5,3.9000000000000057,3.5,301784,425833,193391,232442,-138723
2018-02-25,68.31,69.6,67.55,2.049999999999997,-2.049999999999997,69.01,70.05,68.4,1.6499999999999915,-1.3999999999999915,67.68,68.35,67.4,0.9499999999999886,-0.8499999999999943,68.14,68.65,67.7,0.9500000000000028,-0.30000000000001137,582385,938921,216049,722872,-722872
2018-03-04,67.9,68.45,67.6,0.8500000000000085,-0.7999999999999972,68.34,68.75,67.95,0.7999999999999972,-0.25,67.27,67.75,66.8,0.9500000000000028,0.15000000000000568,67.98,68.35,67.75,0.5999999999999943,0.5,319356,426459,228039,198420,-131949
2018-03-11,69.07000000000001,70.25,68.55,1.7000000000000028,1.7000000000000028,69.75,70.7,69.1,1.6000000000000085,1.5499999999999972,68.45400000000001,69.25,67.95,1.2999999999999972,1.2800000000000011,69.25,70.35,68.25,2.0999999999999943,1.5999999999999943,248967,565298,149978,415320,-34900
2018-03-18,69.50999999999999,70.0,68.85,1.1500000000000057,-1.1500000000000057,70.37,71.3,69.7,1.5999999999999943,-0.5499999999999972,68.83,69.25,68.25,1.0,-0.7000000000000028,69.32,69.85,68.35,1.5,0.30000000000001137,213475,242620,160398,82222,21512
2018-03-25,71.1,72.2,69.7,2.5,2.5,72.0375,72.7,71.0,1.7000000000000028,1.7000000000000028,70.625,71.6,69.3,2.299999999999997,1.9500000000000028,71.5375,72.3,70.3,2.0,1.5499999999999972,270144,364391,189832,174559,-117221
2018-04-01,72.9,73.75,71.9,1.8499999999999943,1.75,73.7,74.25,73.15,1.0999999999999943,0.75,72.37,73.25,71.55,1.7000000000000028,1.25,73.11,73.7,72.5,1.2000000000000028,0.3499999999999943,212805,267791,165618,102173,-31084
2018-04-08,71.63,73.4,70.4,3.0,-2.700000000000003,72.01,73.4,70.75,2.6500000000000057,-1.9500000000000028,70.72,71.8,69.95,1.8499999999999943,-1.4500000000000028,71.21,72.0,70.25,1.75,-0.6500000000000057,257328,318814,215808,103006,-103006
2018-04-15,70.92,71.85,70.05,1.7999999999999972,-1.5499999999999972,71.316,72.3,70.6,1.7000000000000028,-1.5,70.28,71.0,69.8,1.2000000000000028,-1.0999999999999943,70.56,71.75,69.8,1.9500000000000028,-1.5499999999999972,191353,219413,134394,85019,6747
2018-04-22,71.38,72.95,70.55,2.4000000000000057,2.4000000000000057,72.22,73.1,71.4,1.6999999999999886,1.3999999999999915,70.94,71.75,70.2,1.5499999999999972,1.5,71.71,72.85,70.8,2.049999999999997,1.25,189925,373168,111370,261798,160647
2018-04-29,71.82000000000001,72.9,70.6,2.3000000000000114,0.9000000000000057,72.994,73.2,72.72,0.480000000000004,0.25,70.98,71.9,70.6,1.3000000000000114,-0.9000000000000057,72.27,73.1,71.1,2.0,-1.4500000000000028,329856,397985,248756,149229,-86557
2018-05-06,70.34,71.1,69.65,1.4499999999999886,1.3499999999999943,70.78,71.5,70.0,1.5,1.5,69.984,70.9,69.17,1.730000000000004,1.25,70.55,71.25,69.5,1.75,1.6500000000000057,621805,1787615,277515,1510100,-1460138
2018-05-13,70.26,70.85,69.85,1.0,-0.9499999999999886,70.536,71.08,70.05,1.0300000000000011,-0.6799999999999926,69.55,70.25,69.15,1.0999999999999943,-0.7999999999999972,69.87,70.45,69.5,0.9500000000000028,-0.29999999999999716,301609,425119,236105,189014,43335
2018-05-20,70.3125,70.4,70.15,0.25,0.19999999999998863,70.66250000000001,70.9,70.45,0.45000000000000284,-0.20000000000000284,70.0075,70.1,69.83,0.269999999999996,0.269999999999996,70.2375,70.35,70.05,0.29999999999999716,0.15000000000000568,393902,478493,195012,283481,254153
2018-05-27,70.94,71.8,70.2,1.5999999999999943,0.3999999999999915,71.61,72.4,70.8,1.6000000000000085,-0.25,70.36,71.15,69.9,1.25,0.09999999999999432,70.95,71.8,70.4,1.3999999999999915,-0.3999999999999915,316081,492533,210939,281594,-158967
