Date,VelocityShares 3x Inverse Crude S&P GSCI ER_Open_average,VelocityShares 3x Inverse Crude S&P GSCI ER_Open_max,VelocityShares 3x Inverse Crude S&P GSCI ER_Open_min,VelocityShares 3x Inverse Crude S&P GSCI ER_Open_volatility,VelocityShares 3x Inverse Crude S&P GSCI ER_Open_change,VelocityShares 3x Inverse Crude S&P GSCI ER_High_average,VelocityShares 3x Inverse Crude S&P GSCI ER_High_max,VelocityShares 3x Inverse Crude S&P GSCI ER_High_min,VelocityShares 3x Inverse Crude S&P GSCI ER_High_volatility,VelocityShares 3x Inverse Crude S&P GSCI ER_High_change,VelocityShares 3x Inverse Crude S&P GSCI ER_Low_average,VelocityShares 3x Inverse Crude S&P GSCI ER_Low_max,VelocityShares 3x Inverse Crude S&P GSCI ER_Low_min,VelocityShares 3x Inverse Crude S&P GSCI ER_Low_volatility,VelocityShares 3x Inverse Crude S&P GSCI ER_Low_change,VelocityShares 3x Inverse Crude S&P GSCI ER_Close_average,VelocityShares 3x Inverse Crude S&P GSCI ER_Close_max,VelocityShares 3x Inverse Crude S&P GSCI ER_Close_min,VelocityShares 3x Inverse Crude S&P GSCI ER_Close_volatility,VelocityShares 3x Inverse Crude S&P GSCI ER_Close_change
2018-01-14,11.92,11.92,11.92,0.0,0.0,12.03,12.03,12.03,0.0,0.0,11.46,11.46,11.46,0.0,0.0,11.66,11.66,11.66,0.0,0.0
2018-01-21,10.69,10.69,10.69,0.0,0.0,10.95,10.95,10.95,0.0,0.0,10.62,10.62,10.62,0.0,0.0,10.74,10.74,10.74,0.0,0.0
2018-01-28,10.89,10.89,10.89,0.0,0.0,11.62,11.62,11.62,0.0,0.0,10.78,10.78,10.78,0.0,0.0,11.52,11.52,11.52,0.0,0.0
2018-02-04,13.75,13.75,13.75,0.0,0.0,14.21,14.21,14.21,0.0,0.0,13.39,13.39,13.39,0.0,0.0,14.14,14.14,14.14,0.0,0.0
2018-02-11,12.81,12.81,12.81,0.0,0.0,12.96,12.96,12.96,0.0,0.0,12.27,12.27,12.27,0.0,0.0,12.49,12.49,12.49,0.0,0.0
2018-02-18,11.46,11.46,11.46,0.0,0.0,11.57,11.57,11.57,0.0,0.0,10.96,10.96,10.96,0.0,0.0,11.1,11.1,11.1,0.0,0.0
2018-02-25,12.51,12.51,12.51,0.0,0.0,12.58,12.58,12.58,0.0,0.0,11.62,11.62,11.62,0.0,0.0,11.74,11.74,11.74,0.0,0.0
2018-03-04,12.14,12.14,12.14,0.0,0.0,12.69,12.69,12.69,0.0,0.0,12.05,12.05,12.05,0.0,0.0,12.3,12.3,12.3,0.0,0.0
2018-03-11,11.67,11.67,11.67,0.0,0.0,12.18,12.18,12.18,0.0,0.0,11.65,11.65,11.65,0.0,0.0,11.74,11.74,11.74,0.0,0.0
2018-03-18,9.9,9.9,9.9,0.0,0.0,10.14,10.14,10.14,0.0,0.0,9.8,9.8,9.8,0.0,0.0,9.95,9.95,9.95,0.0,0.0
