Date,First Trust Large Cap Growth AlphaDEX_Open_average,First Trust Large Cap Growth AlphaDEX_Open_max,First Trust Large Cap Growth AlphaDEX_Open_min,First Trust Large Cap Growth AlphaDEX_Open_volatility,First Trust Large Cap Growth AlphaDEX_Open_change,First Trust Large Cap Growth AlphaDEX_High_average,First Trust Large Cap Growth AlphaDEX_High_max,First Trust Large Cap Growth AlphaDEX_High_min,First Trust Large Cap Growth AlphaDEX_High_volatility,First Trust Large Cap Growth AlphaDEX_High_change,First Trust Large Cap Growth AlphaDEX_Low_average,First Trust Large Cap Growth AlphaDEX_Low_max,First Trust Large Cap Growth AlphaDEX_Low_min,First Trust Large Cap Growth AlphaDEX_Low_volatility,First Trust Large Cap Growth AlphaDEX_Low_change,First Trust Large Cap Growth AlphaDEX_Close_average,First Trust Large Cap Growth AlphaDEX_Close_max,First Trust Large Cap Growth AlphaDEX_Close_min,First Trust Large Cap Growth AlphaDEX_Close_volatility,First Trust Large Cap Growth AlphaDEX_Close_change
2018-01-14,65.33,65.33,65.33,0.0,0.0,65.79,65.79,65.79,0.0,0.0,65.27,65.27,65.27,0.0,0.0,65.78,65.78,65.78,0.0,0.0
2018-01-21,66.58,66.58,66.58,0.0,0.0,66.89,66.89,66.89,0.0,0.0,66.09,66.09,66.09,0.0,0.0,66.22,66.22,66.22,0.0,0.0
2018-01-28,64.03,64.03,64.03,0.0,0.0,64.56,64.56,64.56,0.0,0.0,61.86,61.86,61.86,0.0,0.0,62.26,62.26,62.26,0.0,0.0
2018-02-04,61.7,61.7,61.7,0.0,0.0,62.53,62.53,62.53,0.0,0.0,61.43,61.43,61.43,0.0,0.0,62.28,62.28,62.28,0.0,0.0
2018-02-11,64.12,64.12,64.12,0.0,0.0,64.65,64.65,64.65,0.0,0.0,64.12,64.12,64.12,0.0,0.0,64.36,64.36,64.36,0.0,0.0
2018-02-18,65.24,65.24,65.24,0.0,0.0,65.56,65.56,65.56,0.0,0.0,65.01,65.01,65.01,0.0,0.0,65.5,65.5,65.5,0.0,0.0
2018-02-25,63.78,63.78,63.78,0.0,0.0,64.99,64.99,64.99,0.0,0.0,63.69,63.69,63.69,0.0,0.0,64.88,64.88,64.88,0.0,0.0
2018-03-04,67.29,67.29,67.29,0.0,0.0,67.35,67.35,67.35,0.0,0.0,66.89,66.89,66.89,0.0,0.0,67.24,67.24,67.24,0.0,0.0
2018-03-11,66.18,66.18,66.18,0.0,0.0,66.25,66.25,66.25,0.0,0.0,65.32,65.32,65.32,0.0,0.0,65.85,65.85,65.85,0.0,0.0
2018-03-18,63.58,63.58,63.58,0.0,0.0,64.46,64.46,64.46,0.0,0.0,63.06,63.06,63.06,0.0,0.0,64.45,64.45,64.45,0.0,0.0
2018-03-25,63.23,63.23,63.23,0.0,0.0,63.65,63.65,63.65,0.0,0.0,61.37,61.37,61.37,0.0,0.0,61.95,61.95,61.95,0.0,0.0
2018-04-01,62.76,62.76,62.76,0.0,0.0,63.41,63.41,63.41,0.0,0.0,62.53,62.53,62.53,0.0,0.0,62.53,62.53,62.53,0.0,0.0
2018-04-08,64.21,64.21,64.21,0.0,0.0,64.46,64.46,64.46,0.0,0.0,63.95,63.95,63.95,0.0,0.0,64.3,64.3,64.3,0.0,0.0
