Date,USAA MSCI USA Small Cap Value Momentum Blend_etf_Open_average,USAA MSCI USA Small Cap Value Momentum Blend_etf_Open_max,USAA MSCI USA Small Cap Value Momentum Blend_etf_Open_min,USAA MSCI USA Small Cap Value Momentum Blend_etf_Open_volatility,USAA MSCI USA Small Cap Value Momentum Blend_etf_Open_change,USAA MSCI USA Small Cap Value Momentum Blend_etf_High_average,USAA MSCI USA Small Cap Value Momentum Blend_etf_High_max,USAA MSCI USA Small Cap Value Momentum Blend_etf_High_min,USAA MSCI USA Small Cap Value Momentum Blend_etf_High_volatility,USAA MSCI USA Small Cap Value Momentum Blend_etf_High_change,USAA MSCI USA Small Cap Value Momentum Blend_etf_Low_average,USAA MSCI USA Small Cap Value Momentum Blend_etf_Low_max,USAA MSCI USA Small Cap Value Momentum Blend_etf_Low_min,USAA MSCI USA Small Cap Value Momentum Blend_etf_Low_volatility,USAA MSCI USA Small Cap Value Momentum Blend_etf_Low_change,USAA MSCI USA Small Cap Value Momentum Blend_etf_Close_average,USAA MSCI USA Small Cap Value Momentum Blend_etf_Close_max,USAA MSCI USA Small Cap Value Momentum Blend_etf_Close_min,USAA MSCI USA Small Cap Value Momentum Blend_etf_Close_volatility,USAA MSCI USA Small Cap Value Momentum Blend_etf_Close_change
2018-01-14,52.19,52.19,52.19,0.0,0.0,52.72,52.72,52.72,0.0,0.0,52.14,52.14,52.14,0.0,0.0,52.72,52.72,52.72,0.0,0.0
2018-01-21,53.15,53.15,53.15,0.0,0.0,53.15,53.15,53.15,0.0,0.0,52.55,52.55,52.55,0.0,0.0,52.85,52.85,52.85,0.0,0.0
2018-01-28,51.7,51.7,51.7,0.0,0.0,51.7,51.7,51.7,0.0,0.0,50.67,50.67,50.67,0.0,0.0,50.76,50.76,50.76,0.0,0.0
2018-02-04,48.26,48.26,48.26,0.0,0.0,48.58,48.58,48.58,0.0,0.0,47.0,47.0,47.0,0.0,0.0,48.16,48.16,48.16,0.0,0.0
2018-02-11,50.25,50.25,50.25,0.0,0.0,50.53,50.53,50.53,0.0,0.0,50.25,50.25,50.25,0.0,0.0,50.37,50.37,50.37,0.0,0.0
2018-02-18,50.22,50.22,50.22,0.0,0.0,50.52,50.52,50.52,0.0,0.0,50.02,50.02,50.02,0.0,0.0,50.52,50.52,50.52,0.0,0.0
2018-02-25,48.73,48.73,48.73,0.0,0.0,49.64,49.64,49.64,0.0,0.0,48.73,48.73,48.73,0.0,0.0,49.51,49.51,49.51,0.0,0.0
2018-03-04,51.23,51.23,51.23,0.0,0.0,51.83,51.83,51.83,0.0,0.0,51.23,51.23,51.23,0.0,0.0,51.83,51.83,51.83,0.0,0.0
2018-03-11,51.34,51.34,51.34,0.0,0.0,51.82,51.82,51.82,0.0,0.0,51.34,51.34,51.34,0.0,0.0,51.77,51.77,51.77,0.0,0.0
2018-03-18,50.72,50.72,50.72,0.0,0.0,50.72,50.72,50.72,0.0,0.0,50.12,50.12,50.12,0.0,0.0,50.12,50.12,50.12,0.0,0.0
