Date,IQ US Real Estate Small CapEtf_Open_average,IQ US Real Estate Small CapEtf_Open_max,IQ US Real Estate Small CapEtf_Open_min,IQ US Real Estate Small CapEtf_Open_volatility,IQ US Real Estate Small CapEtf_Open_change,IQ US Real Estate Small CapEtf_High_average,IQ US Real Estate Small CapEtf_High_max,IQ US Real Estate Small CapEtf_High_min,IQ US Real Estate Small CapEtf_High_volatility,IQ US Real Estate Small CapEtf_High_change,IQ US Real Estate Small CapEtf_Low_average,IQ US Real Estate Small CapEtf_Low_max,IQ US Real Estate Small CapEtf_Low_min,IQ US Real Estate Small CapEtf_Low_volatility,IQ US Real Estate Small CapEtf_Low_change,IQ US Real Estate Small CapEtf_Close_average,IQ US Real Estate Small CapEtf_Close_max,IQ US Real Estate Small CapEtf_Close_min,IQ US Real Estate Small CapEtf_Close_volatility,IQ US Real Estate Small CapEtf_Close_change
2018-01-14,25.17,25.17,25.17,0.0,0.0,25.35,25.35,25.35,0.0,0.0,25.17,25.17,25.17,0.0,0.0,25.33,25.33,25.33,0.0,0.0
2018-01-21,25.73,25.73,25.73,0.0,0.0,25.73,25.73,25.73,0.0,0.0,25.39,25.39,25.39,0.0,0.0,25.49,25.49,25.49,0.0,0.0
2018-01-28,24.61,24.61,24.61,0.0,0.0,24.61,24.61,24.61,0.0,0.0,24.33,24.33,24.33,0.0,0.0,24.45,24.45,24.45,0.0,0.0
2018-02-04,23.09,23.09,23.09,0.0,0.0,23.48,23.48,23.48,0.0,0.0,22.7,22.7,22.7,0.0,0.0,23.28,23.28,23.28,0.0,0.0
2018-02-11,23.65,23.65,23.65,0.0,0.0,23.9,23.9,23.9,0.0,0.0,23.65,23.65,23.65,0.0,0.0,23.89,23.89,23.89,0.0,0.0
2018-02-18,23.36,23.36,23.36,0.0,0.0,23.56,23.56,23.56,0.0,0.0,23.36,23.36,23.36,0.0,0.0,23.56,23.56,23.56,0.0,0.0
2018-02-25,22.68,22.68,22.68,0.0,0.0,23.02,23.02,23.02,0.0,0.0,22.68,22.68,22.68,0.0,0.0,22.98,22.98,22.98,0.0,0.0
2018-03-04,23.5,23.5,23.5,0.0,0.0,23.58,23.58,23.58,0.0,0.0,23.39,23.39,23.39,0.0,0.0,23.58,23.58,23.58,0.0,0.0
2018-03-11,23.63,23.63,23.63,0.0,0.0,23.81,23.81,23.81,0.0,0.0,23.63,23.63,23.63,0.0,0.0,23.81,23.81,23.81,0.0,0.0
2018-03-18,23.2,23.2,23.2,0.0,0.0,23.2,23.2,23.2,0.0,0.0,22.84,22.84,22.84,0.0,0.0,22.84,22.84,22.84,0.0,0.0
