Date,KraneShares E China Commercial Paper_etf_Open_average,KraneShares E China Commercial Paper_etf_Open_max,KraneShares E China Commercial Paper_etf_Open_min,KraneShares E China Commercial Paper_etf_Open_volatility,KraneShares E China Commercial Paper_etf_Open_change,KraneShares E China Commercial Paper_etf_High_average,KraneShares E China Commercial Paper_etf_High_max,KraneShares E China Commercial Paper_etf_High_min,KraneShares E China Commercial Paper_etf_High_volatility,KraneShares E China Commercial Paper_etf_High_change,KraneShares E China Commercial Paper_etf_Low_average,KraneShares E China Commercial Paper_etf_Low_max,KraneShares E China Commercial Paper_etf_Low_min,KraneShares E China Commercial Paper_etf_Low_volatility,KraneShares E China Commercial Paper_etf_Low_change,KraneShares E China Commercial Paper_etf_Close_average,KraneShares E China Commercial Paper_etf_Close_max,KraneShares E China Commercial Paper_etf_Close_min,KraneShares E China Commercial Paper_etf_Close_volatility,KraneShares E China Commercial Paper_etf_Close_change
2018-01-14,36.0,36.0,36.0,0.0,0.0,36.08,36.08,36.08,0.0,0.0,35.96,35.96,35.96,0.0,0.0,36.08,36.08,36.08,0.0,0.0
2018-01-21,36.25,36.25,36.25,0.0,0.0,36.73,36.73,36.73,0.0,0.0,36.25,36.25,36.25,0.0,0.0,36.61,36.61,36.61,0.0,0.0
2018-01-28,36.65,36.65,36.65,0.0,0.0,36.9,36.9,36.9,0.0,0.0,36.65,36.65,36.65,0.0,0.0,36.9,36.9,36.9,0.0,0.0
2018-02-04,37.01,37.01,37.01,0.0,0.0,37.02,37.02,37.02,0.0,0.0,36.79,36.79,36.79,0.0,0.0,36.85,36.85,36.85,0.0,0.0
2018-02-11,36.84,36.84,36.84,0.0,0.0,36.84,36.84,36.84,0.0,0.0,36.5,36.5,36.5,0.0,0.0,36.66,36.66,36.66,0.0,0.0
2018-02-18,36.99,36.99,36.99,0.0,0.0,36.99,36.99,36.99,0.0,0.0,36.67,36.67,36.67,0.0,0.0,36.69,36.69,36.69,0.0,0.0
2018-02-25,36.75,36.75,36.75,0.0,0.0,36.88,36.88,36.88,0.0,0.0,36.75,36.75,36.75,0.0,0.0,36.87,36.87,36.87,0.0,0.0
2018-03-04,36.9,36.9,36.9,0.0,0.0,36.93,36.93,36.93,0.0,0.0,36.86,36.86,36.86,0.0,0.0,36.93,36.93,36.93,0.0,0.0
2018-03-11,36.86,36.86,36.86,0.0,0.0,37.08,37.08,37.08,0.0,0.0,36.86,36.86,36.86,0.0,0.0,37.08,37.08,37.08,0.0,0.0
2018-03-18,37.05,37.05,37.05,0.0,0.0,37.08,37.08,37.08,0.0,0.0,37.02,37.02,37.02,0.0,0.0,37.02,37.02,37.02,0.0,0.0
