Date,Oppenheimer ESG Revenue_Open_average,Oppenheimer ESG Revenue_Open_max,Oppenheimer ESG Revenue_Open_min,Oppenheimer ESG Revenue_Open_volatility,Oppenheimer ESG Revenue_Open_change,Oppenheimer ESG Revenue_High_average,Oppenheimer ESG Revenue_High_max,Oppenheimer ESG Revenue_High_min,Oppenheimer ESG Revenue_High_volatility,Oppenheimer ESG Revenue_High_change,Oppenheimer ESG Revenue_Low_average,Oppenheimer ESG Revenue_Low_max,Oppenheimer ESG Revenue_Low_min,Oppenheimer ESG Revenue_Low_volatility,Oppenheimer ESG Revenue_Low_change,Oppenheimer ESG Revenue_Close_average,Oppenheimer ESG Revenue_Close_max,Oppenheimer ESG Revenue_Close_min,Oppenheimer ESG Revenue_Close_volatility,Oppenheimer ESG Revenue_Close_change
2018-01-14,32.43,32.43,32.43,0.0,0.0,32.44,32.44,32.44,0.0,0.0,32.43,32.43,32.43,0.0,0.0,32.44,32.44,32.44,0.0,0.0
2018-01-21,33.09,33.09,33.09,0.0,0.0,33.09,33.09,33.09,0.0,0.0,33.08,33.08,33.08,0.0,0.0,33.08,33.08,33.08,0.0,0.0
2018-01-28,31.47,31.47,31.47,0.0,0.0,31.6,31.6,31.6,0.0,0.0,30.53,30.53,30.53,0.0,0.0,30.53,30.53,30.53,0.0,0.0
2018-02-04,30.02,30.02,30.02,0.0,0.0,30.16,30.16,30.16,0.0,0.0,29.85,29.85,29.85,0.0,0.0,30.16,30.16,30.16,0.0,0.0
2018-02-11,31.17,31.17,31.17,0.0,0.0,31.2,31.2,31.2,0.0,0.0,31.14,31.14,31.14,0.0,0.0,31.2,31.2,31.2,0.0,0.0
2018-02-18,31.28,31.28,31.28,0.0,0.0,31.46,31.46,31.46,0.0,0.0,31.28,31.28,31.28,0.0,0.0,31.46,31.46,31.46,0.0,0.0
2018-02-25,30.87,30.87,30.87,0.0,0.0,30.87,30.87,30.87,0.0,0.0,30.87,30.87,30.87,0.0,0.0,30.87,30.87,30.87,0.0,0.0
2018-03-04,31.31,31.31,31.31,0.0,0.0,31.31,31.31,31.31,0.0,0.0,31.3,31.3,31.3,0.0,0.0,31.31,31.31,31.31,0.0,0.0
2018-03-11,31.04,31.04,31.04,0.0,0.0,31.04,31.04,31.04,0.0,0.0,30.99,30.99,30.99,0.0,0.0,30.99,30.99,30.99,0.0,0.0
2018-03-18,30.0,30.0,30.0,0.0,0.0,30.0,30.0,30.0,0.0,0.0,30.0,30.0,30.0,0.0,0.0,30.0,30.0,30.0,0.0,0.0
