Date,Guggenheim CurrencyShares Canadian Dollar_Open_average,Guggenheim CurrencyShares Canadian Dollar_Open_max,Guggenheim CurrencyShares Canadian Dollar_Open_min,Guggenheim CurrencyShares Canadian Dollar_Open_volatility,Guggenheim CurrencyShares Canadian Dollar_Open_change,Guggenheim CurrencyShares Canadian Dollar_High_average,Guggenheim CurrencyShares Canadian Dollar_High_max,Guggenheim CurrencyShares Canadian Dollar_High_min,Guggenheim CurrencyShares Canadian Dollar_High_volatility,Guggenheim CurrencyShares Canadian Dollar_High_change,Guggenheim CurrencyShares Canadian Dollar_Low_average,Guggenheim CurrencyShares Canadian Dollar_Low_max,Guggenheim CurrencyShares Canadian Dollar_Low_min,Guggenheim CurrencyShares Canadian Dollar_Low_volatility,Guggenheim CurrencyShares Canadian Dollar_Low_change,Guggenheim CurrencyShares Canadian Dollar_Close_average,Guggenheim CurrencyShares Canadian Dollar_Close_max,Guggenheim CurrencyShares Canadian Dollar_Close_min,Guggenheim CurrencyShares Canadian Dollar_Close_volatility,Guggenheim CurrencyShares Canadian Dollar_Close_change
2018-01-14,79.18,79.18,79.18,0.0,0.0,79.32,79.32,79.32,0.0,0.0,79.12,79.12,79.12,0.0,0.0,79.19,79.19,79.19,0.0,0.0
2018-01-21,79.97,79.97,79.97,0.0,0.0,80.05,80.05,80.05,0.0,0.0,79.92,79.92,79.92,0.0,0.0,79.99,79.99,79.99,0.0,0.0
2018-01-28,79.13,79.13,79.13,0.0,0.0,79.15,79.15,79.15,0.0,0.0,78.77,78.77,78.77,0.0,0.0,78.77,78.77,78.77,0.0,0.0
2018-02-04,78.25,78.25,78.25,0.0,0.0,78.36,78.36,78.36,0.0,0.0,78.14,78.14,78.14,0.0,0.0,78.28,78.28,78.28,0.0,0.0
2018-02-11,78.63,78.63,78.63,0.0,0.0,78.74,78.74,78.74,0.0,0.0,78.52,78.52,78.52,0.0,0.0,78.57,78.57,78.57,0.0,0.0
2018-02-18,77.72,77.72,77.72,0.0,0.0,77.84,77.84,77.84,0.0,0.0,77.63,77.63,77.63,0.0,0.0,77.83,77.83,77.83,0.0,0.0
2018-02-25,75.99,75.99,75.99,0.0,0.0,76.07,76.07,76.07,0.0,0.0,75.89,75.89,75.89,0.0,0.0,75.97,75.97,75.97,0.0,0.0
2018-03-04,76.88,76.88,76.88,0.0,0.0,76.98,76.98,76.98,0.0,0.0,76.84,76.84,76.84,0.0,0.0,76.88,76.88,76.88,0.0,0.0
2018-03-11,75.45,75.45,75.45,0.0,0.0,75.58,75.58,75.58,0.0,0.0,75.31,75.31,75.31,0.0,0.0,75.54,75.54,75.54,0.0,0.0
2018-03-18,76.41,76.41,76.41,0.0,0.0,76.77,76.77,76.77,0.0,0.0,76.38,76.38,76.38,0.0,0.0,76.72,76.72,76.72,0.0,0.0
2018-03-25,76.53,76.53,76.53,0.0,0.0,76.6,76.6,76.6,0.0,0.0,76.19,76.19,76.19,0.0,0.0,76.38,76.38,76.38,0.0,0.0
2018-04-01,77.21,77.21,77.21,0.0,0.0,77.72,77.72,77.72,0.0,0.0,77.14,77.14,77.14,0.0,0.0,77.61,77.61,77.61,0.0,0.0
2018-04-08,78.4,78.4,78.4,0.0,0.0,78.49,78.49,78.49,0.0,0.0,78.38,78.38,78.38,0.0,0.0,78.46,78.46,78.46,0.0,0.0
2018-04-15,76.9,76.9,76.9,0.0,0.0,76.98,76.98,76.98,0.0,0.0,76.75,76.75,76.75,0.0,0.0,76.8,76.8,76.8,0.0,0.0
2018-04-22,76.72,76.72,76.72,0.0,0.0,77.01,77.01,77.01,0.0,0.0,76.72,76.72,76.72,0.0,0.0,76.83,76.83,76.83,0.0,0.0
2018-04-29,76.65,76.65,76.65,0.0,0.0,76.81,76.81,76.81,0.0,0.0,76.52,76.52,76.52,0.0,0.0,76.52,76.52,76.52,0.0,0.0
2018-05-06,77.28,77.28,77.28,0.0,0.0,77.33,77.33,77.33,0.0,0.0,77.02,77.02,77.02,0.0,0.0,77.02,77.02,77.02,0.0,0.0
2018-05-13,76.73,76.73,76.73,0.0,0.0,77.11,77.11,77.11,0.0,0.0,76.71,76.71,76.71,0.0,0.0,77.09,77.09,77.09,0.0,0.0
