Date,PowerShares Golden Dragon China Port_Open_average,PowerShares Golden Dragon China Port_Open_max,PowerShares Golden Dragon China Port_Open_min,PowerShares Golden Dragon China Port_Open_volatility,PowerShares Golden Dragon China Port_Open_change,PowerShares Golden Dragon China Port_High_average,PowerShares Golden Dragon China Port_High_max,PowerShares Golden Dragon China Port_High_min,PowerShares Golden Dragon China Port_High_volatility,PowerShares Golden Dragon China Port_High_change,PowerShares Golden Dragon China Port_Low_average,PowerShares Golden Dragon China Port_Low_max,PowerShares Golden Dragon China Port_Low_min,PowerShares Golden Dragon China Port_Low_volatility,PowerShares Golden Dragon China Port_Low_change,PowerShares Golden Dragon China Port_Close_average,PowerShares Golden Dragon China Port_Close_max,PowerShares Golden Dragon China Port_Close_min,PowerShares Golden Dragon China Port_Close_volatility,PowerShares Golden Dragon China Port_Close_change
2018-01-14,49.46,49.46,49.46,0.0,0.0,49.46,49.46,49.46,0.0,0.0,48.53,48.53,48.53,0.0,0.0,49.26,49.26,49.26,0.0,0.0
2018-01-21,50.64,50.64,50.64,0.0,0.0,50.64,50.64,50.64,0.0,0.0,49.82,49.82,49.82,0.0,0.0,50.04,50.04,50.04,0.0,0.0
2018-01-28,46.4,46.4,46.4,0.0,0.0,47.83,47.83,47.83,0.0,0.0,45.75,45.75,45.75,0.0,0.0,45.86,45.86,45.86,0.0,0.0
2018-02-04,44.56,44.56,44.56,0.0,0.0,45.26,45.26,45.26,0.0,0.0,44.46,44.46,44.46,0.0,0.0,45.18,45.18,45.18,0.0,0.0
2018-02-11,48.62,48.62,48.62,0.0,0.0,48.63,48.63,48.63,0.0,0.0,48.18,48.18,48.18,0.0,0.0,48.28,48.28,48.28,0.0,0.0
2018-02-18,49.9,49.9,49.9,0.0,0.0,50.0,50.0,50.0,0.0,0.0,48.9,48.9,48.9,0.0,0.0,49.13,49.13,49.13,0.0,0.0
2018-02-25,47.3,47.3,47.3,0.0,0.0,47.76,47.76,47.76,0.0,0.0,46.74,46.74,46.74,0.0,0.0,47.73,47.73,47.73,0.0,0.0
2018-03-04,50.13,50.13,50.13,0.0,0.0,50.43,50.43,50.43,0.0,0.0,49.8,49.8,49.8,0.0,0.0,50.0,50.0,50.0,0.0,0.0
2018-03-11,48.68,48.68,48.68,0.0,0.0,49.29,49.29,49.29,0.0,0.0,48.36,48.36,48.36,0.0,0.0,48.82,48.82,48.82,0.0,0.0
2018-03-18,47.89,47.89,47.89,0.0,0.0,48.08,48.08,48.08,0.0,0.0,46.85,46.85,46.85,0.0,0.0,47.76,47.76,47.76,0.0,0.0
2018-03-25,46.1,46.1,46.1,0.0,0.0,46.1,46.1,46.1,0.0,0.0,44.75,44.75,44.75,0.0,0.0,45.1,45.1,45.1,0.0,0.0
2018-04-01,45.71,45.71,45.71,0.0,0.0,46.65,46.65,46.65,0.0,0.0,45.71,45.71,45.71,0.0,0.0,45.91,45.91,45.91,0.0,0.0
2018-04-08,45.83,45.83,45.83,0.0,0.0,45.83,45.83,45.83,0.0,0.0,45.26,45.26,45.26,0.0,0.0,45.45,45.45,45.45,0.0,0.0
2018-04-15,45.85,45.85,45.85,0.0,0.0,45.85,45.85,45.85,0.0,0.0,45.09,45.09,45.09,0.0,0.0,45.1,45.1,45.1,0.0,0.0
2018-04-22,45.29,45.29,45.29,0.0,0.0,45.85,45.85,45.85,0.0,0.0,45.23,45.23,45.23,0.0,0.0,45.52,45.52,45.52,0.0,0.0
2018-04-29,46.22,46.22,46.22,0.0,0.0,47.05,47.05,47.05,0.0,0.0,46.22,46.22,46.22,0.0,0.0,46.88,46.88,46.88,0.0,0.0
2018-05-06,47.58,47.58,47.58,0.0,0.0,48.07,48.07,48.07,0.0,0.0,47.57,47.57,47.57,0.0,0.0,47.67,47.67,47.67,0.0,0.0
2018-05-13,47.39,47.39,47.39,0.0,0.0,47.59,47.59,47.59,0.0,0.0,46.82,46.82,46.82,0.0,0.0,46.83,46.83,46.83,0.0,0.0
