Date,Guggenheim MSCI Global Timber_Open_average,Guggenheim MSCI Global Timber_Open_max,Guggenheim MSCI Global Timber_Open_min,Guggenheim MSCI Global Timber_Open_volatility,Guggenheim MSCI Global Timber_Open_change,Guggenheim MSCI Global Timber_High_average,Guggenheim MSCI Global Timber_High_max,Guggenheim MSCI Global Timber_High_min,Guggenheim MSCI Global Timber_High_volatility,Guggenheim MSCI Global Timber_High_change,Guggenheim MSCI Global Timber_Low_average,Guggenheim MSCI Global Timber_Low_max,Guggenheim MSCI Global Timber_Low_min,Guggenheim MSCI Global Timber_Low_volatility,Guggenheim MSCI Global Timber_Low_change,Guggenheim MSCI Global Timber_Close_average,Guggenheim MSCI Global Timber_Close_max,Guggenheim MSCI Global Timber_Close_min,Guggenheim MSCI Global Timber_Close_volatility,Guggenheim MSCI Global Timber_Close_change
2018-01-14,33.38,33.38,33.38,0.0,0.0,33.44,33.44,33.44,0.0,0.0,33.3,33.3,33.3,0.0,0.0,33.37,33.37,33.37,0.0,0.0
2018-01-21,33.86,33.86,33.86,0.0,0.0,33.9,33.9,33.9,0.0,0.0,33.59,33.59,33.59,0.0,0.0,33.59,33.59,33.59,0.0,0.0
2018-01-28,32.49,32.49,32.49,0.0,0.0,32.61,32.61,32.61,0.0,0.0,31.49,31.49,31.49,0.0,0.0,31.54,31.54,31.54,0.0,0.0
2018-02-04,31.02,31.02,31.02,0.0,0.0,31.35,31.35,31.35,0.0,0.0,30.87,30.87,30.87,0.0,0.0,31.18,31.18,31.18,0.0,0.0
2018-02-11,32.1,32.1,32.1,0.0,0.0,32.45,32.45,32.45,0.0,0.0,32.1,32.1,32.1,0.0,0.0,32.42,32.42,32.42,0.0,0.0
2018-02-18,32.76,32.76,32.76,0.0,0.0,32.9,32.9,32.9,0.0,0.0,32.69,32.69,32.69,0.0,0.0,32.89,32.89,32.89,0.0,0.0
2018-02-25,31.87,31.87,31.87,0.0,0.0,32.2,32.2,32.2,0.0,0.0,31.87,31.87,31.87,0.0,0.0,32.16,32.16,32.16,0.0,0.0
2018-03-04,33.18,33.18,33.18,0.0,0.0,33.3,33.3,33.3,0.0,0.0,33.18,33.18,33.18,0.0,0.0,33.28,33.28,33.28,0.0,0.0
2018-03-11,33.1,33.1,33.1,0.0,0.0,33.1,33.1,33.1,0.0,0.0,32.8,32.8,32.8,0.0,0.0,32.89,32.89,32.89,0.0,0.0
2018-03-18,32.42,32.42,32.42,0.0,0.0,32.6,32.6,32.6,0.0,0.0,32.21,32.21,32.21,0.0,0.0,32.6,32.6,32.6,0.0,0.0
2018-03-25,32.62,32.62,32.62,0.0,0.0,32.62,32.62,32.62,0.0,0.0,31.85,31.85,31.85,0.0,0.0,32.08,32.08,32.08,0.0,0.0
2018-04-01,32.87,32.87,32.87,0.0,0.0,33.01,33.01,33.01,0.0,0.0,32.74,32.74,32.74,0.0,0.0,32.74,32.74,32.74,0.0,0.0
2018-04-08,33.58,33.58,33.58,0.0,0.0,33.65,33.65,33.65,0.0,0.0,33.51,33.51,33.51,0.0,0.0,33.57,33.57,33.57,0.0,0.0
2018-04-15,33.87,33.87,33.87,0.0,0.0,33.91,33.91,33.91,0.0,0.0,33.68,33.68,33.68,0.0,0.0,33.74,33.74,33.74,0.0,0.0
2018-04-22,33.54,33.54,33.54,0.0,0.0,33.54,33.54,33.54,0.0,0.0,33.09,33.09,33.09,0.0,0.0,33.1,33.1,33.1,0.0,0.0
2018-04-29,33.11,33.11,33.11,0.0,0.0,33.15,33.15,33.15,0.0,0.0,32.98,32.98,32.98,0.0,0.0,33.07,33.07,33.07,0.0,0.0
2018-05-06,33.71,33.71,33.71,0.0,0.0,33.79,33.79,33.79,0.0,0.0,33.54,33.54,33.54,0.0,0.0,33.62,33.62,33.62,0.0,0.0
2018-05-13,34.03,34.03,34.03,0.0,0.0,34.2,34.2,34.2,0.0,0.0,34.03,34.03,34.03,0.0,0.0,34.12,34.12,34.12,0.0,0.0
2018-05-20,33.83,33.83,33.83,0.0,0.0,33.85,33.85,33.85,0.0,0.0,33.66,33.66,33.66,0.0,0.0,33.7,33.7,33.7,0.0,0.0
2018-05-27,34.09,34.09,34.09,0.0,0.0,34.37,34.37,34.37,0.0,0.0,34.09,34.09,34.09,0.0,0.0,34.34,34.34,34.34,0.0,0.0
2018-06-03,34.45,34.45,34.45,0.0,0.0,34.63,34.63,34.63,0.0,0.0,34.34,34.34,34.34,0.0,0.0,34.47,34.47,34.47,0.0,0.0
2018-06-10,33.33,33.33,33.33,0.0,0.0,33.52,33.52,33.52,0.0,0.0,33.23,33.23,33.23,0.0,0.0,33.42,33.42,33.42,0.0,0.0
