Date,Charles Schwab US REITEtf_Open_average,Charles Schwab US REITEtf_Open_max,Charles Schwab US REITEtf_Open_min,Charles Schwab US REITEtf_Open_volatility,Charles Schwab US REITEtf_Open_change,Charles Schwab US REITEtf_High_average,Charles Schwab US REITEtf_High_max,Charles Schwab US REITEtf_High_min,Charles Schwab US REITEtf_High_volatility,Charles Schwab US REITEtf_High_change,Charles Schwab US REITEtf_Low_average,Charles Schwab US REITEtf_Low_max,Charles Schwab US REITEtf_Low_min,Charles Schwab US REITEtf_Low_volatility,Charles Schwab US REITEtf_Low_change,Charles Schwab US REITEtf_Close_average,Charles Schwab US REITEtf_Close_max,Charles Schwab US REITEtf_Close_min,Charles Schwab US REITEtf_Close_volatility,Charles Schwab US REITEtf_Close_change
2018-01-14,39.39,39.39,39.39,0.0,0.0,39.54,39.54,39.54,0.0,0.0,39.27,39.27,39.27,0.0,0.0,39.54,39.54,39.54,0.0,0.0
2018-01-21,40.2,40.2,40.2,0.0,0.0,40.23,40.23,40.23,0.0,0.0,39.83,39.83,39.83,0.0,0.0,40.06,40.06,40.06,0.0,0.0
2018-01-28,38.78,38.78,38.78,0.0,0.0,39.02,39.02,39.02,0.0,0.0,38.42,38.42,38.42,0.0,0.0,38.78,38.78,38.78,0.0,0.0
2018-02-04,36.59,36.59,36.59,0.0,0.0,37.6,37.6,37.6,0.0,0.0,36.27,36.27,36.27,0.0,0.0,37.36,37.36,37.36,0.0,0.0
2018-02-11,37.8,37.8,37.8,0.0,0.0,38.2,38.2,38.2,0.0,0.0,37.77,37.77,37.77,0.0,0.0,38.03,38.03,38.03,0.0,0.0
2018-02-18,37.46,37.46,37.46,0.0,0.0,37.88,37.88,37.88,0.0,0.0,37.3,37.3,37.3,0.0,0.0,37.86,37.86,37.86,0.0,0.0
2018-02-25,37.05,37.05,37.05,0.0,0.0,37.21,37.21,37.21,0.0,0.0,36.83,36.83,36.83,0.0,0.0,37.19,37.19,37.19,0.0,0.0
2018-03-04,38.06,38.06,38.06,0.0,0.0,38.27,38.27,38.27,0.0,0.0,37.79,37.79,37.79,0.0,0.0,38.27,38.27,38.27,0.0,0.0
2018-03-11,38.08,38.08,38.08,0.0,0.0,38.46,38.46,38.46,0.0,0.0,37.99,37.99,37.99,0.0,0.0,38.42,38.42,38.42,0.0,0.0
2018-03-18,37.37,37.37,37.37,0.0,0.0,37.46,37.46,37.46,0.0,0.0,36.65,36.65,36.65,0.0,0.0,36.71,36.71,36.71,0.0,0.0
2018-03-25,38.38,38.38,38.38,0.0,0.0,38.48,38.48,38.48,0.0,0.0,38.07,38.07,38.07,0.0,0.0,38.25,38.25,38.25,0.0,0.0
2018-04-01,38.35,38.35,38.35,0.0,0.0,38.65,38.65,38.65,0.0,0.0,38.03,38.03,38.03,0.0,0.0,38.14,38.14,38.14,0.0,0.0
2018-04-08,37.75,37.75,37.75,0.0,0.0,37.98,37.98,37.98,0.0,0.0,37.62,37.62,37.62,0.0,0.0,37.96,37.96,37.96,0.0,0.0
2018-04-15,37.93,37.93,37.93,0.0,0.0,38.05,38.05,38.05,0.0,0.0,37.51,37.51,37.51,0.0,0.0,37.57,37.57,37.57,0.0,0.0
2018-04-22,38.09,38.09,38.09,0.0,0.0,39.09,39.09,39.09,0.0,0.0,38.09,38.09,38.09,0.0,0.0,38.96,38.96,38.96,0.0,0.0
2018-04-29,39.02,39.02,39.02,0.0,0.0,39.55,39.55,39.55,0.0,0.0,39.02,39.02,39.02,0.0,0.0,39.46,39.46,39.46,0.0,0.0
2018-05-06,40.18,40.18,40.18,0.0,0.0,40.3,40.3,40.3,0.0,0.0,39.94,39.94,39.94,0.0,0.0,39.99,39.99,39.99,0.0,0.0
2018-05-13,38.61,38.61,38.61,0.0,0.0,38.71,38.71,38.71,0.0,0.0,38.41,38.41,38.41,0.0,0.0,38.58,38.58,38.58,0.0,0.0
2018-05-20,39.61,39.61,39.61,0.0,0.0,39.84,39.84,39.84,0.0,0.0,39.57,39.57,39.57,0.0,0.0,39.71,39.71,39.71,0.0,0.0
2018-05-27,40.39,40.39,40.39,0.0,0.0,40.67,40.67,40.67,0.0,0.0,40.26,40.26,40.26,0.0,0.0,40.57,40.57,40.57,0.0,0.0
2018-06-03,40.92,40.92,40.92,0.0,0.0,41.19,41.19,41.19,0.0,0.0,40.92,40.92,40.92,0.0,0.0,41.13,41.13,41.13,0.0,0.0
2018-06-10,40.77,40.77,40.77,0.0,0.0,41.11,41.11,41.11,0.0,0.0,40.72,40.72,40.72,0.0,0.0,40.77,40.77,40.77,0.0,0.0
2018-06-17,41.5,41.5,41.5,0.0,0.0,41.83,41.83,41.83,0.0,0.0,41.36,41.36,41.36,0.0,0.0,41.8,41.8,41.8,0.0,0.0
2018-06-24,41.61,41.61,41.61,0.0,0.0,41.97,41.97,41.97,0.0,0.0,41.38,41.38,41.38,0.0,0.0,41.78,41.78,41.78,0.0,0.0
2018-07-01,42.4,42.4,42.4,0.0,0.0,42.5,42.5,42.5,0.0,0.0,42.3,42.3,42.3,0.0,0.0,42.42,42.42,42.42,0.0,0.0
2018-07-08,42.27,42.27,42.27,0.0,0.0,42.37,42.37,42.37,0.0,0.0,42.02,42.02,42.02,0.0,0.0,42.05,42.05,42.05,0.0,0.0
2018-07-15,41.66,41.66,41.66,0.0,0.0,41.84,41.84,41.84,0.0,0.0,41.29,41.29,41.29,0.0,0.0,41.44,41.44,41.44,0.0,0.0
2018-07-22,41.72,41.72,41.72,0.0,0.0,41.75,41.75,41.75,0.0,0.0,41.04,41.04,41.04,0.0,0.0,41.07,41.07,41.07,0.0,0.0
2018-07-29,42.07,42.07,42.07,0.0,0.0,42.56,42.56,42.56,0.0,0.0,42.07,42.07,42.07,0.0,0.0,42.51,42.51,42.51,0.0,0.0
2018-08-05,42.18,42.18,42.18,0.0,0.0,42.24,42.24,42.24,0.0,0.0,41.8,41.8,41.8,0.0,0.0,41.84,41.84,41.84,0.0,0.0
2018-08-12,42.71,42.71,42.71,0.0,0.0,43.21,43.21,43.21,0.0,0.0,42.71,42.71,42.71,0.0,0.0,43.21,43.21,43.21,0.0,0.0
2018-08-19,42.54,42.54,42.54,0.0,0.0,42.89,42.89,42.89,0.0,0.0,42.52,42.52,42.52,0.0,0.0,42.88,42.88,42.88,0.0,0.0
2018-08-26,43.12,43.12,43.12,0.0,0.0,43.34,43.34,43.34,0.0,0.0,43.04,43.04,43.04,0.0,0.0,43.26,43.26,43.26,0.0,0.0
2018-09-02,43.01,43.01,43.01,0.0,0.0,43.01,43.01,43.01,0.0,0.0,42.66,42.66,42.66,0.0,0.0,42.71,42.71,42.71,0.0,0.0
2018-09-09,43.01,43.01,43.01,0.0,0.0,43.01,43.01,43.01,0.0,0.0,42.34,42.34,42.34,0.0,0.0,42.72,42.72,42.72,0.0,0.0
2018-09-16,42.54,42.54,42.54,0.0,0.0,42.82,42.82,42.82,0.0,0.0,42.42,42.42,42.42,0.0,0.0,42.61,42.61,42.61,0.0,0.0
2018-09-23,41.13,41.13,41.13,0.0,0.0,41.73,41.73,41.73,0.0,0.0,41.1,41.1,41.1,0.0,0.0,41.73,41.73,41.73,0.0,0.0
2018-09-30,40.45,40.45,40.45,0.0,0.0,40.69,40.69,40.69,0.0,0.0,40.41,40.41,40.41,0.0,0.0,40.46,40.46,40.46,0.0,0.0
2018-10-07,39.64,39.64,39.64,0.0,0.0,39.87,39.87,39.87,0.0,0.0,39.14,39.14,39.14,0.0,0.0,39.36,39.36,39.36,0.0,0.0
2018-10-14,40.08,40.08,40.08,0.0,0.0,40.51,40.51,40.51,0.0,0.0,40.08,40.08,40.08,0.0,0.0,40.4,40.4,40.4,0.0,0.0
2018-10-21,40.9,40.9,40.9,0.0,0.0,40.94,40.94,40.94,0.0,0.0,39.94,39.94,39.94,0.0,0.0,40.22,40.22,40.22,0.0,0.0
2018-10-28,40.84,40.84,40.84,0.0,0.0,40.88,40.88,40.88,0.0,0.0,39.85,39.85,39.85,0.0,0.0,40.3,40.3,40.3,0.0,0.0
2018-11-04,41.79,41.79,41.79,0.0,0.0,42.0,42.0,42.0,0.0,0.0,41.63,41.63,41.63,0.0,0.0,41.86,41.86,41.86,0.0,0.0
2018-11-11,41.4,41.4,41.4,0.0,0.0,41.93,41.93,41.93,0.0,0.0,41.36,41.36,41.36,0.0,0.0,41.9,41.9,41.9,0.0,0.0
2018-11-18,41.61,41.61,41.61,0.0,0.0,41.81,41.81,41.81,0.0,0.0,41.35,41.35,41.35,0.0,0.0,41.58,41.58,41.58,0.0,0.0
2018-11-25,42.28,42.28,42.28,0.0,0.0,42.64,42.64,42.64,0.0,0.0,42.17,42.17,42.17,0.0,0.0,42.59,42.59,42.59,0.0,0.0
2018-12-02,43.15,43.15,43.15,0.0,0.0,43.21,43.21,43.21,0.0,0.0,42.62,42.62,42.62,0.0,0.0,42.77,42.77,42.77,0.0,0.0
2018-12-09,41.14,41.14,41.14,0.0,0.0,41.34,41.34,41.34,0.0,0.0,40.97,40.97,40.97,0.0,0.0,41.23,41.23,41.23,0.0,0.0
2018-12-16,39.0,39.0,39.0,0.0,0.0,39.83,39.83,39.83,0.0,0.0,38.53,38.53,38.53,0.0,0.0,38.58,38.58,38.58,0.0,0.0
2018-12-23,38.59,38.59,38.59,0.0,0.0,38.74,38.74,38.74,0.0,0.0,38.0,38.0,38.0,0.0,0.0,38.37,38.37,38.37,0.0,0.0
2018-12-30,37.78,37.78,37.78,0.0,0.0,38.47,38.47,38.47,0.0,0.0,37.73,37.73,37.73,0.0,0.0,38.14,38.14,38.14,0.0,0.0
2019-01-06,39.81,39.81,39.81,0.0,0.0,40.06,40.06,40.06,0.0,0.0,39.71,39.71,39.71,0.0,0.0,40.02,40.02,40.02,0.0,0.0
2019-01-13,40.88,40.88,40.88,0.0,0.0,40.93,40.93,40.93,0.0,0.0,40.58,40.58,40.58,0.0,0.0,40.93,40.93,40.93,0.0,0.0
2019-01-20,40.99,40.99,40.99,0.0,0.0,41.43,41.43,41.43,0.0,0.0,40.96,40.96,40.96,0.0,0.0,41.42,41.42,41.42,0.0,0.0
2019-01-27,42.96,42.96,42.96,0.0,0.0,43.03,43.03,43.03,0.0,0.0,41.91,41.91,41.91,0.0,0.0,42.6,42.6,42.6,0.0,0.0
2019-02-03,43.27,43.27,43.27,0.0,0.0,43.59,43.59,43.59,0.0,0.0,43.19,43.19,43.19,0.0,0.0,43.43,43.43,43.43,0.0,0.0
2019-02-10,43.58,43.58,43.58,0.0,0.0,43.73,43.73,43.73,0.0,0.0,43.44,43.44,43.44,0.0,0.0,43.73,43.73,43.73,0.0,0.0
2019-02-17,43.62,43.62,43.62,0.0,0.0,44.0,44.0,44.0,0.0,0.0,43.52,43.52,43.52,0.0,0.0,43.82,43.82,43.82,0.0,0.0
2019-02-24,43.35,43.35,43.35,0.0,0.0,43.38,43.38,43.38,0.0,0.0,42.57,42.57,42.57,0.0,0.0,43.04,43.04,43.04,0.0,0.0
2019-03-03,43.0,43.0,43.0,0.0,0.0,43.31,43.31,43.31,0.0,0.0,42.91,42.91,42.91,0.0,0.0,43.07,43.07,43.07,0.0,0.0
2019-03-10,44.2,44.2,44.2,0.0,0.0,44.24,44.24,44.24,0.0,0.0,43.8,43.8,43.8,0.0,0.0,43.91,43.91,43.91,0.0,0.0
