Date,RiverFront Dynamic US Dividend Advantage_Open_average,RiverFront Dynamic US Dividend Advantage_Open_max,RiverFront Dynamic US Dividend Advantage_Open_min,RiverFront Dynamic US Dividend Advantage_Open_volatility,RiverFront Dynamic US Dividend Advantage_Open_change,RiverFront Dynamic US Dividend Advantage_High_average,RiverFront Dynamic US Dividend Advantage_High_max,RiverFront Dynamic US Dividend Advantage_High_min,RiverFront Dynamic US Dividend Advantage_High_volatility,RiverFront Dynamic US Dividend Advantage_High_change,RiverFront Dynamic US Dividend Advantage_Low_average,RiverFront Dynamic US Dividend Advantage_Low_max,RiverFront Dynamic US Dividend Advantage_Low_min,RiverFront Dynamic US Dividend Advantage_Low_volatility,RiverFront Dynamic US Dividend Advantage_Low_change,RiverFront Dynamic US Dividend Advantage_Close_average,RiverFront Dynamic US Dividend Advantage_Close_max,RiverFront Dynamic US Dividend Advantage_Close_min,RiverFront Dynamic US Dividend Advantage_Close_volatility,RiverFront Dynamic US Dividend Advantage_Close_change
2018-01-14,33.57,33.57,33.57,0.0,0.0,33.57,33.57,33.57,0.0,0.0,33.28,33.28,33.28,0.0,0.0,33.53,33.53,33.53,0.0,0.0
2018-01-21,33.73,33.73,33.73,0.0,0.0,33.86,33.86,33.86,0.0,0.0,33.68,33.68,33.68,0.0,0.0,33.68,33.68,33.68,0.0,0.0
2018-01-28,32.28,32.28,32.28,0.0,0.0,32.42,32.42,32.42,0.0,0.0,31.13,31.13,31.13,0.0,0.0,31.14,31.14,31.14,0.0,0.0
2018-02-04,30.93,30.93,30.93,0.0,0.0,31.26,31.26,31.26,0.0,0.0,30.81,30.81,30.81,0.0,0.0,31.19,31.19,31.19,0.0,0.0
2018-02-11,32.2,32.2,32.2,0.0,0.0,32.27,32.27,32.27,0.0,0.0,32.08,32.08,32.08,0.0,0.0,32.08,32.08,32.08,0.0,0.0
2018-02-18,32.46,32.46,32.46,0.0,0.0,32.58,32.58,32.58,0.0,0.0,32.3,32.3,32.3,0.0,0.0,32.57,32.57,32.57,0.0,0.0
2018-02-25,32.04,32.04,32.04,0.0,0.0,32.3,32.3,32.3,0.0,0.0,32.04,32.04,32.04,0.0,0.0,32.3,32.3,32.3,0.0,0.0
2018-03-04,33.1,33.1,33.1,0.0,0.0,33.1,33.1,33.1,0.0,0.0,32.95,32.95,32.95,0.0,0.0,33.05,33.05,33.05,0.0,0.0
2018-03-11,32.45,32.45,32.45,0.0,0.0,32.49,32.49,32.49,0.0,0.0,32.01,32.01,32.01,0.0,0.0,32.21,32.21,32.21,0.0,0.0
2018-03-18,32.66,32.66,32.66,0.0,0.0,32.66,32.66,32.66,0.0,0.0,30.79,30.79,30.79,0.0,0.0,31.42,31.42,31.42,0.0,0.0
2018-03-25,31.3,31.3,31.3,0.0,0.0,31.3,31.3,31.3,0.0,0.0,30.49,30.49,30.49,0.0,0.0,30.58,30.58,30.58,0.0,0.0
2018-04-01,31.29,31.29,31.29,0.0,0.0,31.41,31.41,31.41,0.0,0.0,31.29,31.29,31.29,0.0,0.0,31.41,31.41,31.41,0.0,0.0
2018-04-08,31.55,31.55,31.55,0.0,0.0,31.86,31.86,31.86,0.0,0.0,31.55,31.55,31.55,0.0,0.0,31.82,31.82,31.82,0.0,0.0
2018-04-15,31.57,31.57,31.57,0.0,0.0,31.71,31.71,31.71,0.0,0.0,31.37,31.37,31.37,0.0,0.0,31.45,31.45,31.45,0.0,0.0
2018-04-22,31.7,31.7,31.7,0.0,0.0,31.72,31.72,31.72,0.0,0.0,31.43,31.43,31.43,0.0,0.0,31.43,31.43,31.43,0.0,0.0
2018-04-29,31.32,31.32,31.32,0.0,0.0,31.48,31.48,31.48,0.0,0.0,31.32,31.32,31.32,0.0,0.0,31.4,31.4,31.4,0.0,0.0
2018-05-06,32.25,32.25,32.25,0.0,0.0,32.25,32.25,32.25,0.0,0.0,32.11,32.11,32.11,0.0,0.0,32.12,32.12,32.12,0.0,0.0
2018-05-13,32.4,32.4,32.4,0.0,0.0,32.4,32.4,32.4,0.0,0.0,32.27,32.27,32.27,0.0,0.0,32.35,32.35,32.35,0.0,0.0
2018-05-20,32.25,32.25,32.25,0.0,0.0,32.3,32.3,32.3,0.0,0.0,32.16,32.16,32.16,0.0,0.0,32.21,32.21,32.21,0.0,0.0
