Date,IQV_Open_average,IQV_Open_max,IQV_Open_min,IQV_Open_volatility,IQV_Open_change,IQV_High_average,IQV_High_max,IQV_High_min,IQV_High_volatility,IQV_High_change,IQV_Low_average,IQV_Low_max,IQV_Low_min,IQV_Low_volatility,IQV_Low_change,IQV_Close_average,IQV_Close_max,IQV_Close_min,IQV_Close_volatility,IQV_Close_change,IQV_Volume_average,IQV_Volume_max,IQV_Volume_min,IQV_Volume_volatility,IQV_Volume_change
2018-01-14,100.41,100.5,100.34,0.1599999999999966,-0.09000000000000341,101.345,103.05,100.58,2.469999999999999,2.039999999999992,99.875,100.34,99.57,0.7700000000000102,0.4900000000000091,100.7675,103.0,99.92,3.0799999999999983,3.069999999999993,1019956,1351872,795222,556650,394332
2018-01-21,103.486,105.0,102.76,2.239999999999995,2.239999999999995,104.634,106.13,103.84,2.289999999999992,2.0999999999999943,103.274,104.68,102.48,2.200000000000003,2.200000000000003,104.028,106.01,102.84,3.1700000000000017,3.1700000000000017,1219362,1779249,815795,963454,96210
2018-01-28,104.07600000000001,105.3,102.12,3.1799999999999926,-1.710000000000008,105.006,106.33,103.33,3.0,-3.0,102.344,104.34,100.5,3.8400000000000034,-3.8400000000000034,103.36,105.58,100.54,5.039999999999992,-5.039999999999992,1021721,1517798,779898,737900,-43733
2018-02-04,97.654,100.32,95.21,5.109999999999999,-4.059999999999988,99.1,100.99,96.88,4.109999999999999,-4.109999999999999,95.312,98.16,93.1,5.060000000000002,-1.8399999999999892,96.86,98.21,95.23,2.9799999999999898,-0.7000000000000028,1225117,1760634,904991,855643,-125103
2018-02-11,100.57600000000001,105.51,96.9,8.61,4.489999999999995,103.564,108.38,99.44,8.939999999999998,3.0600000000000023,98.932,101.16,95.95,5.209999999999994,5.209999999999994,101.332,104.68,98.63,6.050000000000011,3.0900000000000034,1626024,2273019,1258340,1014679,30425
2018-02-18,100.2775,101.58,98.87,2.7099999999999937,-2.7099999999999937,101.0575,102.07,99.92,2.1499999999999915,-2.1499999999999915,98.88499999999999,99.78,97.82,1.960000000000008,-1.5700000000000074,99.545,100.26,98.38,1.8800000000000097,-0.480000000000004,1356050,1403805,1301499,102306,102306
2018-02-25,99.04,100.0,96.94,3.0600000000000023,-3.0600000000000023,100.052,100.9,98.87,2.030000000000001,-1.230000000000004,97.694,98.71,96.24,2.469999999999999,-2.2700000000000102,98.648,99.97,97.2,2.769999999999996,-1.7999999999999972,1370753,1821077,989902,831175,-668960
2018-03-04,100.948,103.78,98.03,5.75,5.75,102.53,105.66,100.15,5.509999999999991,5.509999999999991,100.33,102.98,96.94,6.040000000000006,6.040000000000006,102.226,105.6,99.69,5.909999999999997,5.909999999999997,849333,1063875,620596,443279,122011
2018-03-11,105.75,106.12,105.27,0.8500000000000085,-0.6899999999999977,106.474,106.81,106.0,0.8100000000000023,-0.8100000000000023,104.97,105.45,104.37,1.0799999999999983,-0.519999999999996,105.49600000000001,105.93,104.84,1.0900000000000034,-0.2400000000000091,912357,1111427,740170,371257,-86766
2018-03-18,104.072,105.46,102.06,3.3999999999999915,-3.3999999999999915,104.58800000000001,105.68,102.49,3.190000000000012,-3.010000000000005,102.654,104.09,99.56,4.530000000000001,-4.390000000000001,103.056,104.81,99.72,5.090000000000003,-5.040000000000006,690048,919902,566332,353570,340928
