Date,EUHMF_Open_average,EUHMF_Open_max,EUHMF_Open_min,EUHMF_Open_volatility,EUHMF_Open_change,EUHMF_High_average,EUHMF_High_max,EUHMF_High_min,EUHMF_High_volatility,EUHMF_High_change,EUHMF_Low_average,EUHMF_Low_max,EUHMF_Low_min,EUHMF_Low_volatility,EUHMF_Low_change,EUHMF_Close_average,EUHMF_Close_max,EUHMF_Close_min,EUHMF_Close_volatility,EUHMF_Close_change,EUHMF_Volume_average,EUHMF_Volume_max,EUHMF_Volume_min,EUHMF_Volume_volatility,EUHMF_Volume_change
2016-01-03,87.198,91.22,84.0,7.219999999999999,-6.099999999999994,87.694,91.22,85.12,6.099999999999994,-5.219999999999999,84.346,85.32,83.0,2.319999999999993,-1.3199999999999932,85.3,85.77,84.47,1.2999999999999972,-1.2999999999999972,16186,19418,11820,7598,-7557
2016-01-10,83.874,85.0,82.57,2.430000000000007,-1.4300000000000068,84.4,85.48,82.74,2.740000000000009,-1.6600000000000108,82.95,84.0,82.0,2.0,-1.2000000000000028,83.416,84.35,82.25,2.0999999999999943,-1.3400000000000034,16887,25381,12051,13330,-10408
2016-01-17,79.602,82.65,76.4,6.25,-6.25,80.11,82.65,77.8,4.8500000000000085,-4.8500000000000085,77.816,80.7,75.57,5.13000000000001,-4.480000000000004,78.46,80.7,76.94,3.760000000000005,-3.6700000000000017,28393,52829,17062,35767,35767
2016-01-24,77.642,77.8,77.13,0.6700000000000017,0.0,78.074,79.95,77.13,2.8200000000000074,2.1500000000000057,76.008,77.16,75.38,1.7800000000000011,1.519999999999996,77.332,79.0,76.07,2.930000000000007,2.0,20334,31622,10090,21532,8242
2016-01-31,77.772,80.0,75.0,5.0,-5.0,78.124,80.0,76.68,3.319999999999993,-3.319999999999993,75.94800000000001,78.06,74.65,3.4099999999999966,-3.0600000000000023,76.514,78.55,75.0,3.549999999999997,-2.9099999999999966,18945,22494,15908,6586,2807
2016-02-07,73.536,76.0,72.0,4.0,-3.269999999999996,74.238,76.13,72.73,3.3999999999999915,-3.3999999999999915,71.568,73.54,70.5,3.0400000000000063,-3.0400000000000063,72.316,73.8,70.65,3.1499999999999915,-2.239999999999995,17063,24415,10844,13571,-8907
2016-02-14,74.744,79.62,71.57,8.050000000000011,8.050000000000011,75.792,79.62,73.12,6.5,6.340000000000003,73.628,77.44,71.57,5.8700000000000045,5.8700000000000045,75.146,78.2,72.25,5.950000000000003,5.25,14536,23681,5178,18503,7433
2016-02-21,77.568,78.29,76.7,1.5900000000000034,-0.8700000000000045,78.142,78.72,77.5,1.2199999999999989,-1.0,76.794,77.29,75.9,1.3900000000000006,-0.060000000000002274,77.48,78.4,77.0,1.4000000000000057,-0.9000000000000057,27675,62242,12814,49428,-8805
2016-02-28,76.41,77.3,75.7,1.5999999999999943,1.1099999999999994,77.13,77.63,76.65,0.9799999999999898,0.6299999999999955,76.126,76.7,75.62,1.0799999999999983,1.0300000000000011,76.61,77.06,76.01,1.0499999999999972,0.4900000000000091,25676,45913,14101,31812,-31812
2016-03-06,76.24000000000001,76.79,76.0,0.7900000000000063,-0.7900000000000063,77.206,78.08,76.57,1.5100000000000051,1.0799999999999983,75.674,76.09,75.25,0.8400000000000034,-0.2600000000000051,76.27,77.28,75.25,2.030000000000001,0.8100000000000023,9884,14011,7140,6871,91
2016-03-13,78.626,79.95,77.4,2.549999999999997,2.469999999999999,79.574,80.67,78.42,2.25,2.25,78.274,79.5,77.4,2.0999999999999943,2.0999999999999943,79.31,80.67,78.08,2.5900000000000034,2.530000000000001,10514,13344,6322,7022,3630
2016-03-20,80.6875,81.5,80.0,1.5,-1.5,80.9025,82.18,80.0,2.180000000000007,-2.180000000000007,79.42,80.53,78.8,1.730000000000004,-1.730000000000004,80.12,81.24,79.25,1.9899999999999949,-1.9899999999999949,17789,29741,11985,17756,-3719
2016-03-27,79.4975,80.01,78.94,1.0700000000000074,0.2400000000000091,80.095,80.66,79.56,1.0999999999999943,-0.21999999999999886,78.99000000000001,79.37,78.51,0.8599999999999994,0.21999999999999886,79.4925,80.4,78.73,1.6700000000000017,-0.46999999999999886,15835,23193,6976,16217,-7025
2016-04-03,79.824,80.86,78.6,2.260000000000005,1.0699999999999932,79.906,80.86,78.69,2.1700000000000017,1.0699999999999932,78.4,79.23,77.02,2.210000000000008,0.8900000000000006,79.148,79.5,78.41,1.0900000000000034,0.4900000000000091,13978,21134,5924,15210,11531
2016-04-10,80.852,82.8,79.34,3.4599999999999937,2.010000000000005,81.426,82.88,79.46,3.4200000000000017,2.010000000000005,79.958,81.54,78.24,3.3000000000000114,1.9899999999999949,81.108,82.8,79.45,3.3499999999999943,2.3900000000000006,13553,22067,6252,15815,-2320
2016-04-17,82.628,83.03,81.8,1.230000000000004,1.230000000000004,83.606,85.61,82.25,3.3599999999999994,3.3599999999999994,82.366,83.03,80.92,2.1099999999999994,2.1099999999999994,83.218,84.79,82.23,2.5600000000000023,2.5600000000000023,10202,16696,7457,9239,-6333
