Date,HOV_Open_average,HOV_Open_max,HOV_Open_min,HOV_Open_volatility,HOV_Open_change,HOV_High_average,HOV_High_max,HOV_High_min,HOV_High_volatility,HOV_High_change,HOV_Low_average,HOV_Low_max,HOV_Low_min,HOV_Low_volatility,HOV_Low_change,HOV_Close_average,HOV_Close_max,HOV_Close_min,HOV_Close_volatility,HOV_Close_change,HOV_Volume_average,HOV_Volume_max,HOV_Volume_min,HOV_Volume_volatility,HOV_Volume_change
2018-01-14,67.5625,72.5,64.75,7.75,-7.75,68.6875,73.75,65.75,8.0,-8.0,64.625,66.0,63.5,2.5,-2.5,65.4375,66.75,64.0,2.75,-2.25,91946,131073,62938,68135,-68135
2018-01-21,63.35,65.25,60.0,5.25,-3.5,64.0,66.25,60.75,5.5,-3.75,60.926,63.0,57.25,5.75,-5.5,62.0,64.5,58.25,6.25,-5.75,88022,153062,41561,111501,111501
2018-01-28,53.25,57.5,49.75,7.75,-6.0,54.8,58.5,52.5,6.0,-6.0,50.85,55.0,48.75,6.25,-5.25,52.2,55.0,50.75,4.25,-3.75,127567,145446,107287,38159,28662
2018-02-04,49.65,50.5,48.75,1.75,-1.75,51.226,52.0,49.75,2.25,-2.1300000000000026,48.5,49.75,47.25,2.5,-2.5,49.35,50.25,48.0,2.25,-1.25,113977,143677,91716,51961,-51961
2018-02-11,51.35,53.5,48.75,4.75,4.0,53.576,56.5,51.38,5.119999999999997,5.119999999999997,50.6,52.75,48.5,4.25,4.25,52.8,56.0,50.5,5.5,5.0,66555,84016,45340,38676,9924
2018-02-18,59.0625,60.0,57.0,3.0,-3.0,60.3125,62.25,57.0,5.25,-5.25,56.75,58.25,55.25,3.0,-2.5,57.625,59.25,56.0,3.25,-1.75,124615,215335,76101,139234,-139234
2018-02-25,56.3,59.0,54.0,5.0,-3.5,58.352000000000004,62.63,55.75,6.880000000000003,-2.8699999999999974,54.276,55.75,53.25,2.5,-2.0,55.85,58.75,54.25,4.5,-2.0,91442,115795,57994,57801,-35542
2018-03-04,56.15,58.0,54.0,4.0,-2.75,57.026,58.88,54.5,4.380000000000003,-3.25,54.4,56.0,51.25,4.75,-2.75,56.05,58.75,53.25,5.5,-3.5,61886,100859,36095,64764,-24084
2018-03-11,52.1,54.0,49.5,4.5,-3.5,53.4,55.5,51.5,4.0,-2.75,50.45,52.5,48.0,4.5,-3.0,51.75,54.0,49.75,4.25,-1.5,84109,123661,49755,73906,60946
2018-03-18,49.15,50.5,48.0,2.5,-2.25,50.826,52.5,49.63,2.8699999999999974,-2.8699999999999974,48.2,49.5,47.75,1.75,-1.75,48.65,49.75,47.75,2.0,-2.0,83934,106503,68605,37898,-14856
2018-03-25,47.5625,48.75,45.75,3.0,-2.5,48.4375,49.25,46.75,2.5,-2.25,45.9375,47.25,45.25,2.0,-0.25,46.875,48.75,45.5,3.25,-3.0,66697,97700,44146,53554,-53554
2018-04-01,45.5,48.0,42.5,5.5,1.0,47.126,49.0,44.5,4.5,2.75,44.1,46.5,42.0,4.5,2.0,45.45,47.25,43.0,4.25,3.0,67596,96515,56440,40075,-4015
2018-04-08,47.25,48.75,46.25,2.5,0.5,48.402,49.0,47.75,1.25,-0.25,45.976,47.25,44.5,2.75,1.6199999999999974,47.15,48.0,46.25,1.75,-0.5,63202,103581,32597,70984,52226
2018-04-15,49.2,50.75,47.5,3.25,1.5,50.25,51.25,48.5,2.75,1.5,48.332,50.0,46.78,3.219999999999999,2.219999999999999,49.75,51.0,48.25,2.75,1.25,43488,69216,26174,43042,8346
2018-04-22,49.55,51.0,49.0,2.0,1.75,50.776,52.13,49.5,2.6300000000000026,2.5,49.026,50.5,48.13,2.3699999999999974,2.3699999999999974,50.0,51.0,49.25,1.75,1.75,52407,73586,22865,50721,13987
2018-04-29,50.4,51.25,50.0,1.25,-0.75,51.302,51.75,51.0,0.75,-0.36999999999999744,49.326,49.75,48.88,0.8699999999999974,0.0,50.6,51.25,50.25,1.0,1.0,47419,72694,35242,37452,37452
2018-05-06,49.65,51.5,47.0,4.5,-4.25,50.5,52.25,47.75,4.5,-4.5,48.35,50.5,46.75,3.75,-3.75,48.95,51.75,47.0,4.75,-4.75,44068,75801,29192,46609,2588
2018-05-13,45.15,47.0,43.0,4.0,-0.25,46.25,47.5,43.5,4.0,0.0,43.656,46.0,41.25,4.75,0.75,45.0,47.25,42.75,4.5,2.0,69492,102525,33953,68572,-14507
2018-05-20,46.5,47.75,45.5,2.25,-1.5,47.55,48.25,46.5,1.75,-0.25,45.65,46.25,45.0,1.25,0.25,46.4,47.0,45.75,1.25,0.75,30290,40810,25295,15515,-10780
2018-05-27,46.5,47.5,45.0,2.5,-2.25,46.9375,47.75,45.5,2.25,-2.25,44.875,46.0,43.75,2.25,-2.25,45.3125,46.75,44.0,2.75,-2.75,32137,46546,24595,21951,5835
