Date,Global X MSCI China Communication Services_Open_average,Global X MSCI China Communication Services_Open_max,Global X MSCI China Communication Services_Open_min,Global X MSCI China Communication Services_Open_volatility,Global X MSCI China Communication Services_Open_change,Global X MSCI China Communication Services_High_average,Global X MSCI China Communication Services_High_max,Global X MSCI China Communication Services_High_min,Global X MSCI China Communication Services_High_volatility,Global X MSCI China Communication Services_High_change,Global X MSCI China Communication Services_Low_average,Global X MSCI China Communication Services_Low_max,Global X MSCI China Communication Services_Low_min,Global X MSCI China Communication Services_Low_volatility,Global X MSCI China Communication Services_Low_change,Global X MSCI China Communication Services_Close_average,Global X MSCI China Communication Services_Close_max,Global X MSCI China Communication Services_Close_min,Global X MSCI China Communication Services_Close_volatility,Global X MSCI China Communication Services_Close_change
2018-01-14,33.58,33.58,33.58,0.0,0.0,33.59,33.59,33.59,0.0,0.0,33.44,33.44,33.44,0.0,0.0,33.58,33.58,33.58,0.0,0.0
2018-01-21,33.52,33.52,33.52,0.0,0.0,33.52,33.52,33.52,0.0,0.0,33.0,33.0,33.0,0.0,0.0,33.09,33.09,33.09,0.0,0.0
2018-01-28,31.04,31.04,31.04,0.0,0.0,31.79,31.79,31.79,0.0,0.0,30.5,30.5,30.5,0.0,0.0,30.51,30.51,30.51,0.0,0.0
2018-02-04,29.1,29.1,29.1,0.0,0.0,29.65,29.65,29.65,0.0,0.0,29.0,29.0,29.0,0.0,0.0,29.41,29.41,29.41,0.0,0.0
2018-02-11,31.51,31.51,31.51,0.0,0.0,32.12,32.12,32.12,0.0,0.0,31.38,31.38,31.38,0.0,0.0,31.47,31.47,31.47,0.0,0.0
2018-02-18,32.66,32.66,32.66,0.0,0.0,32.78,32.78,32.78,0.0,0.0,32.09,32.09,32.09,0.0,0.0,32.19,32.19,32.19,0.0,0.0
2018-02-25,31.2,31.2,31.2,0.0,0.0,31.94,31.94,31.94,0.0,0.0,31.2,31.2,31.2,0.0,0.0,31.75,31.75,31.75,0.0,0.0
2018-03-04,33.19,33.19,33.19,0.0,0.0,33.3,33.3,33.3,0.0,0.0,32.8,32.8,32.8,0.0,0.0,32.91,32.91,32.91,0.0,0.0
2018-03-11,32.97,32.97,32.97,0.0,0.0,32.97,32.97,32.97,0.0,0.0,32.36,32.36,32.36,0.0,0.0,32.58,32.58,32.58,0.0,0.0
2018-03-18,31.4,31.4,31.4,0.0,0.0,31.56,31.56,31.56,0.0,0.0,30.82,30.82,30.82,0.0,0.0,31.56,31.56,31.56,0.0,0.0
2018-03-25,30.09,30.09,30.09,0.0,0.0,30.49,30.49,30.49,0.0,0.0,29.3,29.3,29.3,0.0,0.0,29.59,29.59,29.59,0.0,0.0
2018-04-01,29.85,29.85,29.85,0.0,0.0,30.37,30.37,30.37,0.0,0.0,29.61,29.61,29.61,0.0,0.0,29.96,29.96,29.96,0.0,0.0
2018-04-08,29.46,29.46,29.46,0.0,0.0,29.73,29.73,29.73,0.0,0.0,29.29,29.29,29.29,0.0,0.0,29.59,29.59,29.59,0.0,0.0
2018-04-15,29.21,29.21,29.21,0.0,0.0,29.35,29.35,29.35,0.0,0.0,29.0,29.0,29.0,0.0,0.0,29.1,29.1,29.1,0.0,0.0
2018-04-22,29.25,29.25,29.25,0.0,0.0,29.31,29.31,29.31,0.0,0.0,29.09,29.09,29.09,0.0,0.0,29.17,29.17,29.17,0.0,0.0
2018-04-29,29.04,29.04,29.04,0.0,0.0,29.64,29.64,29.64,0.0,0.0,28.94,28.94,28.94,0.0,0.0,29.64,29.64,29.64,0.0,0.0
2018-05-06,30.26,30.26,30.26,0.0,0.0,30.6,30.6,30.6,0.0,0.0,30.19,30.19,30.19,0.0,0.0,30.58,30.58,30.58,0.0,0.0
2018-05-13,30.41,30.41,30.41,0.0,0.0,30.43,30.43,30.43,0.0,0.0,29.8,29.8,29.8,0.0,0.0,29.95,29.95,29.95,0.0,0.0
2018-05-20,29.96,29.96,29.96,0.0,0.0,29.99,29.99,29.99,0.0,0.0,29.81,29.81,29.81,0.0,0.0,29.99,29.99,29.99,0.0,0.0
2018-05-27,31.0,31.0,31.0,0.0,0.0,31.46,31.46,31.46,0.0,0.0,31.0,31.0,31.0,0.0,0.0,31.46,31.46,31.46,0.0,0.0
