Date,SPDR Citi International Government Inflation-Prote_Open_average,SPDR Citi International Government Inflation-Prote_Open_max,SPDR Citi International Government Inflation-Prote_Open_min,SPDR Citi International Government Inflation-Prote_Open_volatility,SPDR Citi International Government Inflation-Prote_Open_change,SPDR Citi International Government Inflation-Prote_High_average,SPDR Citi International Government Inflation-Prote_High_max,SPDR Citi International Government Inflation-Prote_High_min,SPDR Citi International Government Inflation-Prote_High_volatility,SPDR Citi International Government Inflation-Prote_High_change,SPDR Citi International Government Inflation-Prote_Low_average,SPDR Citi International Government Inflation-Prote_Low_max,SPDR Citi International Government Inflation-Prote_Low_min,SPDR Citi International Government Inflation-Prote_Low_volatility,SPDR Citi International Government Inflation-Prote_Low_change,SPDR Citi International Government Inflation-Prote_Close_average,SPDR Citi International Government Inflation-Prote_Close_max,SPDR Citi International Government Inflation-Prote_Close_min,SPDR Citi International Government Inflation-Prote_Close_volatility,SPDR Citi International Government Inflation-Prote_Close_change
2018-01-14,59.11,59.11,59.11,0.0,0.0,59.24,59.24,59.24,0.0,0.0,58.97,58.97,58.97,0.0,0.0,59.1,59.1,59.1,0.0,0.0
2018-01-21,59.78,59.78,59.78,0.0,0.0,59.86,59.86,59.86,0.0,0.0,59.5,59.5,59.5,0.0,0.0,59.68,59.68,59.68,0.0,0.0
2018-01-28,58.94,58.94,58.94,0.0,0.0,58.94,58.94,58.94,0.0,0.0,58.65,58.65,58.65,0.0,0.0,58.85,58.85,58.85,0.0,0.0
2018-02-04,58.08,58.08,58.08,0.0,0.0,58.39,58.39,58.39,0.0,0.0,57.96,57.96,57.96,0.0,0.0,58.0,58.0,58.0,0.0,0.0
2018-02-11,59.12,59.12,59.12,0.0,0.0,59.39,59.39,59.39,0.0,0.0,59.11,59.11,59.11,0.0,0.0,59.14,59.14,59.14,0.0,0.0
2018-02-18,59.14,59.14,59.14,0.0,0.0,59.25,59.25,59.25,0.0,0.0,59.03,59.03,59.03,0.0,0.0,59.09,59.09,59.09,0.0,0.0
2018-02-25,58.45,58.45,58.45,0.0,0.0,58.7,58.7,58.7,0.0,0.0,58.45,58.45,58.45,0.0,0.0,58.57,58.57,58.57,0.0,0.0
2018-03-04,58.5,58.5,58.5,0.0,0.0,58.67,58.67,58.67,0.0,0.0,58.42,58.42,58.42,0.0,0.0,58.63,58.63,58.63,0.0,0.0
2018-03-11,58.24,58.24,58.24,0.0,0.0,58.52,58.52,58.52,0.0,0.0,58.2,58.2,58.2,0.0,0.0,58.36,58.36,58.36,0.0,0.0
2018-03-18,59.01,59.01,59.01,0.0,0.0,59.45,59.45,59.45,0.0,0.0,59.01,59.01,59.01,0.0,0.0,59.39,59.39,59.39,0.0,0.0
2018-03-25,59.55,59.55,59.55,0.0,0.0,59.56,59.56,59.56,0.0,0.0,59.35,59.35,59.35,0.0,0.0,59.49,59.49,59.49,0.0,0.0
2018-04-01,59.1,59.1,59.1,0.0,0.0,59.14,59.14,59.14,0.0,0.0,58.94,58.94,58.94,0.0,0.0,59.07,59.07,59.07,0.0,0.0
2018-04-08,59.27,59.27,59.27,0.0,0.0,59.28,59.28,59.28,0.0,0.0,59.08,59.08,59.08,0.0,0.0,59.22,59.22,59.22,0.0,0.0
2018-04-15,58.1,58.1,58.1,0.0,0.0,58.1,58.1,58.1,0.0,0.0,57.5,57.5,57.5,0.0,0.0,57.54,57.54,57.54,0.0,0.0
2018-04-22,57.41,57.41,57.41,0.0,0.0,57.44,57.44,57.44,0.0,0.0,57.21,57.21,57.21,0.0,0.0,57.22,57.22,57.22,0.0,0.0
2018-04-29,56.22,56.22,56.22,0.0,0.0,56.4,56.4,56.4,0.0,0.0,56.17,56.17,56.17,0.0,0.0,56.3,56.3,56.3,0.0,0.0
2018-05-06,56.42,56.42,56.42,0.0,0.0,56.42,56.42,56.42,0.0,0.0,56.0,56.0,56.0,0.0,0.0,56.02,56.02,56.02,0.0,0.0
2018-05-13,54.75,54.75,54.75,0.0,0.0,54.92,54.92,54.92,0.0,0.0,54.74,54.74,54.74,0.0,0.0,54.92,54.92,54.92,0.0,0.0
2018-05-20,54.95,54.95,54.95,0.0,0.0,55.15,55.15,55.15,0.0,0.0,54.95,54.95,54.95,0.0,0.0,55.08,55.08,55.08,0.0,0.0
2018-05-27,55.21,55.21,55.21,0.0,0.0,55.21,55.21,55.21,0.0,0.0,55.01,55.01,55.01,0.0,0.0,55.05,55.05,55.05,0.0,0.0
2018-06-03,54.81,54.81,54.81,0.0,0.0,55.18,55.18,55.18,0.0,0.0,54.81,54.81,54.81,0.0,0.0,55.17,55.17,55.17,0.0,0.0
2018-06-10,54.4,54.4,54.4,0.0,0.0,54.46,54.46,54.46,0.0,0.0,54.26,54.26,54.26,0.0,0.0,54.33,54.33,54.33,0.0,0.0
2018-06-17,54.61,54.61,54.61,0.0,0.0,54.61,54.61,54.61,0.0,0.0,54.4,54.4,54.4,0.0,0.0,54.45,54.45,54.45,0.0,0.0
2018-06-24,53.97,53.97,53.97,0.0,0.0,54.06,54.06,54.06,0.0,0.0,53.78,53.78,53.78,0.0,0.0,53.86,53.86,53.86,0.0,0.0
2018-07-01,54.88,54.88,54.88,0.0,0.0,54.89,54.89,54.89,0.0,0.0,54.69,54.69,54.69,0.0,0.0,54.74,54.74,54.74,0.0,0.0
2018-07-08,54.52,54.52,54.52,0.0,0.0,54.65,54.65,54.65,0.0,0.0,54.48,54.48,54.48,0.0,0.0,54.53,54.53,54.53,0.0,0.0
