Date,ProShares Ultra 20+ Year Treasury_etf_Open_average,ProShares Ultra 20+ Year Treasury_etf_Open_max,ProShares Ultra 20+ Year Treasury_etf_Open_min,ProShares Ultra 20+ Year Treasury_etf_Open_volatility,ProShares Ultra 20+ Year Treasury_etf_Open_change,ProShares Ultra 20+ Year Treasury_etf_High_average,ProShares Ultra 20+ Year Treasury_etf_High_max,ProShares Ultra 20+ Year Treasury_etf_High_min,ProShares Ultra 20+ Year Treasury_etf_High_volatility,ProShares Ultra 20+ Year Treasury_etf_High_change,ProShares Ultra 20+ Year Treasury_etf_Low_average,ProShares Ultra 20+ Year Treasury_etf_Low_max,ProShares Ultra 20+ Year Treasury_etf_Low_min,ProShares Ultra 20+ Year Treasury_etf_Low_volatility,ProShares Ultra 20+ Year Treasury_etf_Low_change,ProShares Ultra 20+ Year Treasury_etf_Close_average,ProShares Ultra 20+ Year Treasury_etf_Close_max,ProShares Ultra 20+ Year Treasury_etf_Close_min,ProShares Ultra 20+ Year Treasury_etf_Close_volatility,ProShares Ultra 20+ Year Treasury_etf_Close_change
2018-01-14,78.78,78.78,78.78,0.0,0.0,78.93,78.93,78.93,0.0,0.0,78.23,78.23,78.23,0.0,0.0,78.31,78.31,78.31,0.0,0.0
2018-01-21,79.03,79.03,79.03,0.0,0.0,79.11,79.11,79.11,0.0,0.0,78.36,78.36,78.36,0.0,0.0,78.83,78.83,78.83,0.0,0.0
2018-01-28,74.86,74.86,74.86,0.0,0.0,74.88,74.88,74.88,0.0,0.0,73.74,73.74,73.74,0.0,0.0,74.16,74.16,74.16,0.0,0.0
2018-02-04,72.23,72.23,72.23,0.0,0.0,73.42,73.42,73.42,0.0,0.0,71.99,71.99,71.99,0.0,0.0,72.1,72.1,72.1,0.0,0.0
2018-02-11,73.36,73.36,73.36,0.0,0.0,73.51,73.51,73.51,0.0,0.0,72.78,72.78,72.78,0.0,0.0,72.98,72.98,72.98,0.0,0.0
2018-02-18,71.85,71.85,71.85,0.0,0.0,72.39,72.39,72.39,0.0,0.0,71.82,71.82,71.82,0.0,0.0,72.28,72.28,72.28,0.0,0.0
2018-02-25,74.81,74.81,74.81,0.0,0.0,74.81,74.81,74.81,0.0,0.0,72.47,72.47,72.47,0.0,0.0,72.76,72.76,72.76,0.0,0.0
2018-03-04,72.27,72.27,72.27,0.0,0.0,72.42,72.42,72.42,0.0,0.0,71.83,71.83,71.83,0.0,0.0,72.14,72.14,72.14,0.0,0.0
2018-03-11,74.47,74.47,74.47,0.0,0.0,74.64,74.64,74.64,0.0,0.0,74.35,74.35,74.35,0.0,0.0,74.49,74.49,74.49,0.0,0.0
2018-03-18,74.05,74.05,74.05,0.0,0.0,75.0,75.0,75.0,0.0,0.0,73.99,73.99,73.99,0.0,0.0,74.6,74.6,74.6,0.0,0.0
2018-03-25,76.34,76.34,76.34,0.0,0.0,77.37,77.37,77.37,0.0,0.0,76.34,76.34,76.34,0.0,0.0,76.91,76.91,76.91,0.0,0.0
2018-04-01,75.45,75.45,75.45,0.0,0.0,76.12,76.12,76.12,0.0,0.0,75.0,75.0,75.0,0.0,0.0,76.03,76.03,76.03,0.0,0.0
2018-04-08,75.38,75.38,75.38,0.0,0.0,75.94,75.94,75.94,0.0,0.0,75.29,75.29,75.29,0.0,0.0,75.72,75.72,75.72,0.0,0.0
2018-04-15,73.16,73.16,73.16,0.0,0.0,73.3,73.3,73.3,0.0,0.0,72.61,72.61,72.61,0.0,0.0,72.65,72.65,72.65,0.0,0.0
2018-04-22,72.65,72.65,72.65,0.0,0.0,73.23,73.23,73.23,0.0,0.0,72.65,72.65,72.65,0.0,0.0,73.12,73.12,73.12,0.0,0.0
2018-04-29,73.58,73.58,73.58,0.0,0.0,73.64,73.64,73.64,0.0,0.0,73.03,73.03,73.03,0.0,0.0,73.51,73.51,73.51,0.0,0.0
2018-05-06,73.33,73.33,73.33,0.0,0.0,73.64,73.64,73.64,0.0,0.0,73.33,73.33,73.33,0.0,0.0,73.51,73.51,73.51,0.0,0.0
2018-05-13,70.57,70.57,70.57,0.0,0.0,71.27,71.27,71.27,0.0,0.0,70.49,70.49,70.49,0.0,0.0,71.27,71.27,71.27,0.0,0.0
2018-05-20,74.32,74.32,74.32,0.0,0.0,74.38,74.38,74.38,0.0,0.0,73.96,73.96,73.96,0.0,0.0,74.21,74.21,74.21,0.0,0.0
2018-05-27,75.08,75.08,75.08,0.0,0.0,75.54,75.54,75.54,0.0,0.0,74.82,74.82,74.82,0.0,0.0,75.22,75.22,75.22,0.0,0.0
2018-06-03,74.42,74.42,74.42,0.0,0.0,74.55,74.55,74.55,0.0,0.0,74.18,74.18,74.18,0.0,0.0,74.18,74.18,74.18,0.0,0.0
2018-06-10,76.12,76.12,76.12,0.0,0.0,76.12,76.12,76.12,0.0,0.0,75.23,75.23,75.23,0.0,0.0,75.23,75.23,75.23,0.0,0.0
2018-06-17,74.5,74.5,74.5,0.0,0.0,75.09,75.09,75.09,0.0,0.0,74.5,74.5,74.5,0.0,0.0,75.09,75.09,75.09,0.0,0.0
