Date,CBRL_Open_average,CBRL_Open_max,CBRL_Open_min,CBRL_Open_volatility,CBRL_Open_change,CBRL_High_average,CBRL_High_max,CBRL_High_min,CBRL_High_volatility,CBRL_High_change,CBRL_Low_average,CBRL_Low_max,CBRL_Low_min,CBRL_Low_volatility,CBRL_Low_change,CBRL_Close_average,CBRL_Close_max,CBRL_Close_min,CBRL_Close_volatility,CBRL_Close_change,CBRL_Volume_average,CBRL_Volume_max,CBRL_Volume_min,CBRL_Volume_volatility,CBRL_Volume_change
2018-01-14,170.86,174.05,167.63,6.420000000000016,1.6200000000000045,172.912,174.48,169.37,5.109999999999985,-0.4299999999999784,168.802,170.57,166.9,3.6699999999999875,0.4199999999999875,170.85999999999999,173.85,167.51,6.340000000000003,1.7199999999999989,415836,513901,343744,170157,83996
2018-01-21,174.534,176.51,172.95,3.5600000000000023,3.539999999999992,176.566,179.12,174.41,4.710000000000008,3.230000000000018,173.028,176.35,171.74,4.609999999999985,3.460000000000008,175.4,178.0,172.4,5.599999999999994,2.5,290425,345551,218596,126955,30026
2018-01-28,174.904,178.69,168.22,10.469999999999999,-8.52000000000001,175.81199999999998,178.69,169.63,9.060000000000002,-8.569999999999993,171.712,175.47,163.94,11.530000000000001,-11.189999999999998,173.158,177.74,165.5,12.240000000000009,-12.240000000000009,299320,402699,191069,211630,166381
2018-02-04,166.652,170.24,162.76,7.480000000000018,2.969999999999999,169.956,171.16,168.28,2.8799999999999955,2.5,163.788,166.74,159.61,7.1299999999999955,6.119999999999976,167.57,170.24,165.03,5.210000000000008,2.6899999999999977,322127,428663,153993,274670,24819
2018-02-11,170.1775,174.04,166.83,7.2099999999999795,5.199999999999989,172.81,175.77,169.82,5.950000000000017,5.950000000000017,168.9625,172.73,166.3,6.429999999999978,6.429999999999978,171.6,174.79,167.68,7.109999999999985,6.060000000000002,401177,564492,263501,300991,114179
2018-02-18,161.662,165.0,159.34,5.659999999999997,-3.8499999999999943,164.484,170.49,161.27,9.219999999999999,-3.219999999999999,158.102,160.22,156.09,4.1299999999999955,4.1299999999999955,160.596,161.88,158.53,3.3499999999999943,-0.5099999999999909,815950,1658241,240404,1417837,-1417837
2018-02-25,157.506,161.36,154.89,6.470000000000027,-3.210000000000008,159.89,162.0,157.98,4.02000000000001,-0.46999999999999886,155.724,157.57,153.56,4.009999999999991,0.5999999999999943,157.56,159.89,156.1,3.789999999999992,2.809999999999974,249455,339831,186857,152974,-78364
2018-03-04,160.78,162.34,158.98,3.3600000000000136,2.530000000000001,162.198,163.95,159.99,3.9599999999999795,3.9599999999999795,159.268,161.74,156.9,4.840000000000003,4.840000000000003,161.244,162.6,159.87,2.7299999999999898,2.7299999999999898,185661,216332,140916,75416,-50122
2018-03-11,161.608,164.49,159.0,5.490000000000009,-4.710000000000008,162.448,164.57,160.52,4.049999999999983,-3.719999999999999,159.676,162.74,157.76,4.980000000000018,-4.7900000000000205,160.832,164.09,159.45,4.640000000000015,-4.1200000000000045,322039,776013,148963,627050,-41427
2018-03-18,158.742,161.21,154.9,6.310000000000002,-5.049999999999983,160.836,162.33,157.49,4.840000000000003,-4.840000000000003,157.238,160.46,153.51,6.950000000000017,-5.679999999999978,157.826,161.06,153.54,7.52000000000001,-5.52000000000001,214509,328109,127469,200640,79799
