Date,Franklin FTSE South Korea_Open_average,Franklin FTSE South Korea_Open_max,Franklin FTSE South Korea_Open_min,Franklin FTSE South Korea_Open_volatility,Franklin FTSE South Korea_Open_change,Franklin FTSE South Korea_High_average,Franklin FTSE South Korea_High_max,Franklin FTSE South Korea_High_min,Franklin FTSE South Korea_High_volatility,Franklin FTSE South Korea_High_change,Franklin FTSE South Korea_Low_average,Franklin FTSE South Korea_Low_max,Franklin FTSE South Korea_Low_min,Franklin FTSE South Korea_Low_volatility,Franklin FTSE South Korea_Low_change,Franklin FTSE South Korea_Close_average,Franklin FTSE South Korea_Close_max,Franklin FTSE South Korea_Close_min,Franklin FTSE South Korea_Close_volatility,Franklin FTSE South Korea_Close_change
2018-01-14,26.77,26.77,26.77,0.0,0.0,26.89,26.89,26.89,0.0,0.0,26.74,26.74,26.74,0.0,0.0,26.86,26.86,26.86,0.0,0.0
2018-01-21,27.64,27.64,27.64,0.0,0.0,27.67,27.67,27.67,0.0,0.0,27.61,27.61,27.61,0.0,0.0,27.67,27.67,27.67,0.0,0.0
2018-01-28,26.12,26.12,26.12,0.0,0.0,26.12,26.12,26.12,0.0,0.0,25.66,25.66,25.66,0.0,0.0,25.66,25.66,25.66,0.0,0.0
2018-02-04,25.23,25.23,25.23,0.0,0.0,25.37,25.37,25.37,0.0,0.0,25.23,25.23,25.23,0.0,0.0,25.28,25.28,25.28,0.0,0.0
2018-02-11,26.5,26.5,26.5,0.0,0.0,26.8,26.8,26.8,0.0,0.0,26.5,26.5,26.5,0.0,0.0,26.64,26.64,26.64,0.0,0.0
2018-02-18,26.3,26.3,26.3,0.0,0.0,26.35,26.35,26.35,0.0,0.0,26.3,26.3,26.3,0.0,0.0,26.35,26.35,26.35,0.0,0.0
2018-02-25,24.91,24.91,24.91,0.0,0.0,25.25,25.25,25.25,0.0,0.0,24.91,24.91,24.91,0.0,0.0,25.25,25.25,25.25,0.0,0.0
2018-03-04,26.58,26.58,26.58,0.0,0.0,26.61,26.61,26.61,0.0,0.0,26.58,26.58,26.58,0.0,0.0,26.61,26.61,26.61,0.0,0.0
2018-03-11,26.25,26.25,26.25,0.0,0.0,26.33,26.33,26.33,0.0,0.0,26.05,26.05,26.05,0.0,0.0,26.13,26.13,26.13,0.0,0.0
2018-03-18,25.93,25.93,25.93,0.0,0.0,25.93,25.93,25.93,0.0,0.0,25.93,25.93,25.93,0.0,0.0,25.93,25.93,25.93,0.0,0.0
