Date,Columbia Sustainable US Equity Income_Open_average,Columbia Sustainable US Equity Income_Open_max,Columbia Sustainable US Equity Income_Open_min,Columbia Sustainable US Equity Income_Open_volatility,Columbia Sustainable US Equity Income_Open_change,Columbia Sustainable US Equity Income_High_average,Columbia Sustainable US Equity Income_High_max,Columbia Sustainable US Equity Income_High_min,Columbia Sustainable US Equity Income_High_volatility,Columbia Sustainable US Equity Income_High_change,Columbia Sustainable US Equity Income_Low_average,Columbia Sustainable US Equity Income_Low_max,Columbia Sustainable US Equity Income_Low_min,Columbia Sustainable US Equity Income_Low_volatility,Columbia Sustainable US Equity Income_Low_change,Columbia Sustainable US Equity Income_Close_average,Columbia Sustainable US Equity Income_Close_max,Columbia Sustainable US Equity Income_Close_min,Columbia Sustainable US Equity Income_Close_volatility,Columbia Sustainable US Equity Income_Close_change
2018-01-14,31.36,31.36,31.36,0.0,0.0,31.36,31.36,31.36,0.0,0.0,31.36,31.36,31.36,0.0,0.0,31.36,31.36,31.36,0.0,0.0
2018-01-21,31.24,31.24,31.24,0.0,0.0,31.31,31.31,31.31,0.0,0.0,31.24,31.24,31.24,0.0,0.0,31.31,31.31,31.31,0.0,0.0
2018-01-28,29.71,29.71,29.71,0.0,0.0,29.71,29.71,29.71,0.0,0.0,29.7,29.7,29.7,0.0,0.0,29.7,29.7,29.7,0.0,0.0
2018-02-04,29.23,29.23,29.23,0.0,0.0,29.23,29.23,29.23,0.0,0.0,29.1,29.1,29.1,0.0,0.0,29.1,29.1,29.1,0.0,0.0
2018-02-11,30.14,30.14,30.14,0.0,0.0,30.26,30.26,30.26,0.0,0.0,30.14,30.14,30.14,0.0,0.0,30.26,30.26,30.26,0.0,0.0
2018-02-18,30.25,30.25,30.25,0.0,0.0,30.25,30.25,30.25,0.0,0.0,30.25,30.25,30.25,0.0,0.0,30.25,30.25,30.25,0.0,0.0
2018-02-25,30.0,30.0,30.0,0.0,0.0,30.15,30.15,30.15,0.0,0.0,30.0,30.0,30.0,0.0,0.0,30.09,30.09,30.09,0.0,0.0
2018-03-04,30.5,30.5,30.5,0.0,0.0,30.57,30.57,30.57,0.0,0.0,30.5,30.5,30.5,0.0,0.0,30.57,30.57,30.57,0.0,0.0
2018-03-11,30.0,30.0,30.0,0.0,0.0,30.0,30.0,30.0,0.0,0.0,29.93,29.93,29.93,0.0,0.0,29.93,29.93,29.93,0.0,0.0
2018-03-18,29.25,29.25,29.25,0.0,0.0,29.25,29.25,29.25,0.0,0.0,29.07,29.07,29.07,0.0,0.0,29.08,29.08,29.08,0.0,0.0
2018-03-25,29.07,29.07,29.07,0.0,0.0,29.07,29.07,29.07,0.0,0.0,29.07,29.07,29.07,0.0,0.0,29.07,29.07,29.07,0.0,0.0
2018-04-01,29.19,29.19,29.19,0.0,0.0,29.19,29.19,29.19,0.0,0.0,29.19,29.19,29.19,0.0,0.0,29.19,29.19,29.19,0.0,0.0
2018-04-08,29.9,29.9,29.9,0.0,0.0,29.9,29.9,29.9,0.0,0.0,29.53,29.53,29.53,0.0,0.0,29.55,29.55,29.55,0.0,0.0
2018-04-15,29.63,29.63,29.63,0.0,0.0,29.63,29.63,29.63,0.0,0.0,29.63,29.63,29.63,0.0,0.0,29.63,29.63,29.63,0.0,0.0
2018-04-22,29.65,29.65,29.65,0.0,0.0,29.8,29.8,29.8,0.0,0.0,29.65,29.65,29.65,0.0,0.0,29.7,29.7,29.7,0.0,0.0
2018-04-29,29.2,29.2,29.2,0.0,0.0,29.2,29.2,29.2,0.0,0.0,29.2,29.2,29.2,0.0,0.0,29.2,29.2,29.2,0.0,0.0
2018-05-06,29.49,29.49,29.49,0.0,0.0,29.5,29.5,29.5,0.0,0.0,29.49,29.49,29.49,0.0,0.0,29.5,29.5,29.5,0.0,0.0
2018-05-13,29.84,29.84,29.84,0.0,0.0,29.87,29.87,29.87,0.0,0.0,29.84,29.84,29.84,0.0,0.0,29.87,29.87,29.87,0.0,0.0
2018-05-20,29.65,29.65,29.65,0.0,0.0,29.65,29.65,29.65,0.0,0.0,29.65,29.65,29.65,0.0,0.0,29.65,29.65,29.65,0.0,0.0
2018-05-27,29.55,29.55,29.55,0.0,0.0,29.6,29.6,29.6,0.0,0.0,29.55,29.55,29.55,0.0,0.0,29.6,29.6,29.6,0.0,0.0
2018-06-03,29.89,29.89,29.89,0.0,0.0,29.89,29.89,29.89,0.0,0.0,29.89,29.89,29.89,0.0,0.0,29.89,29.89,29.89,0.0,0.0
2018-06-10,30.0,30.0,30.0,0.0,0.0,30.0,30.0,30.0,0.0,0.0,29.9,29.9,29.9,0.0,0.0,29.9,29.9,29.9,0.0,0.0
2018-06-17,29.95,29.95,29.95,0.0,0.0,29.95,29.95,29.95,0.0,0.0,29.95,29.95,29.95,0.0,0.0,29.95,29.95,29.95,0.0,0.0
2018-06-24,29.34,29.34,29.34,0.0,0.0,29.34,29.34,29.34,0.0,0.0,29.3,29.3,29.3,0.0,0.0,29.3,29.3,29.3,0.0,0.0
2018-07-01,29.88,29.88,29.88,0.0,0.0,29.88,29.88,29.88,0.0,0.0,29.88,29.88,29.88,0.0,0.0,29.88,29.88,29.88,0.0,0.0
2018-07-08,29.81,29.81,29.81,0.0,0.0,29.81,29.81,29.81,0.0,0.0,29.81,29.81,29.81,0.0,0.0,29.81,29.81,29.81,0.0,0.0
2018-07-15,29.84,29.84,29.84,0.0,0.0,29.84,29.84,29.84,0.0,0.0,29.84,29.84,29.84,0.0,0.0,29.84,29.84,29.84,0.0,0.0
2018-07-22,30.4,30.4,30.4,0.0,0.0,30.4,30.4,30.4,0.0,0.0,30.4,30.4,30.4,0.0,0.0,30.4,30.4,30.4,0.0,0.0
2018-07-29,30.28,30.28,30.28,0.0,0.0,30.28,30.28,30.28,0.0,0.0,30.15,30.15,30.15,0.0,0.0,30.15,30.15,30.15,0.0,0.0
2018-08-05,29.92,29.92,29.92,0.0,0.0,29.92,29.92,29.92,0.0,0.0,29.77,29.77,29.77,0.0,0.0,29.82,29.82,29.82,0.0,0.0
2018-08-12,30.47,30.47,30.47,0.0,0.0,30.48,30.48,30.48,0.0,0.0,30.47,30.47,30.47,0.0,0.0,30.47,30.47,30.47,0.0,0.0
