Date,PowerShares DWA Healthcare Momentum Portfolio_Open_average,PowerShares DWA Healthcare Momentum Portfolio_Open_max,PowerShares DWA Healthcare Momentum Portfolio_Open_min,PowerShares DWA Healthcare Momentum Portfolio_Open_volatility,PowerShares DWA Healthcare Momentum Portfolio_Open_change,PowerShares DWA Healthcare Momentum Portfolio_High_average,PowerShares DWA Healthcare Momentum Portfolio_High_max,PowerShares DWA Healthcare Momentum Portfolio_High_min,PowerShares DWA Healthcare Momentum Portfolio_High_volatility,PowerShares DWA Healthcare Momentum Portfolio_High_change,PowerShares DWA Healthcare Momentum Portfolio_Low_average,PowerShares DWA Healthcare Momentum Portfolio_Low_max,PowerShares DWA Healthcare Momentum Portfolio_Low_min,PowerShares DWA Healthcare Momentum Portfolio_Low_volatility,PowerShares DWA Healthcare Momentum Portfolio_Low_change,PowerShares DWA Healthcare Momentum Portfolio_Close_average,PowerShares DWA Healthcare Momentum Portfolio_Close_max,PowerShares DWA Healthcare Momentum Portfolio_Close_min,PowerShares DWA Healthcare Momentum Portfolio_Close_volatility,PowerShares DWA Healthcare Momentum Portfolio_Close_change
2018-01-14,77.4,77.4,77.4,0.0,0.0,78.64,78.64,78.64,0.0,0.0,77.4,77.4,77.4,0.0,0.0,78.63,78.63,78.63,0.0,0.0
2018-01-21,79.69,79.69,79.69,0.0,0.0,80.56,80.56,80.56,0.0,0.0,79.69,79.69,79.69,0.0,0.0,80.33,80.33,80.33,0.0,0.0
2018-01-28,77.37,77.37,77.37,0.0,0.0,78.25,78.25,78.25,0.0,0.0,75.2,75.2,75.2,0.0,0.0,75.41,75.41,75.41,0.0,0.0
2018-02-04,73.97,73.97,73.97,0.0,0.0,75.36,75.36,75.36,0.0,0.0,73.29,73.29,73.29,0.0,0.0,74.78,74.78,74.78,0.0,0.0
2018-02-11,78.37,78.37,78.37,0.0,0.0,78.96,78.96,78.96,0.0,0.0,77.97,77.97,77.97,0.0,0.0,78.66,78.66,78.66,0.0,0.0
2018-02-18,79.46,79.46,79.46,0.0,0.0,79.58,79.58,79.58,0.0,0.0,78.89,78.89,78.89,0.0,0.0,79.42,79.42,79.42,0.0,0.0
2018-02-25,78.79,78.79,78.79,0.0,0.0,79.72,79.72,79.72,0.0,0.0,78.5,78.5,78.5,0.0,0.0,79.65,79.65,79.65,0.0,0.0
2018-03-04,83.2,83.2,83.2,0.0,0.0,83.2,83.2,83.2,0.0,0.0,82.23,82.23,82.23,0.0,0.0,82.8,82.8,82.8,0.0,0.0
2018-03-11,79.73,79.73,79.73,0.0,0.0,80.28,80.28,80.28,0.0,0.0,78.24,78.24,78.24,0.0,0.0,78.4,78.4,78.4,0.0,0.0
2018-03-18,77.83,77.83,77.83,0.0,0.0,78.67,78.67,78.67,0.0,0.0,76.48,76.48,76.48,0.0,0.0,78.63,78.63,78.63,0.0,0.0
2018-03-25,75.17,75.17,75.17,0.0,0.0,75.7,75.7,75.7,0.0,0.0,72.07,72.07,72.07,0.0,0.0,72.6,72.6,72.6,0.0,0.0
2018-04-01,74.29,74.29,74.29,0.0,0.0,76.7,76.7,76.7,0.0,0.0,74.29,74.29,74.29,0.0,0.0,75.6,75.6,75.6,0.0,0.0
2018-04-08,80.8,80.8,80.8,0.0,0.0,80.8,80.8,80.8,0.0,0.0,77.83,77.83,77.83,0.0,0.0,78.42,78.42,78.42,0.0,0.0
2018-04-15,78.49,78.49,78.49,0.0,0.0,78.49,78.49,78.49,0.0,0.0,77.61,77.61,77.61,0.0,0.0,77.94,77.94,77.94,0.0,0.0
2018-04-22,79.21,79.21,79.21,0.0,0.0,79.22,79.22,79.22,0.0,0.0,77.88,77.88,77.88,0.0,0.0,77.9,77.9,77.9,0.0,0.0
2018-04-29,79.36,79.36,79.36,0.0,0.0,80.66,80.66,80.66,0.0,0.0,79.36,79.36,79.36,0.0,0.0,80.31,80.31,80.31,0.0,0.0
2018-05-06,83.89,83.89,83.89,0.0,0.0,84.23,84.23,84.23,0.0,0.0,82.97,82.97,82.97,0.0,0.0,83.61,83.61,83.61,0.0,0.0
2018-05-13,87.23,87.23,87.23,0.0,0.0,87.23,87.23,87.23,0.0,0.0,85.55,85.55,85.55,0.0,0.0,85.84,85.84,85.84,0.0,0.0
