Date,First Trust Large Cap Value AlphaDEX_Open_average,First Trust Large Cap Value AlphaDEX_Open_max,First Trust Large Cap Value AlphaDEX_Open_min,First Trust Large Cap Value AlphaDEX_Open_volatility,First Trust Large Cap Value AlphaDEX_Open_change,First Trust Large Cap Value AlphaDEX_High_average,First Trust Large Cap Value AlphaDEX_High_max,First Trust Large Cap Value AlphaDEX_High_min,First Trust Large Cap Value AlphaDEX_High_volatility,First Trust Large Cap Value AlphaDEX_High_change,First Trust Large Cap Value AlphaDEX_Low_average,First Trust Large Cap Value AlphaDEX_Low_max,First Trust Large Cap Value AlphaDEX_Low_min,First Trust Large Cap Value AlphaDEX_Low_volatility,First Trust Large Cap Value AlphaDEX_Low_change,First Trust Large Cap Value AlphaDEX_Close_average,First Trust Large Cap Value AlphaDEX_Close_max,First Trust Large Cap Value AlphaDEX_Close_min,First Trust Large Cap Value AlphaDEX_Close_volatility,First Trust Large Cap Value AlphaDEX_Close_change
2018-01-14,56.73,56.73,56.73,0.0,0.0,57.14,57.14,57.14,0.0,0.0,56.69,56.69,56.69,0.0,0.0,57.14,57.14,57.14,0.0,0.0
2018-01-21,57.51,57.51,57.51,0.0,0.0,57.68,57.68,57.68,0.0,0.0,57.28,57.28,57.28,0.0,0.0,57.33,57.33,57.33,0.0,0.0
2018-01-28,54.75,54.75,54.75,0.0,0.0,55.13,55.13,55.13,0.0,0.0,53.07,53.07,53.07,0.0,0.0,53.11,53.11,53.11,0.0,0.0
2018-02-04,52.96,52.96,52.96,0.0,0.0,53.45,53.45,53.45,0.0,0.0,52.55,52.55,52.55,0.0,0.0,53.14,53.14,53.14,0.0,0.0
2018-02-11,54.33,54.33,54.33,0.0,0.0,54.85,54.85,54.85,0.0,0.0,54.33,54.33,54.33,0.0,0.0,54.57,54.57,54.57,0.0,0.0
2018-02-18,54.82,54.82,54.82,0.0,0.0,55.04,55.04,55.04,0.0,0.0,54.54,54.54,54.54,0.0,0.0,55.0,55.0,55.0,0.0,0.0
2018-02-25,53.05,53.05,53.05,0.0,0.0,54.1,54.1,54.1,0.0,0.0,53.05,53.05,53.05,0.0,0.0,54.01,54.01,54.01,0.0,0.0
2018-03-04,54.88,54.88,54.88,0.0,0.0,54.88,54.88,54.88,0.0,0.0,54.52,54.52,54.52,0.0,0.0,54.65,54.65,54.65,0.0,0.0
2018-03-11,54.16,54.16,54.16,0.0,0.0,54.16,54.16,54.16,0.0,0.0,53.41,53.41,53.41,0.0,0.0,53.7,53.7,53.7,0.0,0.0
2018-03-18,52.11,52.11,52.11,0.0,0.0,52.61,52.61,52.61,0.0,0.0,51.74,51.74,51.74,0.0,0.0,52.58,52.58,52.58,0.0,0.0
