Date,EMKR_stock_Open_average,EMKR_stock_Open_max,EMKR_stock_Open_min,EMKR_stock_Open_volatility,EMKR_stock_Open_change,EMKR_stock_High_average,EMKR_stock_High_max,EMKR_stock_High_min,EMKR_stock_High_volatility,EMKR_stock_High_change,EMKR_stock_Low_average,EMKR_stock_Low_max,EMKR_stock_Low_min,EMKR_stock_Low_volatility,EMKR_stock_Low_change,EMKR_stock_Close_average,EMKR_stock_Close_max,EMKR_stock_Close_min,EMKR_stock_Close_volatility,EMKR_stock_Close_change,EMKR_stock_Volume_average,EMKR_stock_Volume_max,EMKR_stock_Volume_min,EMKR_stock_Volume_volatility,EMKR_stock_Volume_change
2018-03-25,5.825,5.95,5.65,0.2999999999999998,-0.25,5.8875,6.0,5.8,0.20000000000000018,-0.20000000000000018,5.6625,5.75,5.6,0.15000000000000036,-0.09999999999999964,5.75,5.9,5.65,0.25,-0.20000000000000018,174898,272305,120677,151628,-28179
2018-04-01,5.63,5.8,5.45,0.34999999999999964,0.09999999999999964,5.76,5.85,5.65,0.1999999999999993,0.14999999999999947,5.5,5.65,5.4,0.25,-0.04999999999999982,5.63,5.8,5.55,0.25,0.04999999999999982,133932,185746,86563,99183,36651
2018-04-08,5.1,5.65,4.85,0.8000000000000007,-0.7000000000000002,5.2,5.7,4.95,0.75,-0.75,4.9799999999999995,5.55,4.8,0.75,-0.75,5.066,5.6,4.88,0.7199999999999998,-0.6999999999999993,231913,440052,114342,325710,68782
2018-04-15,4.76,4.9,4.6,0.3000000000000007,-0.3000000000000007,4.88,4.9,4.85,0.05000000000000071,-0.05000000000000071,4.66,4.7,4.6,0.10000000000000053,-0.10000000000000053,4.71,4.75,4.65,0.09999999999999964,-0.04999999999999982,167882,285251,109296,175955,-27566
2018-04-22,4.62,4.75,4.5,0.25,0.09999999999999964,4.72,4.85,4.55,0.2999999999999998,0.04999999999999982,4.51,4.55,4.4,0.14999999999999947,0.0,4.614,4.75,4.45,0.2999999999999998,-0.1299999999999999,237872,359729,169384,190345,-4503
2018-04-29,4.67,5.0,4.45,0.5499999999999998,0.40000000000000036,4.876,5.18,4.65,0.5299999999999994,0.5299999999999994,4.63,4.97,4.45,0.5199999999999996,0.46999999999999975,4.78,5.05,4.5,0.5499999999999998,0.5499999999999998,235337,416887,152476,264411,264411
2018-05-06,5.0,5.15,4.9,0.25,-0.14999999999999947,5.074,5.2,4.97,0.23000000000000043,-0.08000000000000007,4.832,4.93,4.65,0.27999999999999936,-0.27999999999999936,4.92,5.1,4.75,0.34999999999999964,-0.20000000000000018,189105,248722,162983,85739,70536
2018-05-13,4.72,4.8,4.65,0.14999999999999947,0.0,4.79,4.9,4.7,0.20000000000000018,-0.10000000000000053,4.640000000000001,4.65,4.6,0.05000000000000071,0.0,4.676,4.75,4.6,0.15000000000000036,-0.02999999999999936,236863,414791,108950,305841,-150550
2018-05-20,4.87,5.05,4.65,0.39999999999999947,0.39999999999999947,5.026,5.15,4.8,0.35000000000000053,0.35000000000000053,4.836,5.05,4.63,0.41999999999999993,0.41999999999999993,4.9559999999999995,5.1,4.68,0.41999999999999993,0.41999999999999993,198858,315788,110151,205637,-71291
2018-05-27,5.074999999999999,5.1,5.05,0.04999999999999982,0.04999999999999982,5.1625,5.2,5.1,0.10000000000000053,0.10000000000000053,5.0,5.05,4.95,0.09999999999999964,0.09999999999999964,5.1,5.2,5.05,0.15000000000000036,0.15000000000000036,322187,563038,134404,428634,428634
