Date,Direxion Daily FTSE China Bull 3x Shares_Open_average,Direxion Daily FTSE China Bull 3x Shares_Open_max,Direxion Daily FTSE China Bull 3x Shares_Open_min,Direxion Daily FTSE China Bull 3x Shares_Open_volatility,Direxion Daily FTSE China Bull 3x Shares_Open_change,Direxion Daily FTSE China Bull 3x Shares_High_average,Direxion Daily FTSE China Bull 3x Shares_High_max,Direxion Daily FTSE China Bull 3x Shares_High_min,Direxion Daily FTSE China Bull 3x Shares_High_volatility,Direxion Daily FTSE China Bull 3x Shares_High_change,Direxion Daily FTSE China Bull 3x Shares_Low_average,Direxion Daily FTSE China Bull 3x Shares_Low_max,Direxion Daily FTSE China Bull 3x Shares_Low_min,Direxion Daily FTSE China Bull 3x Shares_Low_volatility,Direxion Daily FTSE China Bull 3x Shares_Low_change,Direxion Daily FTSE China Bull 3x Shares_Close_average,Direxion Daily FTSE China Bull 3x Shares_Close_max,Direxion Daily FTSE China Bull 3x Shares_Close_min,Direxion Daily FTSE China Bull 3x Shares_Close_volatility,Direxion Daily FTSE China Bull 3x Shares_Close_change
2018-01-14,47.15,47.15,47.15,0.0,0.0,48.17,48.17,48.17,0.0,0.0,46.83,46.83,46.83,0.0,0.0,48.12,48.12,48.12,0.0,0.0
2018-01-21,53.06,53.06,53.06,0.0,0.0,53.89,53.89,53.89,0.0,0.0,52.71,52.71,52.71,0.0,0.0,53.8,53.8,53.8,0.0,0.0
2018-01-28,47.93,47.93,47.93,0.0,0.0,48.12,48.12,48.12,0.0,0.0,45.26,45.26,45.26,0.0,0.0,45.45,45.45,45.45,0.0,0.0
2018-02-04,32.54,32.54,32.54,0.0,0.0,33.56,33.56,33.56,0.0,0.0,29.56,29.56,29.56,0.0,0.0,32.73,32.73,32.73,0.0,0.0
2018-02-11,39.9,39.9,39.9,0.0,0.0,41.37,41.37,41.37,0.0,0.0,39.48,39.48,39.48,0.0,0.0,40.02,40.02,40.02,0.0,0.0
2018-02-18,40.06,40.06,40.06,0.0,0.0,40.73,40.73,40.73,0.0,0.0,39.54,39.54,39.54,0.0,0.0,40.6,40.6,40.6,0.0,0.0
2018-02-25,32.77,32.77,32.77,0.0,0.0,34.94,34.94,34.94,0.0,0.0,32.2,32.2,32.2,0.0,0.0,34.81,34.81,34.81,0.0,0.0
2018-03-04,36.97,36.97,36.97,0.0,0.0,38.58,38.58,38.58,0.0,0.0,36.78,36.78,36.78,0.0,0.0,38.42,38.42,38.42,0.0,0.0
2018-03-11,38.12,38.12,38.12,0.0,0.0,38.96,38.96,38.96,0.0,0.0,38.12,38.12,38.12,0.0,0.0,38.72,38.72,38.72,0.0,0.0
2018-03-18,33.5,33.5,33.5,0.0,0.0,33.74,33.74,33.74,0.0,0.0,31.4,31.4,31.4,0.0,0.0,31.56,31.56,31.56,0.0,0.0
2018-03-25,32.95,32.95,32.95,0.0,0.0,34.39,34.39,34.39,0.0,0.0,32.82,32.82,32.82,0.0,0.0,33.94,33.94,33.94,0.0,0.0
2018-04-01,31.96,31.96,31.96,0.0,0.0,32.95,32.95,32.95,0.0,0.0,30.41,30.41,30.41,0.0,0.0,31.11,31.11,31.11,0.0,0.0
2018-04-08,35.28,35.28,35.28,0.0,0.0,35.4,35.4,35.4,0.0,0.0,33.98,33.98,33.98,0.0,0.0,34.4,34.4,34.4,0.0,0.0
2018-04-15,32.38,32.38,32.38,0.0,0.0,32.46,32.46,32.46,0.0,0.0,31.44,31.44,31.44,0.0,0.0,31.84,31.84,31.84,0.0,0.0
2018-04-22,32.46,32.46,32.46,0.0,0.0,32.86,32.86,32.86,0.0,0.0,32.0,32.0,32.0,0.0,0.0,32.68,32.68,32.68,0.0,0.0
2018-04-29,30.62,30.62,30.62,0.0,0.0,32.44,32.44,32.44,0.0,0.0,30.44,30.44,30.44,0.0,0.0,32.0,32.0,32.0,0.0,0.0
2018-05-06,35.45,35.45,35.45,0.0,0.0,35.58,35.58,35.58,0.0,0.0,34.92,34.92,34.92,0.0,0.0,35.28,35.28,35.28,0.0,0.0
2018-05-13,34.78,34.78,34.78,0.0,0.0,34.82,34.82,34.82,0.0,0.0,34.29,34.29,34.29,0.0,0.0,34.62,34.62,34.62,0.0,0.0
2018-05-20,32.73,32.73,32.73,0.0,0.0,32.96,32.96,32.96,0.0,0.0,32.4,32.4,32.4,0.0,0.0,32.9,32.9,32.9,0.0,0.0
2018-05-27,32.49,32.49,32.49,0.0,0.0,33.37,33.37,33.37,0.0,0.0,32.49,32.49,32.49,0.0,0.0,33.11,33.11,33.11,0.0,0.0
2018-06-03,34.49,34.49,34.49,0.0,0.0,35.2,35.2,35.2,0.0,0.0,34.25,34.25,34.25,0.0,0.0,34.87,34.87,34.87,0.0,0.0
2018-06-10,31.5,31.5,31.5,0.0,0.0,32.04,32.04,32.04,0.0,0.0,30.86,30.86,30.86,0.0,0.0,32.04,32.04,32.04,0.0,0.0
2018-06-17,28.02,28.02,28.02,0.0,0.0,28.07,28.07,28.07,0.0,0.0,27.56,27.56,27.56,0.0,0.0,27.77,27.77,27.77,0.0,0.0
2018-06-24,25.5,25.5,25.5,0.0,0.0,25.84,25.84,25.84,0.0,0.0,25.21,25.21,25.21,0.0,0.0,25.4,25.4,25.4,0.0,0.0
2018-07-01,23.48,23.48,23.48,0.0,0.0,24.64,24.64,24.64,0.0,0.0,23.38,23.38,23.38,0.0,0.0,24.34,24.34,24.34,0.0,0.0
