Date,GLDD_stock_Open_average,GLDD_stock_Open_max,GLDD_stock_Open_min,GLDD_stock_Open_volatility,GLDD_stock_Open_change,GLDD_stock_High_average,GLDD_stock_High_max,GLDD_stock_High_min,GLDD_stock_High_volatility,GLDD_stock_High_change,GLDD_stock_Low_average,GLDD_stock_Low_max,GLDD_stock_Low_min,GLDD_stock_Low_volatility,GLDD_stock_Low_change,GLDD_stock_Close_average,GLDD_stock_Close_max,GLDD_stock_Close_min,GLDD_stock_Close_volatility,GLDD_stock_Close_change,GLDD_stock_Volume_average,GLDD_stock_Volume_max,GLDD_stock_Volume_min,GLDD_stock_Volume_volatility,GLDD_stock_Volume_change
2018-01-14,5.125,5.25,5.0,0.25,-0.25,5.2075,5.3,5.1,0.20000000000000018,-0.20000000000000018,5.0024999999999995,5.05,4.95,0.09999999999999964,-0.09999999999999964,5.0875,5.15,5.05,0.10000000000000053,-0.10000000000000053,197184,242451,148009,94442,-94442
2018-01-21,4.97,5.0,4.95,0.04999999999999982,-0.04999999999999982,5.03,5.05,5.0,0.04999999999999982,0.0,4.87,4.9,4.8,0.10000000000000053,-0.05000000000000071,4.92,5.0,4.85,0.15000000000000036,-0.04999999999999982,130775,170666,77143,93523,31838
2018-01-28,4.74,4.95,4.45,0.5,-0.5,4.822,5.05,4.6,0.4500000000000002,-0.4500000000000002,4.612,4.85,4.41,0.4399999999999995,-0.4399999999999995,4.68,4.9,4.5,0.40000000000000036,-0.40000000000000036,192292,315085,98750,216335,-28958
2018-02-04,4.32,4.45,4.15,0.2999999999999998,-0.25,4.536,4.65,4.43,0.22000000000000064,0.0,4.23,4.35,4.15,0.1999999999999993,-0.09999999999999964,4.34,4.4,4.25,0.15000000000000036,0.15000000000000036,297601,385653,235223,150430,66139
2018-02-11,4.49,4.65,4.35,0.3000000000000007,0.14999999999999947,4.6000000000000005,4.65,4.4,0.25,0.25,4.36,4.5,4.25,0.25,0.25,4.52,4.6,4.35,0.25,0.20000000000000018,276672,538242,138372,399870,-123785
2018-02-18,4.5375,4.65,4.5,0.15000000000000036,0.15000000000000036,4.65,4.75,4.6,0.15000000000000036,0.05000000000000071,4.4375,4.45,4.4,0.04999999999999982,0.0,4.52,4.6,4.45,0.14999999999999947,0.04999999999999982,111380,164935,77502,87433,-44492
2018-02-25,4.54,4.65,4.45,0.20000000000000018,-0.04999999999999982,4.66,4.7,4.57,0.1299999999999999,-0.02999999999999936,4.49,4.6,4.45,0.14999999999999947,0.0,4.6,4.65,4.55,0.10000000000000053,-0.05000000000000071,154340,187177,120943,66234,21028
2018-03-04,4.67,4.8,4.55,0.25,0.25,4.81,4.95,4.7,0.25,0.25,4.6,4.7,4.5,0.20000000000000018,0.20000000000000018,4.76,4.95,4.65,0.2999999999999998,0.25,194571,341696,127543,214153,174096
2018-03-11,5.02,5.1,4.95,0.14999999999999947,0.09999999999999964,5.12,5.15,5.1,0.05000000000000071,0.05000000000000071,4.93,4.97,4.85,0.1200000000000001,0.1200000000000001,5.04,5.05,5.0,0.04999999999999982,0.0,197578,371981,127913,244068,204913
2018-03-18,4.82,5.05,4.45,0.5999999999999996,-0.5499999999999998,4.85,5.07,4.5,0.5700000000000003,-0.5700000000000003,4.6240000000000006,4.9,4.32,0.5800000000000001,-0.5800000000000001,4.69,5.0,4.35,0.6500000000000004,-0.6500000000000004,216884,251011,139662,111349,96256
