Date,ALPS Alerian Energy Infrastructure_etf_Open_average,ALPS Alerian Energy Infrastructure_etf_Open_max,ALPS Alerian Energy Infrastructure_etf_Open_min,ALPS Alerian Energy Infrastructure_etf_Open_volatility,ALPS Alerian Energy Infrastructure_etf_Open_change,ALPS Alerian Energy Infrastructure_etf_High_average,ALPS Alerian Energy Infrastructure_etf_High_max,ALPS Alerian Energy Infrastructure_etf_High_min,ALPS Alerian Energy Infrastructure_etf_High_volatility,ALPS Alerian Energy Infrastructure_etf_High_change,ALPS Alerian Energy Infrastructure_etf_Low_average,ALPS Alerian Energy Infrastructure_etf_Low_max,ALPS Alerian Energy Infrastructure_etf_Low_min,ALPS Alerian Energy Infrastructure_etf_Low_volatility,ALPS Alerian Energy Infrastructure_etf_Low_change,ALPS Alerian Energy Infrastructure_etf_Close_average,ALPS Alerian Energy Infrastructure_etf_Close_max,ALPS Alerian Energy Infrastructure_etf_Close_min,ALPS Alerian Energy Infrastructure_etf_Close_volatility,ALPS Alerian Energy Infrastructure_etf_Close_change
2018-01-14,23.55,23.55,23.55,0.0,0.0,23.65,23.65,23.65,0.0,0.0,23.41,23.41,23.41,0.0,0.0,23.65,23.65,23.65,0.0,0.0
2018-01-21,24.09,24.09,24.09,0.0,0.0,24.09,24.09,24.09,0.0,0.0,23.85,23.85,23.85,0.0,0.0,23.88,23.88,23.88,0.0,0.0
2018-01-28,23.08,23.08,23.08,0.0,0.0,23.08,23.08,23.08,0.0,0.0,22.5,22.5,22.5,0.0,0.0,22.52,22.52,22.52,0.0,0.0
2018-02-04,21.57,21.57,21.57,0.0,0.0,21.75,21.75,21.75,0.0,0.0,21.09,21.09,21.09,0.0,0.0,21.41,21.41,21.41,0.0,0.0
2018-02-11,22.36,22.36,22.36,0.0,0.0,22.45,22.45,22.45,0.0,0.0,22.16,22.16,22.16,0.0,0.0,22.23,22.23,22.23,0.0,0.0
2018-02-18,21.25,21.25,21.25,0.0,0.0,21.71,21.71,21.71,0.0,0.0,21.25,21.25,21.25,0.0,0.0,21.59,21.59,21.59,0.0,0.0
2018-02-25,20.52,20.52,20.52,0.0,0.0,20.7,20.7,20.7,0.0,0.0,20.41,20.41,20.41,0.0,0.0,20.57,20.57,20.57,0.0,0.0
2018-03-04,20.68,20.68,20.68,0.0,0.0,20.92,20.92,20.92,0.0,0.0,20.68,20.68,20.68,0.0,0.0,20.88,20.88,20.88,0.0,0.0
2018-03-11,20.64,20.64,20.64,0.0,0.0,20.82,20.82,20.82,0.0,0.0,20.59,20.59,20.59,0.0,0.0,20.73,20.73,20.73,0.0,0.0
2018-03-18,20.08,20.08,20.08,0.0,0.0,20.08,20.08,20.08,0.0,0.0,19.7,19.7,19.7,0.0,0.0,19.7,19.7,19.7,0.0,0.0
2018-03-25,19.64,19.64,19.64,0.0,0.0,19.89,19.89,19.89,0.0,0.0,19.64,19.64,19.64,0.0,0.0,19.89,19.89,19.89,0.0,0.0
2018-04-01,20.25,20.25,20.25,0.0,0.0,20.25,20.25,20.25,0.0,0.0,19.84,19.84,19.84,0.0,0.0,19.95,19.95,19.95,0.0,0.0
2018-04-08,20.31,20.31,20.31,0.0,0.0,20.44,20.44,20.44,0.0,0.0,20.25,20.25,20.25,0.0,0.0,20.29,20.29,20.29,0.0,0.0
