Date,PowerShares DWA Technology Momentum Portfolio_Open_average,PowerShares DWA Technology Momentum Portfolio_Open_max,PowerShares DWA Technology Momentum Portfolio_Open_min,PowerShares DWA Technology Momentum Portfolio_Open_volatility,PowerShares DWA Technology Momentum Portfolio_Open_change,PowerShares DWA Technology Momentum Portfolio_High_average,PowerShares DWA Technology Momentum Portfolio_High_max,PowerShares DWA Technology Momentum Portfolio_High_min,PowerShares DWA Technology Momentum Portfolio_High_volatility,PowerShares DWA Technology Momentum Portfolio_High_change,PowerShares DWA Technology Momentum Portfolio_Low_average,PowerShares DWA Technology Momentum Portfolio_Low_max,PowerShares DWA Technology Momentum Portfolio_Low_min,PowerShares DWA Technology Momentum Portfolio_Low_volatility,PowerShares DWA Technology Momentum Portfolio_Low_change,PowerShares DWA Technology Momentum Portfolio_Close_average,PowerShares DWA Technology Momentum Portfolio_Close_max,PowerShares DWA Technology Momentum Portfolio_Close_min,PowerShares DWA Technology Momentum Portfolio_Close_volatility,PowerShares DWA Technology Momentum Portfolio_Close_change
2018-01-14,55.8,55.8,55.8,0.0,0.0,56.21,56.21,56.21,0.0,0.0,55.8,55.8,55.8,0.0,0.0,56.19,56.19,56.19,0.0,0.0
2018-01-21,56.85,56.85,56.85,0.0,0.0,57.34,57.34,57.34,0.0,0.0,56.73,56.73,56.73,0.0,0.0,57.31,57.31,57.31,0.0,0.0
2018-01-28,55.65,55.65,55.65,0.0,0.0,55.79,55.79,55.79,0.0,0.0,55.15,55.15,55.15,0.0,0.0,55.2,55.2,55.2,0.0,0.0
2018-02-04,52.98,52.98,52.98,0.0,0.0,53.35,53.35,53.35,0.0,0.0,51.06,51.06,51.06,0.0,0.0,53.21,53.21,53.21,0.0,0.0
2018-02-11,56.55,56.55,56.55,0.0,0.0,56.94,56.94,56.94,0.0,0.0,56.55,56.55,56.55,0.0,0.0,56.77,56.77,56.77,0.0,0.0
2018-02-18,56.8,56.8,56.8,0.0,0.0,57.26,57.26,57.26,0.0,0.0,56.74,56.74,56.74,0.0,0.0,57.26,57.26,57.26,0.0,0.0
2018-02-25,56.13,56.13,56.13,0.0,0.0,57.56,57.56,57.56,0.0,0.0,56.12,56.12,56.12,0.0,0.0,57.56,57.56,57.56,0.0,0.0
2018-03-04,60.13,60.13,60.13,0.0,0.0,60.52,60.52,60.52,0.0,0.0,60.13,60.13,60.13,0.0,0.0,60.52,60.52,60.52,0.0,0.0
2018-03-11,60.22,60.22,60.22,0.0,0.0,60.32,60.32,60.32,0.0,0.0,60.22,60.22,60.22,0.0,0.0,60.32,60.32,60.32,0.0,0.0
2018-03-18,58.89,58.89,58.89,0.0,0.0,58.89,58.89,58.89,0.0,0.0,57.18,57.18,57.18,0.0,0.0,57.18,57.18,57.18,0.0,0.0
2018-03-25,56.22,56.22,56.22,0.0,0.0,57.58,57.58,57.58,0.0,0.0,56.12,56.12,56.12,0.0,0.0,57.26,57.26,57.26,0.0,0.0
2018-04-01,56.6,56.6,56.6,0.0,0.0,56.6,56.6,56.6,0.0,0.0,55.46,55.46,55.46,0.0,0.0,55.46,55.46,55.46,0.0,0.0
2018-04-08,57.43,57.43,57.43,0.0,0.0,57.76,57.76,57.76,0.0,0.0,57.38,57.38,57.38,0.0,0.0,57.48,57.48,57.48,0.0,0.0
2018-04-15,58.23,58.23,58.23,0.0,0.0,58.23,58.23,58.23,0.0,0.0,57.66,57.66,57.66,0.0,0.0,57.83,57.83,57.83,0.0,0.0
2018-04-22,57.22,57.22,57.22,0.0,0.0,57.22,57.22,57.22,0.0,0.0,57.22,57.22,57.22,0.0,0.0,57.22,57.22,57.22,0.0,0.0
2018-04-29,57.05,57.05,57.05,0.0,0.0,58.43,58.43,58.43,0.0,0.0,57.05,57.05,57.05,0.0,0.0,58.35,58.35,58.35,0.0,0.0
2018-05-06,60.67,60.67,60.67,0.0,0.0,60.94,60.94,60.94,0.0,0.0,60.36,60.36,60.36,0.0,0.0,60.48,60.48,60.48,0.0,0.0
2018-05-13,60.07,60.07,60.07,0.0,0.0,60.07,60.07,60.07,0.0,0.0,59.95,59.95,59.95,0.0,0.0,59.99,59.99,59.99,0.0,0.0
2018-05-20,60.06,60.06,60.06,0.0,0.0,60.6,60.6,60.6,0.0,0.0,60.06,60.06,60.06,0.0,0.0,60.35,60.35,60.35,0.0,0.0
2018-05-27,61.5,61.5,61.5,0.0,0.0,61.99,61.99,61.99,0.0,0.0,61.5,61.5,61.5,0.0,0.0,61.99,61.99,61.99,0.0,0.0
2018-06-03,61.83,61.83,61.83,0.0,0.0,62.47,62.47,62.47,0.0,0.0,61.83,61.83,61.83,0.0,0.0,62.47,62.47,62.47,0.0,0.0
2018-06-10,64.45,64.45,64.45,0.0,0.0,64.45,64.45,64.45,0.0,0.0,63.71,63.71,63.71,0.0,0.0,64.18,64.18,64.18,0.0,0.0
2018-06-17,64.24,64.24,64.24,0.0,0.0,64.24,64.24,64.24,0.0,0.0,62.33,62.33,62.33,0.0,0.0,62.38,62.38,62.38,0.0,0.0
2018-06-24,60.13,60.13,60.13,0.0,0.0,60.2,60.2,60.2,0.0,0.0,59.92,59.92,59.92,0.0,0.0,59.92,59.92,59.92,0.0,0.0
2018-07-01,61.65,61.65,61.65,0.0,0.0,62.27,62.27,62.27,0.0,0.0,61.65,61.65,61.65,0.0,0.0,62.24,62.24,62.24,0.0,0.0
2018-07-08,63.84,63.84,63.84,0.0,0.0,63.84,63.84,63.84,0.0,0.0,63.1,63.1,63.1,0.0,0.0,63.31,63.31,63.31,0.0,0.0
2018-07-15,64.29,64.29,64.29,0.0,0.0,64.29,64.29,64.29,0.0,0.0,63.49,63.49,63.49,0.0,0.0,63.51,63.51,63.51,0.0,0.0
2018-07-22,65.8,65.8,65.8,0.0,0.0,65.8,65.8,65.8,0.0,0.0,61.93,61.93,61.93,0.0,0.0,62.09,62.09,62.09,0.0,0.0
2018-07-29,63.01,63.01,63.01,0.0,0.0,63.01,63.01,63.01,0.0,0.0,61.7,61.7,61.7,0.0,0.0,61.97,61.97,61.97,0.0,0.0
2018-08-05,62.85,62.85,62.85,0.0,0.0,63.85,63.85,63.85,0.0,0.0,62.85,62.85,62.85,0.0,0.0,63.64,63.64,63.64,0.0,0.0
2018-08-12,63.09,63.09,63.09,0.0,0.0,63.43,63.43,63.43,0.0,0.0,63.09,63.09,63.09,0.0,0.0,63.23,63.23,63.23,0.0,0.0
2018-08-19,65.82,65.82,65.82,0.0,0.0,66.59,66.59,66.59,0.0,0.0,65.82,65.82,65.82,0.0,0.0,66.59,66.59,66.59,0.0,0.0
2018-08-26,67.53,67.53,67.53,0.0,0.0,68.13,68.13,68.13,0.0,0.0,67.48,67.48,67.48,0.0,0.0,68.03,68.03,68.03,0.0,0.0
2018-09-02,66.08,66.08,66.08,0.0,0.0,67.5,67.5,67.5,0.0,0.0,66.08,66.08,66.08,0.0,0.0,66.78,66.78,66.78,0.0,0.0
2018-09-09,67.99,67.99,67.99,0.0,0.0,68.3,68.3,68.3,0.0,0.0,67.62,67.62,67.62,0.0,0.0,67.81,67.81,67.81,0.0,0.0
2018-09-16,65.26,65.26,65.26,0.0,0.0,65.56,65.56,65.56,0.0,0.0,64.52,64.52,64.52,0.0,0.0,64.53,64.53,64.53,0.0,0.0
2018-09-23,66.13,66.13,66.13,0.0,0.0,66.29,66.29,66.29,0.0,0.0,65.92,65.92,65.92,0.0,0.0,66.05,66.05,66.05,0.0,0.0
2018-09-30,63.01,63.01,63.01,0.0,0.0,63.26,63.26,63.26,0.0,0.0,61.29,61.29,61.29,0.0,0.0,62.57,62.57,62.57,0.0,0.0
2018-10-07,57.54,57.54,57.54,0.0,0.0,57.66,57.66,57.66,0.0,0.0,56.38,56.38,56.38,0.0,0.0,57.09,57.09,57.09,0.0,0.0
2018-10-14,58.24,58.24,58.24,0.0,0.0,58.24,58.24,58.24,0.0,0.0,56.03,56.03,56.03,0.0,0.0,56.1,56.1,56.1,0.0,0.0
2018-10-21,53.94,53.94,53.94,0.0,0.0,55.32,55.32,55.32,0.0,0.0,53.42,53.42,53.42,0.0,0.0,54.29,54.29,54.29,0.0,0.0
2018-10-28,57.78,57.78,57.78,0.0,0.0,57.94,57.94,57.94,0.0,0.0,57.01,57.01,57.01,0.0,0.0,57.29,57.29,57.29,0.0,0.0
2018-11-04,58.04,58.04,58.04,0.0,0.0,58.04,58.04,58.04,0.0,0.0,56.71,56.71,56.71,0.0,0.0,57.39,57.39,57.39,0.0,0.0
2018-11-11,55.68,55.68,55.68,0.0,0.0,56.19,56.19,56.19,0.0,0.0,55.24,55.24,55.24,0.0,0.0,56.17,56.17,56.17,0.0,0.0
2018-11-18,51.49,51.49,51.49,0.0,0.0,52.63,52.63,52.63,0.0,0.0,51.49,51.49,51.49,0.0,0.0,52.31,52.31,52.31,0.0,0.0
2018-11-25,56.81,56.81,56.81,0.0,0.0,56.81,56.81,56.81,0.0,0.0,56.19,56.19,56.19,0.0,0.0,56.58,56.58,56.58,0.0,0.0
2018-12-02,56.08,56.08,56.08,0.0,0.0,56.08,56.08,56.08,0.0,0.0,53.95,53.95,53.95,0.0,0.0,54.05,54.05,54.05,0.0,0.0
2018-12-09,55.06,55.06,55.06,0.0,0.0,55.42,55.42,55.42,0.0,0.0,54.56,54.56,54.56,0.0,0.0,54.56,54.56,54.56,0.0,0.0
2018-12-16,50.45,50.45,50.45,0.0,0.0,50.45,50.45,50.45,0.0,0.0,48.49,48.49,48.49,0.0,0.0,48.76,48.76,48.76,0.0,0.0
2018-12-23,52.35,52.35,52.35,0.0,0.0,53.04,53.04,53.04,0.0,0.0,51.5,51.5,51.5,0.0,0.0,52.05,52.05,52.05,0.0,0.0
2018-12-30,52.12,52.12,52.12,0.0,0.0,53.23,53.23,53.23,0.0,0.0,52.12,52.12,52.12,0.0,0.0,52.89,52.89,52.89,0.0,0.0
2019-01-06,55.52,55.52,55.52,0.0,0.0,55.99,55.99,55.99,0.0,0.0,55.52,55.52,55.52,0.0,0.0,55.66,55.66,55.66,0.0,0.0
2019-01-13,57.19,57.19,57.19,0.0,0.0,57.75,57.75,57.75,0.0,0.0,57.0,57.0,57.0,0.0,0.0,57.69,57.69,57.69,0.0,0.0
2019-01-20,57.53,57.53,57.53,0.0,0.0,58.59,58.59,58.59,0.0,0.0,57.53,57.53,57.53,0.0,0.0,58.38,58.38,58.38,0.0,0.0
2019-01-27,60.32,60.32,60.32,0.0,0.0,60.8,60.8,60.8,0.0,0.0,59.9,59.9,59.9,0.0,0.0,60.72,60.72,60.72,0.0,0.0
2019-02-03,60.08,60.08,60.08,0.0,0.0,61.33,61.33,61.33,0.0,0.0,60.08,60.08,60.08,0.0,0.0,61.33,61.33,61.33,0.0,0.0
2019-02-10,63.18,63.18,63.18,0.0,0.0,63.27,63.27,63.27,0.0,0.0,62.69,62.69,62.69,0.0,0.0,63.18,63.18,63.18,0.0,0.0
2019-02-17,63.67,63.67,63.67,0.0,0.0,64.28,64.28,64.28,0.0,0.0,63.67,63.67,63.67,0.0,0.0,64.28,64.28,64.28,0.0,0.0
2019-02-24,64.6,64.6,64.6,0.0,0.0,64.82,64.82,64.82,0.0,0.0,64.09,64.09,64.09,0.0,0.0,64.8,64.8,64.8,0.0,0.0
2019-03-03,61.46,61.46,61.46,0.0,0.0,62.32,62.32,62.32,0.0,0.0,60.77,60.77,60.77,0.0,0.0,62.26,62.26,62.26,0.0,0.0
2019-03-10,65.95,65.95,65.95,0.0,0.0,66.49,66.49,66.49,0.0,0.0,65.95,65.95,65.95,0.0,0.0,66.18,66.18,66.18,0.0,0.0
2019-03-17,69.28,69.28,69.28,0.0,0.0,69.28,69.28,69.28,0.0,0.0,67.11,67.11,67.11,0.0,0.0,67.11,67.11,67.11,0.0,0.0
