Date,PowerShares S&P SmallCap Industrials_Open_average,PowerShares S&P SmallCap Industrials_Open_max,PowerShares S&P SmallCap Industrials_Open_min,PowerShares S&P SmallCap Industrials_Open_volatility,PowerShares S&P SmallCap Industrials_Open_change,PowerShares S&P SmallCap Industrials_High_average,PowerShares S&P SmallCap Industrials_High_max,PowerShares S&P SmallCap Industrials_High_min,PowerShares S&P SmallCap Industrials_High_volatility,PowerShares S&P SmallCap Industrials_High_change,PowerShares S&P SmallCap Industrials_Low_average,PowerShares S&P SmallCap Industrials_Low_max,PowerShares S&P SmallCap Industrials_Low_min,PowerShares S&P SmallCap Industrials_Low_volatility,PowerShares S&P SmallCap Industrials_Low_change,PowerShares S&P SmallCap Industrials_Close_average,PowerShares S&P SmallCap Industrials_Close_max,PowerShares S&P SmallCap Industrials_Close_min,PowerShares S&P SmallCap Industrials_Close_volatility,PowerShares S&P SmallCap Industrials_Close_change
2018-01-14,66.36,66.36,66.36,0.0,0.0,66.45,66.45,66.45,0.0,0.0,66.1,66.1,66.1,0.0,0.0,66.33,66.33,66.33,0.0,0.0
2018-01-21,66.66,66.66,66.66,0.0,0.0,66.71,66.71,66.71,0.0,0.0,66.44,66.44,66.44,0.0,0.0,66.46,66.46,66.46,0.0,0.0
2018-01-28,64.45,64.45,64.45,0.0,0.0,64.46,64.46,64.46,0.0,0.0,62.09,62.09,62.09,0.0,0.0,62.64,62.64,62.64,0.0,0.0
2018-02-04,61.5,61.5,61.5,0.0,0.0,62.45,62.45,62.45,0.0,0.0,61.45,61.45,61.45,0.0,0.0,62.0,62.0,62.0,0.0,0.0
2018-02-11,63.99,63.99,63.99,0.0,0.0,64.72,64.72,64.72,0.0,0.0,63.89,63.89,63.89,0.0,0.0,64.3,64.3,64.3,0.0,0.0
2018-02-18,64.99,64.99,64.99,0.0,0.0,65.49,65.49,65.49,0.0,0.0,64.87,64.87,64.87,0.0,0.0,65.3,65.3,65.3,0.0,0.0
2018-02-25,63.04,63.04,63.04,0.0,0.0,63.46,63.46,63.46,0.0,0.0,62.63,62.63,62.63,0.0,0.0,63.46,63.46,63.46,0.0,0.0
2018-03-04,66.98,66.98,66.98,0.0,0.0,66.98,66.98,66.98,0.0,0.0,66.34,66.34,66.34,0.0,0.0,66.39,66.39,66.39,0.0,0.0
2018-03-11,65.9,65.9,65.9,0.0,0.0,65.96,65.96,65.96,0.0,0.0,65.13,65.13,65.13,0.0,0.0,65.96,65.96,65.96,0.0,0.0
2018-03-18,63.97,63.97,63.97,0.0,0.0,64.37,64.37,64.37,0.0,0.0,63.35,63.35,63.35,0.0,0.0,64.37,64.37,64.37,0.0,0.0
