Date,SPDR Dow Jones REIT_etf_Open_average,SPDR Dow Jones REIT_etf_Open_max,SPDR Dow Jones REIT_etf_Open_min,SPDR Dow Jones REIT_etf_Open_volatility,SPDR Dow Jones REIT_etf_Open_change,SPDR Dow Jones REIT_etf_High_average,SPDR Dow Jones REIT_etf_High_max,SPDR Dow Jones REIT_etf_High_min,SPDR Dow Jones REIT_etf_High_volatility,SPDR Dow Jones REIT_etf_High_change,SPDR Dow Jones REIT_etf_Low_average,SPDR Dow Jones REIT_etf_Low_max,SPDR Dow Jones REIT_etf_Low_min,SPDR Dow Jones REIT_etf_Low_volatility,SPDR Dow Jones REIT_etf_Low_change,SPDR Dow Jones REIT_etf_Close_average,SPDR Dow Jones REIT_etf_Close_max,SPDR Dow Jones REIT_etf_Close_min,SPDR Dow Jones REIT_etf_Close_volatility,SPDR Dow Jones REIT_etf_Close_change
2018-01-14,88.65,88.65,88.65,0.0,0.0,88.94,88.94,88.94,0.0,0.0,88.37,88.37,88.37,0.0,0.0,88.92,88.92,88.92,0.0,0.0
2018-01-21,90.33,90.33,90.33,0.0,0.0,90.59,90.59,90.59,0.0,0.0,89.66,89.66,89.66,0.0,0.0,90.14,90.14,90.14,0.0,0.0
2018-01-28,87.34,87.34,87.34,0.0,0.0,87.8,87.8,87.8,0.0,0.0,86.48,86.48,86.48,0.0,0.0,87.2,87.2,87.2,0.0,0.0
2018-02-04,82.0,82.0,82.0,0.0,0.0,84.56,84.56,84.56,0.0,0.0,81.59,81.59,81.59,0.0,0.0,83.96,83.96,83.96,0.0,0.0
2018-02-11,85.12,85.12,85.12,0.0,0.0,85.94,85.94,85.94,0.0,0.0,84.95,84.95,84.95,0.0,0.0,85.63,85.63,85.63,0.0,0.0
2018-02-18,84.16,84.16,84.16,0.0,0.0,85.24,85.24,85.24,0.0,0.0,83.99,83.99,83.99,0.0,0.0,85.24,85.24,85.24,0.0,0.0
2018-02-25,83.34,83.34,83.34,0.0,0.0,83.76,83.76,83.76,0.0,0.0,82.87,82.87,82.87,0.0,0.0,83.68,83.68,83.68,0.0,0.0
2018-03-04,85.64,85.64,85.64,0.0,0.0,86.03,86.03,86.03,0.0,0.0,85.0,85.0,85.0,0.0,0.0,86.03,86.03,86.03,0.0,0.0
2018-03-11,85.64,85.64,85.64,0.0,0.0,86.61,86.61,86.61,0.0,0.0,85.56,85.56,85.56,0.0,0.0,86.48,86.48,86.48,0.0,0.0
2018-03-18,84.16,84.16,84.16,0.0,0.0,84.32,84.32,84.32,0.0,0.0,82.49,82.49,82.49,0.0,0.0,82.7,82.7,82.7,0.0,0.0
