Date,iShares Morningstar Mid-CapEtf_Open_average,iShares Morningstar Mid-CapEtf_Open_max,iShares Morningstar Mid-CapEtf_Open_min,iShares Morningstar Mid-CapEtf_Open_volatility,iShares Morningstar Mid-CapEtf_Open_change,iShares Morningstar Mid-CapEtf_High_average,iShares Morningstar Mid-CapEtf_High_max,iShares Morningstar Mid-CapEtf_High_min,iShares Morningstar Mid-CapEtf_High_volatility,iShares Morningstar Mid-CapEtf_High_change,iShares Morningstar Mid-CapEtf_Low_average,iShares Morningstar Mid-CapEtf_Low_max,iShares Morningstar Mid-CapEtf_Low_min,iShares Morningstar Mid-CapEtf_Low_volatility,iShares Morningstar Mid-CapEtf_Low_change,iShares Morningstar Mid-CapEtf_Close_average,iShares Morningstar Mid-CapEtf_Close_max,iShares Morningstar Mid-CapEtf_Close_min,iShares Morningstar Mid-CapEtf_Close_volatility,iShares Morningstar Mid-CapEtf_Close_change
2018-01-14,191.35,191.35,191.35,0.0,0.0,192.43,192.43,192.43,0.0,0.0,191.35,191.35,191.35,0.0,0.0,192.41,192.41,192.41,0.0,0.0
2018-01-21,194.17,194.17,194.17,0.0,0.0,194.75,194.75,194.75,0.0,0.0,193.84,193.84,193.84,0.0,0.0,194.75,194.75,194.75,0.0,0.0
2018-01-28,190.21,190.21,190.21,0.0,0.0,190.21,190.21,190.21,0.0,0.0,187.57,187.57,187.57,0.0,0.0,187.96,187.96,187.96,0.0,0.0
2018-02-04,178.85,178.85,178.85,0.0,0.0,179.84,179.84,179.84,0.0,0.0,174.13,174.13,174.13,0.0,0.0,179.02,179.02,179.02,0.0,0.0
2018-02-11,185.39,185.39,185.39,0.0,0.0,186.97,186.97,186.97,0.0,0.0,185.39,185.39,185.39,0.0,0.0,186.19,186.19,186.19,0.0,0.0
2018-02-18,184.2,184.2,184.2,0.0,0.0,185.61,185.61,185.61,0.0,0.0,184.2,184.2,184.2,0.0,0.0,185.56,185.56,185.56,0.0,0.0
2018-02-25,180.37,180.37,180.37,0.0,0.0,182.88,182.88,182.88,0.0,0.0,180.37,180.37,180.37,0.0,0.0,182.88,182.88,182.88,0.0,0.0
2018-03-04,186.96,186.96,186.96,0.0,0.0,188.66,188.66,188.66,0.0,0.0,186.35,186.35,186.35,0.0,0.0,188.63,188.63,188.63,0.0,0.0
2018-03-11,186.29,186.29,186.29,0.0,0.0,187.35,187.35,187.35,0.0,0.0,186.29,186.29,186.29,0.0,0.0,187.18,187.18,187.18,0.0,0.0
2018-03-18,180.8,180.8,180.8,0.0,0.0,181.13,181.13,181.13,0.0,0.0,176.99,176.99,176.99,0.0,0.0,176.99,176.99,176.99,0.0,0.0
