Date,ProShares Short Real Estate_Open_average,ProShares Short Real Estate_Open_max,ProShares Short Real Estate_Open_min,ProShares Short Real Estate_Open_volatility,ProShares Short Real Estate_Open_change,ProShares Short Real Estate_High_average,ProShares Short Real Estate_High_max,ProShares Short Real Estate_High_min,ProShares Short Real Estate_High_volatility,ProShares Short Real Estate_High_change,ProShares Short Real Estate_Low_average,ProShares Short Real Estate_Low_max,ProShares Short Real Estate_Low_min,ProShares Short Real Estate_Low_volatility,ProShares Short Real Estate_Low_change,ProShares Short Real Estate_Close_average,ProShares Short Real Estate_Close_max,ProShares Short Real Estate_Close_min,ProShares Short Real Estate_Close_volatility,ProShares Short Real Estate_Close_change
2018-01-14,16.66,16.66,16.66,0.0,0.0,16.67,16.67,16.67,0.0,0.0,16.59,16.59,16.59,0.0,0.0,16.61,16.61,16.61,0.0,0.0
2018-01-21,16.29,16.29,16.29,0.0,0.0,16.38,16.38,16.38,0.0,0.0,16.29,16.29,16.29,0.0,0.0,16.31,16.31,16.31,0.0,0.0
2018-01-28,16.85,16.85,16.85,0.0,0.0,16.88,16.88,16.88,0.0,0.0,16.7,16.7,16.7,0.0,0.0,16.83,16.83,16.83,0.0,0.0
2018-02-04,17.73,17.73,17.73,0.0,0.0,17.94,17.94,17.94,0.0,0.0,17.32,17.32,17.32,0.0,0.0,17.43,17.43,17.43,0.0,0.0
2018-02-11,17.12,17.12,17.12,0.0,0.0,17.13,17.13,17.13,0.0,0.0,16.95,16.95,16.95,0.0,0.0,17.07,17.07,17.07,0.0,0.0
2018-02-18,17.3,17.3,17.3,0.0,0.0,17.3,17.3,17.3,0.0,0.0,17.09,17.09,17.09,0.0,0.0,17.1,17.1,17.1,0.0,0.0
2018-02-25,17.57,17.57,17.57,0.0,0.0,17.66,17.66,17.66,0.0,0.0,17.5,17.5,17.5,0.0,0.0,17.5,17.5,17.5,0.0,0.0
2018-03-04,17.05,17.05,17.05,0.0,0.0,17.11,17.11,17.11,0.0,0.0,16.95,16.95,16.95,0.0,0.0,16.96,16.96,16.96,0.0,0.0
2018-03-11,16.84,16.84,16.84,0.0,0.0,16.84,16.84,16.84,0.0,0.0,16.7,16.7,16.7,0.0,0.0,16.7,16.7,16.7,0.0,0.0
2018-03-18,17.07,17.07,17.07,0.0,0.0,17.44,17.44,17.44,0.0,0.0,17.07,17.07,17.07,0.0,0.0,17.41,17.41,17.41,0.0,0.0
2018-03-25,16.78,16.78,16.78,0.0,0.0,16.84,16.84,16.84,0.0,0.0,16.75,16.75,16.75,0.0,0.0,16.82,16.82,16.82,0.0,0.0
2018-04-01,16.75,16.75,16.75,0.0,0.0,16.93,16.93,16.93,0.0,0.0,16.66,16.66,16.66,0.0,0.0,16.87,16.87,16.87,0.0,0.0
2018-04-08,17.14,17.14,17.14,0.0,0.0,17.14,17.14,17.14,0.0,0.0,17.02,17.02,17.02,0.0,0.0,17.07,17.07,17.07,0.0,0.0
2018-04-15,16.99,16.99,16.99,0.0,0.0,17.18,17.18,17.18,0.0,0.0,16.99,16.99,16.99,0.0,0.0,17.18,17.18,17.18,0.0,0.0
2018-04-22,16.92,16.92,16.92,0.0,0.0,16.92,16.92,16.92,0.0,0.0,16.69,16.69,16.69,0.0,0.0,16.69,16.69,16.69,0.0,0.0
2018-04-29,16.63,16.63,16.63,0.0,0.0,16.63,16.63,16.63,0.0,0.0,16.49,16.49,16.49,0.0,0.0,16.52,16.52,16.52,0.0,0.0
2018-05-06,16.22,16.22,16.22,0.0,0.0,16.36,16.36,16.36,0.0,0.0,16.21,16.21,16.21,0.0,0.0,16.36,16.36,16.36,0.0,0.0
2018-05-13,16.85,16.85,16.85,0.0,0.0,16.89,16.89,16.89,0.0,0.0,16.85,16.85,16.85,0.0,0.0,16.89,16.89,16.89,0.0,0.0
2018-05-20,16.43,16.43,16.43,0.0,0.0,16.47,16.47,16.47,0.0,0.0,16.43,16.43,16.43,0.0,0.0,16.46,16.46,16.46,0.0,0.0
2018-05-27,16.2,16.2,16.2,0.0,0.0,16.26,16.26,16.26,0.0,0.0,16.14,16.14,16.14,0.0,0.0,16.17,16.17,16.17,0.0,0.0
2018-06-03,16.0,16.0,16.0,0.0,0.0,16.01,16.01,16.01,0.0,0.0,15.99,15.99,15.99,0.0,0.0,16.0,16.0,16.0,0.0,0.0
2018-06-10,16.03,16.03,16.03,0.0,0.0,16.03,16.03,16.03,0.0,0.0,16.01,16.01,16.01,0.0,0.0,16.02,16.02,16.02,0.0,0.0
2018-06-17,15.8,15.8,15.8,0.0,0.0,15.8,15.8,15.8,0.0,0.0,15.73,15.73,15.73,0.0,0.0,15.74,15.74,15.74,0.0,0.0
2018-06-24,15.58,15.58,15.58,0.0,0.0,15.58,15.58,15.58,0.0,0.0,15.56,15.56,15.56,0.0,0.0,15.58,15.58,15.58,0.0,0.0
2018-07-01,15.33,15.33,15.33,0.0,0.0,15.36,15.36,15.36,0.0,0.0,15.33,15.33,15.33,0.0,0.0,15.36,15.36,15.36,0.0,0.0
2018-07-08,15.4,15.4,15.4,0.0,0.0,15.42,15.42,15.42,0.0,0.0,15.4,15.4,15.4,0.0,0.0,15.4,15.4,15.4,0.0,0.0
2018-07-15,15.47,15.47,15.47,0.0,0.0,15.7,15.7,15.7,0.0,0.0,15.47,15.47,15.47,0.0,0.0,15.7,15.7,15.7,0.0,0.0
2018-07-22,15.63,15.63,15.63,0.0,0.0,15.79,15.79,15.79,0.0,0.0,15.63,15.63,15.63,0.0,0.0,15.79,15.79,15.79,0.0,0.0
