Date,WisdomTree Emerging Currency Strategy_etf_Open_average,WisdomTree Emerging Currency Strategy_etf_Open_max,WisdomTree Emerging Currency Strategy_etf_Open_min,WisdomTree Emerging Currency Strategy_etf_Open_volatility,WisdomTree Emerging Currency Strategy_etf_Open_change,WisdomTree Emerging Currency Strategy_etf_High_average,WisdomTree Emerging Currency Strategy_etf_High_max,WisdomTree Emerging Currency Strategy_etf_High_min,WisdomTree Emerging Currency Strategy_etf_High_volatility,WisdomTree Emerging Currency Strategy_etf_High_change,WisdomTree Emerging Currency Strategy_etf_Low_average,WisdomTree Emerging Currency Strategy_etf_Low_max,WisdomTree Emerging Currency Strategy_etf_Low_min,WisdomTree Emerging Currency Strategy_etf_Low_volatility,WisdomTree Emerging Currency Strategy_etf_Low_change,WisdomTree Emerging Currency Strategy_etf_Close_average,WisdomTree Emerging Currency Strategy_etf_Close_max,WisdomTree Emerging Currency Strategy_etf_Close_min,WisdomTree Emerging Currency Strategy_etf_Close_volatility,WisdomTree Emerging Currency Strategy_etf_Close_change
2018-01-14,19.84,19.84,19.84,0.0,0.0,19.84,19.84,19.84,0.0,0.0,19.75,19.75,19.75,0.0,0.0,19.81,19.81,19.81,0.0,0.0
2018-01-21,19.98,19.98,19.98,0.0,0.0,20.05,20.05,20.05,0.0,0.0,19.97,19.97,19.97,0.0,0.0,20.04,20.04,20.04,0.0,0.0
2018-01-28,19.93,19.93,19.93,0.0,0.0,19.93,19.93,19.93,0.0,0.0,19.82,19.82,19.82,0.0,0.0,19.85,19.85,19.85,0.0,0.0
2018-02-04,19.65,19.65,19.65,0.0,0.0,19.65,19.65,19.65,0.0,0.0,19.55,19.55,19.55,0.0,0.0,19.62,19.62,19.62,0.0,0.0
2018-02-11,20.01,20.01,20.01,0.0,0.0,20.01,20.01,20.01,0.0,0.0,19.96,19.96,19.96,0.0,0.0,19.99,19.99,19.99,0.0,0.0
2018-02-18,19.89,19.89,19.89,0.0,0.0,19.95,19.95,19.95,0.0,0.0,19.89,19.89,19.89,0.0,0.0,19.92,19.92,19.92,0.0,0.0
2018-02-25,19.77,19.77,19.77,0.0,0.0,19.81,19.81,19.81,0.0,0.0,19.77,19.77,19.77,0.0,0.0,19.81,19.81,19.81,0.0,0.0
2018-03-04,19.8,19.8,19.8,0.0,0.0,19.86,19.86,19.86,0.0,0.0,19.8,19.8,19.8,0.0,0.0,19.86,19.86,19.86,0.0,0.0
2018-03-11,19.79,19.79,19.79,0.0,0.0,19.79,19.79,19.79,0.0,0.0,19.76,19.76,19.76,0.0,0.0,19.79,19.79,19.79,0.0,0.0
2018-03-18,19.78,19.78,19.78,0.0,0.0,19.78,19.78,19.78,0.0,0.0,19.74,19.74,19.74,0.0,0.0,19.74,19.74,19.74,0.0,0.0
2018-03-25,19.85,19.85,19.85,0.0,0.0,19.9,19.9,19.9,0.0,0.0,19.85,19.85,19.85,0.0,0.0,19.9,19.9,19.9,0.0,0.0
2018-04-01,19.8,19.8,19.8,0.0,0.0,19.8,19.8,19.8,0.0,0.0,19.75,19.75,19.75,0.0,0.0,19.76,19.76,19.76,0.0,0.0
2018-04-08,19.77,19.77,19.77,0.0,0.0,19.79,19.79,19.79,0.0,0.0,19.75,19.75,19.75,0.0,0.0,19.75,19.75,19.75,0.0,0.0
2018-04-15,19.67,19.67,19.67,0.0,0.0,19.7,19.7,19.7,0.0,0.0,19.65,19.65,19.65,0.0,0.0,19.68,19.68,19.68,0.0,0.0
2018-04-22,19.52,19.52,19.52,0.0,0.0,19.54,19.54,19.54,0.0,0.0,19.52,19.52,19.52,0.0,0.0,19.54,19.54,19.54,0.0,0.0
2018-04-29,19.25,19.25,19.25,0.0,0.0,19.34,19.34,19.34,0.0,0.0,19.24,19.24,19.24,0.0,0.0,19.29,19.29,19.29,0.0,0.0
2018-05-06,19.34,19.34,19.34,0.0,0.0,19.34,19.34,19.34,0.0,0.0,19.22,19.22,19.22,0.0,0.0,19.23,19.23,19.23,0.0,0.0
2018-05-13,18.92,18.92,18.92,0.0,0.0,18.94,18.94,18.94,0.0,0.0,18.92,18.92,18.92,0.0,0.0,18.94,18.94,18.94,0.0,0.0
2018-05-20,19.01,19.01,19.01,0.0,0.0,19.02,19.02,19.02,0.0,0.0,19.01,19.01,19.01,0.0,0.0,19.02,19.02,19.02,0.0,0.0
2018-05-27,18.98,18.98,18.98,0.0,0.0,19.01,19.01,19.01,0.0,0.0,18.95,18.95,18.95,0.0,0.0,18.95,18.95,18.95,0.0,0.0
2018-06-03,18.97,18.97,18.97,0.0,0.0,19.01,19.01,19.01,0.0,0.0,18.95,18.95,18.95,0.0,0.0,19.01,19.01,19.01,0.0,0.0
2018-06-10,18.74,18.74,18.74,0.0,0.0,18.8,18.8,18.8,0.0,0.0,18.73,18.73,18.73,0.0,0.0,18.73,18.73,18.73,0.0,0.0
2018-06-17,18.72,18.72,18.72,0.0,0.0,18.77,18.77,18.77,0.0,0.0,18.72,18.72,18.72,0.0,0.0,18.72,18.72,18.72,0.0,0.0
2018-06-24,18.6,18.6,18.6,0.0,0.0,18.6,18.6,18.6,0.0,0.0,18.57,18.57,18.57,0.0,0.0,18.57,18.57,18.57,0.0,0.0
2018-07-01,18.7,18.7,18.7,0.0,0.0,18.7,18.7,18.7,0.0,0.0,18.65,18.65,18.65,0.0,0.0,18.66,18.66,18.66,0.0,0.0
