Date,Direxion Daily Gold Miners Bear 3X Shares_etf_Open_average,Direxion Daily Gold Miners Bear 3X Shares_etf_Open_max,Direxion Daily Gold Miners Bear 3X Shares_etf_Open_min,Direxion Daily Gold Miners Bear 3X Shares_etf_Open_volatility,Direxion Daily Gold Miners Bear 3X Shares_etf_Open_change,Direxion Daily Gold Miners Bear 3X Shares_etf_High_average,Direxion Daily Gold Miners Bear 3X Shares_etf_High_max,Direxion Daily Gold Miners Bear 3X Shares_etf_High_min,Direxion Daily Gold Miners Bear 3X Shares_etf_High_volatility,Direxion Daily Gold Miners Bear 3X Shares_etf_High_change,Direxion Daily Gold Miners Bear 3X Shares_etf_Low_average,Direxion Daily Gold Miners Bear 3X Shares_etf_Low_max,Direxion Daily Gold Miners Bear 3X Shares_etf_Low_min,Direxion Daily Gold Miners Bear 3X Shares_etf_Low_volatility,Direxion Daily Gold Miners Bear 3X Shares_etf_Low_change,Direxion Daily Gold Miners Bear 3X Shares_etf_Close_average,Direxion Daily Gold Miners Bear 3X Shares_etf_Close_max,Direxion Daily Gold Miners Bear 3X Shares_etf_Close_min,Direxion Daily Gold Miners Bear 3X Shares_etf_Close_volatility,Direxion Daily Gold Miners Bear 3X Shares_etf_Close_change
2018-01-14,544.75,544.75,544.75,0.0,0.0,555.5,555.5,555.5,0.0,0.0,541.26,541.26,541.26,0.0,0.0,555.0,555.0,555.0,0.0,0.0
2018-01-21,510.0,510.0,510.0,0.0,0.0,515.25,515.25,515.25,0.0,0.0,501.0,501.0,501.0,0.0,0.0,506.75,506.75,506.75,0.0,0.0
2018-01-28,568.75,568.75,568.75,0.0,0.0,608.0,608.0,608.0,0.0,0.0,566.75,566.75,566.75,0.0,0.0,599.25,599.25,599.25,0.0,0.0
2018-02-04,706.0,706.0,706.0,0.0,0.0,786.45,786.45,786.45,0.0,0.0,704.02,704.02,704.02,0.0,0.0,733.5,733.5,733.5,0.0,0.0
2018-02-11,595.0,595.0,595.0,0.0,0.0,641.25,641.25,641.25,0.0,0.0,589.75,589.75,589.75,0.0,0.0,619.75,619.75,619.75,0.0,0.0
2018-02-18,686.75,686.75,686.75,0.0,0.0,691.25,691.25,691.25,0.0,0.0,661.0,661.0,661.0,0.0,0.0,663.5,663.5,663.5,0.0,0.0
2018-02-25,675.0,675.0,675.0,0.0,0.0,705.98,705.98,705.98,0.0,0.0,666.5,666.5,666.5,0.0,0.0,702.5,702.5,702.5,0.0,0.0
2018-03-04,701.0,701.0,701.0,0.0,0.0,708.0,708.0,708.0,0.0,0.0,675.0,675.0,675.0,0.0,0.0,693.25,693.25,693.25,0.0,0.0
2018-03-11,709.25,709.25,709.25,0.0,0.0,725.0,725.0,725.0,0.0,0.0,697.75,697.75,697.75,0.0,0.0,707.75,707.75,707.75,0.0,0.0
2018-03-18,643.75,643.75,643.75,0.0,0.0,650.9,650.9,650.9,0.0,0.0,613.25,613.25,613.25,0.0,0.0,635.0,635.0,635.0,0.0,0.0
