Date,Premise Capital Frontier Advantage Diversified Tac_Open_average,Premise Capital Frontier Advantage Diversified Tac_Open_max,Premise Capital Frontier Advantage Diversified Tac_Open_min,Premise Capital Frontier Advantage Diversified Tac_Open_volatility,Premise Capital Frontier Advantage Diversified Tac_Open_change,Premise Capital Frontier Advantage Diversified Tac_High_average,Premise Capital Frontier Advantage Diversified Tac_High_max,Premise Capital Frontier Advantage Diversified Tac_High_min,Premise Capital Frontier Advantage Diversified Tac_High_volatility,Premise Capital Frontier Advantage Diversified Tac_High_change,Premise Capital Frontier Advantage Diversified Tac_Low_average,Premise Capital Frontier Advantage Diversified Tac_Low_max,Premise Capital Frontier Advantage Diversified Tac_Low_min,Premise Capital Frontier Advantage Diversified Tac_Low_volatility,Premise Capital Frontier Advantage Diversified Tac_Low_change,Premise Capital Frontier Advantage Diversified Tac_Close_average,Premise Capital Frontier Advantage Diversified Tac_Close_max,Premise Capital Frontier Advantage Diversified Tac_Close_min,Premise Capital Frontier Advantage Diversified Tac_Close_volatility,Premise Capital Frontier Advantage Diversified Tac_Close_change
2018-01-14,31.07,31.07,31.07,0.0,0.0,31.07,31.07,31.07,0.0,0.0,31.07,31.07,31.07,0.0,0.0,31.07,31.07,31.07,0.0,0.0
2018-01-21,31.46,31.46,31.46,0.0,0.0,31.46,31.46,31.46,0.0,0.0,31.4,31.4,31.4,0.0,0.0,31.4,31.4,31.4,0.0,0.0
2018-01-28,30.15,30.15,30.15,0.0,0.0,30.15,30.15,30.15,0.0,0.0,29.78,29.78,29.78,0.0,0.0,29.78,29.78,29.78,0.0,0.0
2018-02-04,29.12,29.12,29.12,0.0,0.0,29.48,29.48,29.48,0.0,0.0,29.12,29.12,29.12,0.0,0.0,29.48,29.48,29.48,0.0,0.0
2018-02-11,30.16,30.16,30.16,0.0,0.0,30.16,30.16,30.16,0.0,0.0,30.16,30.16,30.16,0.0,0.0,30.16,30.16,30.16,0.0,0.0
2018-02-18,30.44,30.44,30.44,0.0,0.0,30.57,30.57,30.57,0.0,0.0,30.44,30.44,30.44,0.0,0.0,30.57,30.57,30.57,0.0,0.0
2018-02-25,29.73,29.73,29.73,0.0,0.0,29.95,29.95,29.95,0.0,0.0,29.73,29.73,29.73,0.0,0.0,29.95,29.95,29.95,0.0,0.0
2018-03-04,30.67,30.67,30.67,0.0,0.0,30.67,30.67,30.67,0.0,0.0,30.42,30.42,30.42,0.0,0.0,30.53,30.53,30.53,0.0,0.0
2018-03-11,29.89,29.89,29.89,0.0,0.0,29.89,29.89,29.89,0.0,0.0,29.83,29.83,29.83,0.0,0.0,29.83,29.83,29.83,0.0,0.0
2018-03-18,29.49,29.49,29.49,0.0,0.0,29.49,29.49,29.49,0.0,0.0,29.49,29.49,29.49,0.0,0.0,29.49,29.49,29.49,0.0,0.0
2018-03-25,29.45,29.45,29.45,0.0,0.0,29.45,29.45,29.45,0.0,0.0,29.14,29.14,29.14,0.0,0.0,29.14,29.14,29.14,0.0,0.0
2018-04-01,29.56,29.56,29.56,0.0,0.0,29.57,29.57,29.57,0.0,0.0,29.52,29.52,29.52,0.0,0.0,29.52,29.52,29.52,0.0,0.0
2018-04-08,29.88,29.88,29.88,0.0,0.0,29.88,29.88,29.88,0.0,0.0,29.87,29.87,29.87,0.0,0.0,29.87,29.87,29.87,0.0,0.0
2018-04-15,29.87,29.87,29.87,0.0,0.0,29.87,29.87,29.87,0.0,0.0,29.74,29.74,29.74,0.0,0.0,29.76,29.76,29.76,0.0,0.0
2018-04-22,29.7,29.7,29.7,0.0,0.0,29.7,29.7,29.7,0.0,0.0,29.6,29.6,29.6,0.0,0.0,29.6,29.6,29.6,0.0,0.0
2018-04-29,29.79,29.79,29.79,0.0,0.0,29.79,29.79,29.79,0.0,0.0,29.67,29.67,29.67,0.0,0.0,29.67,29.67,29.67,0.0,0.0
2018-05-06,30.3,30.3,30.3,0.0,0.0,30.3,30.3,30.3,0.0,0.0,30.3,30.3,30.3,0.0,0.0,30.3,30.3,30.3,0.0,0.0
2018-05-13,30.17,30.17,30.17,0.0,0.0,30.17,30.17,30.17,0.0,0.0,30.15,30.15,30.15,0.0,0.0,30.15,30.15,30.15,0.0,0.0
2018-05-20,29.91,29.91,29.91,0.0,0.0,29.91,29.91,29.91,0.0,0.0,29.91,29.91,29.91,0.0,0.0,29.91,29.91,29.91,0.0,0.0
