Date,iShares US IndustrialsEtf_Open_average,iShares US IndustrialsEtf_Open_max,iShares US IndustrialsEtf_Open_min,iShares US IndustrialsEtf_Open_volatility,iShares US IndustrialsEtf_Open_change,iShares US IndustrialsEtf_High_average,iShares US IndustrialsEtf_High_max,iShares US IndustrialsEtf_High_min,iShares US IndustrialsEtf_High_volatility,iShares US IndustrialsEtf_High_change,iShares US IndustrialsEtf_Low_average,iShares US IndustrialsEtf_Low_max,iShares US IndustrialsEtf_Low_min,iShares US IndustrialsEtf_Low_volatility,iShares US IndustrialsEtf_Low_change,iShares US IndustrialsEtf_Close_average,iShares US IndustrialsEtf_Close_max,iShares US IndustrialsEtf_Close_min,iShares US IndustrialsEtf_Close_volatility,iShares US IndustrialsEtf_Close_change
2018-01-14,155.19,155.19,155.19,0.0,0.0,155.66,155.66,155.66,0.0,0.0,154.13,154.13,154.13,0.0,0.0,155.66,155.66,155.66,0.0,0.0
2018-01-21,156.4,156.4,156.4,0.0,0.0,158.1,158.1,158.1,0.0,0.0,156.27,156.27,156.27,0.0,0.0,158.1,158.1,158.1,0.0,0.0
2018-01-28,153.99,153.99,153.99,0.0,0.0,154.21,154.21,154.21,0.0,0.0,151.39,151.39,151.39,0.0,0.0,151.39,151.39,151.39,0.0,0.0
2018-02-04,143.62,143.62,143.62,0.0,0.0,145.04,145.04,145.04,0.0,0.0,139.48,139.48,139.48,0.0,0.0,143.92,143.92,143.92,0.0,0.0
2018-02-11,150.32,150.32,150.32,0.0,0.0,152.01,152.01,152.01,0.0,0.0,150.08,150.08,150.08,0.0,0.0,150.78,150.78,150.78,0.0,0.0
2018-02-18,150.24,150.24,150.24,0.0,0.0,151.37,151.37,151.37,0.0,0.0,150.08,150.08,150.08,0.0,0.0,151.37,151.37,151.37,0.0,0.0
2018-02-25,145.22,145.22,145.22,0.0,0.0,147.2,147.2,147.2,0.0,0.0,144.68,144.68,144.68,0.0,0.0,146.89,146.89,146.89,0.0,0.0
2018-03-04,150.17,150.17,150.17,0.0,0.0,153.04,153.04,153.04,0.0,0.0,150.17,150.17,150.17,0.0,0.0,153.04,153.04,153.04,0.0,0.0
2018-03-11,149.92,149.92,149.92,0.0,0.0,150.92,150.92,150.92,0.0,0.0,149.92,149.92,149.92,0.0,0.0,150.43,150.43,150.43,0.0,0.0
2018-03-18,144.64,144.64,144.64,0.0,0.0,145.57,145.57,145.57,0.0,0.0,142.17,142.17,142.17,0.0,0.0,142.21,142.21,142.21,0.0,0.0
2018-03-25,143.39,143.39,143.39,0.0,0.0,146.09,146.09,146.09,0.0,0.0,143.39,143.39,143.39,0.0,0.0,145.03,145.03,145.03,0.0,0.0
2018-04-01,144.15,144.15,144.15,0.0,0.0,145.12,145.12,145.12,0.0,0.0,140.9,140.9,140.9,0.0,0.0,141.93,141.93,141.93,0.0,0.0
2018-04-08,145.84,145.84,145.84,0.0,0.0,146.0,146.0,146.0,0.0,0.0,144.32,144.32,144.32,0.0,0.0,144.81,144.81,144.81,0.0,0.0
2018-04-15,148.87,148.87,148.87,0.0,0.0,148.87,148.87,148.87,0.0,0.0,147.23,147.23,147.23,0.0,0.0,147.52,147.52,147.52,0.0,0.0
2018-04-22,143.01,143.01,143.01,0.0,0.0,143.52,143.52,143.52,0.0,0.0,142.47,142.47,142.47,0.0,0.0,143.18,143.18,143.18,0.0,0.0
2018-04-29,139.78,139.78,139.78,0.0,0.0,142.85,142.85,142.85,0.0,0.0,139.78,139.78,139.78,0.0,0.0,142.32,142.32,142.32,0.0,0.0
2018-05-06,146.83,146.83,146.83,0.0,0.0,147.61,147.61,147.61,0.0,0.0,146.77,146.77,146.77,0.0,0.0,147.16,147.16,147.16,0.0,0.0
2018-05-13,147.22,147.22,147.22,0.0,0.0,148.35,148.35,148.35,0.0,0.0,147.22,147.22,147.22,0.0,0.0,148.23,148.23,148.23,0.0,0.0
2018-05-20,148.44,148.44,148.44,0.0,0.0,148.79,148.79,148.79,0.0,0.0,148.05,148.05,148.05,0.0,0.0,148.51,148.51,148.51,0.0,0.0
2018-05-27,147.4,147.4,147.4,0.0,0.0,148.62,148.62,148.62,0.0,0.0,147.4,147.4,147.4,0.0,0.0,148.35,148.35,148.35,0.0,0.0
2018-06-03,150.12,150.12,150.12,0.0,0.0,151.26,151.26,151.26,0.0,0.0,150.12,150.12,150.12,0.0,0.0,151.26,151.26,151.26,0.0,0.0
2018-06-10,149.49,149.49,149.49,0.0,0.0,150.19,150.19,150.19,0.0,0.0,148.6,148.6,148.6,0.0,0.0,150.09,150.09,150.09,0.0,0.0
2018-06-17,147.6,147.6,147.6,0.0,0.0,147.6,147.6,147.6,0.0,0.0,146.03,146.03,146.03,0.0,0.0,146.15,146.15,146.15,0.0,0.0
2018-06-24,143.57,143.57,143.57,0.0,0.0,144.94,144.94,144.94,0.0,0.0,143.57,143.57,143.57,0.0,0.0,143.7,143.7,143.7,0.0,0.0
2018-07-01,144.23,144.23,144.23,0.0,0.0,145.42,145.42,145.42,0.0,0.0,143.97,143.97,143.97,0.0,0.0,145.1,145.1,145.1,0.0,0.0
2018-07-08,147.28,147.28,147.28,0.0,0.0,148.3,148.3,148.3,0.0,0.0,147.28,147.28,147.28,0.0,0.0,148.07,148.07,148.07,0.0,0.0
2018-07-15,148.85,148.85,148.85,0.0,0.0,149.41,149.41,149.41,0.0,0.0,148.43,148.43,148.43,0.0,0.0,148.83,148.83,148.83,0.0,0.0
2018-07-22,151.52,151.52,151.52,0.0,0.0,151.8,151.8,151.8,0.0,0.0,150.09,150.09,150.09,0.0,0.0,150.7,150.7,150.7,0.0,0.0
2018-07-29,150.31,150.31,150.31,0.0,0.0,150.61,150.61,150.61,0.0,0.0,149.87,149.87,149.87,0.0,0.0,150.59,150.59,150.59,0.0,0.0
2018-08-05,150.03,150.03,150.03,0.0,0.0,150.56,150.56,150.56,0.0,0.0,149.63,149.63,149.63,0.0,0.0,150.06,150.06,150.06,0.0,0.0
2018-08-12,150.56,150.56,150.56,0.0,0.0,152.14,152.14,152.14,0.0,0.0,150.56,150.56,150.56,0.0,0.0,151.84,151.84,151.84,0.0,0.0
2018-08-19,152.53,152.53,152.53,0.0,0.0,153.15,153.15,153.15,0.0,0.0,152.46,152.46,152.46,0.0,0.0,153.04,153.04,153.04,0.0,0.0
2018-08-26,153.54,153.54,153.54,0.0,0.0,154.42,154.42,154.42,0.0,0.0,153.3,153.3,153.3,0.0,0.0,154.26,154.26,154.26,0.0,0.0
2018-09-02,154.38,154.38,154.38,0.0,0.0,155.28,155.28,155.28,0.0,0.0,154.09,154.09,154.09,0.0,0.0,154.73,154.73,154.73,0.0,0.0
2018-09-09,156.78,156.78,156.78,0.0,0.0,157.77,157.77,157.77,0.0,0.0,156.78,156.78,156.78,0.0,0.0,157.64,157.64,157.64,0.0,0.0
2018-09-16,160.57,160.57,160.57,0.0,0.0,160.57,160.57,160.57,0.0,0.0,158.95,158.95,158.95,0.0,0.0,159.01,159.01,159.01,0.0,0.0
2018-09-23,155.1,155.1,155.1,0.0,0.0,156.6,156.6,156.6,0.0,0.0,155.1,155.1,155.1,0.0,0.0,156.13,156.13,156.13,0.0,0.0
2018-09-30,156.67,156.67,156.67,0.0,0.0,157.27,157.27,157.27,0.0,0.0,154.83,154.83,154.83,0.0,0.0,155.72,155.72,155.72,0.0,0.0
2018-10-07,146.64,146.64,146.64,0.0,0.0,146.73,146.73,146.73,0.0,0.0,143.76,143.76,143.76,0.0,0.0,145.48,145.48,145.48,0.0,0.0
2018-10-14,145.65,145.65,145.65,0.0,0.0,145.82,145.82,145.82,0.0,0.0,144.0,144.0,144.0,0.0,0.0,144.52,144.52,144.52,0.0,0.0
2018-10-21,136.96,136.96,136.96,0.0,0.0,138.97,138.97,138.97,0.0,0.0,135.45,135.45,135.45,0.0,0.0,137.28,137.28,137.28,0.0,0.0
2018-10-28,142.38,142.38,142.38,0.0,0.0,143.19,143.19,143.19,0.0,0.0,140.58,140.58,140.58,0.0,0.0,141.33,141.33,141.33,0.0,0.0
2018-11-04,144.78,144.78,144.78,0.0,0.0,144.78,144.78,144.78,0.0,0.0,143.07,143.07,143.07,0.0,0.0,144.07,144.07,144.07,0.0,0.0
2018-11-11,142.15,142.15,142.15,0.0,0.0,143.75,143.75,143.75,0.0,0.0,141.95,141.95,141.95,0.0,0.0,142.95,142.95,142.95,0.0,0.0
2018-11-18,137.27,137.27,137.27,0.0,0.0,138.83,138.83,138.83,0.0,0.0,136.98,136.98,136.98,0.0,0.0,137.91,137.91,137.91,0.0,0.0
2018-11-25,142.16,142.16,142.16,0.0,0.0,143.8,143.8,143.8,0.0,0.0,142.16,142.16,142.16,0.0,0.0,143.68,143.68,143.68,0.0,0.0
2018-12-02,138.31,138.31,138.31,0.0,0.0,139.4,139.4,139.4,0.0,0.0,134.86,134.86,134.86,0.0,0.0,135.21,135.21,135.21,0.0,0.0
2018-12-09,133.91,133.91,133.91,0.0,0.0,134.89,134.89,134.89,0.0,0.0,133.0,133.0,133.0,0.0,0.0,133.36,133.36,133.36,0.0,0.0
2018-12-16,126.76,126.76,126.76,0.0,0.0,127.8,127.8,127.8,0.0,0.0,123.37,123.37,123.37,0.0,0.0,123.56,123.56,123.56,0.0,0.0
2018-12-23,128.11,128.11,128.11,0.0,0.0,128.88,128.88,128.88,0.0,0.0,126.68,126.68,126.68,0.0,0.0,127.26,127.26,127.26,0.0,0.0
2018-12-30,127.15,127.15,127.15,0.0,0.0,130.0,130.0,130.0,0.0,0.0,127.15,127.15,127.15,0.0,0.0,129.87,129.87,129.87,0.0,0.0
2019-01-06,134.94,134.94,134.94,0.0,0.0,135.42,135.42,135.42,0.0,0.0,134.33,134.33,134.33,0.0,0.0,135.41,135.41,135.41,0.0,0.0
2019-01-13,138.58,138.58,138.58,0.0,0.0,140.29,140.29,140.29,0.0,0.0,138.49,138.49,138.49,0.0,0.0,139.92,139.92,139.92,0.0,0.0
2019-01-20,139.44,139.44,139.44,0.0,0.0,140.7,140.7,140.7,0.0,0.0,139.44,139.44,139.44,0.0,0.0,140.38,140.38,140.38,0.0,0.0
2019-01-27,142.97,142.97,142.97,0.0,0.0,143.95,143.95,143.95,0.0,0.0,142.75,142.75,142.75,0.0,0.0,143.15,143.15,143.15,0.0,0.0
2019-02-03,144.33,144.33,144.33,0.0,0.0,145.42,145.42,145.42,0.0,0.0,143.89,143.89,143.89,0.0,0.0,145.42,145.42,145.42,0.0,0.0
2019-02-10,149.15,149.15,149.15,0.0,0.0,150.62,150.62,150.62,0.0,0.0,149.15,149.15,149.15,0.0,0.0,150.62,150.62,150.62,0.0,0.0
2019-02-17,151.31,151.31,151.31,0.0,0.0,152.0,152.0,152.0,0.0,0.0,151.28,151.28,151.28,0.0,0.0,151.94,151.94,151.94,0.0,0.0
2019-02-24,153.36,153.36,153.36,0.0,0.0,153.57,153.57,153.57,0.0,0.0,151.95,151.95,151.95,0.0,0.0,152.84,152.84,152.84,0.0,0.0
2019-03-03,147.5,147.5,147.5,0.0,0.0,148.62,148.62,148.62,0.0,0.0,147.0,147.0,147.0,0.0,0.0,148.54,148.54,148.54,0.0,0.0
2019-03-10,150.39,150.39,150.39,0.0,0.0,150.95,150.95,150.95,0.0,0.0,149.76,149.76,149.76,0.0,0.0,150.16,150.16,150.16,0.0,0.0
2019-03-17,150.21,150.21,150.21,0.0,0.0,150.48,150.48,150.48,0.0,0.0,147.55,147.55,147.55,0.0,0.0,147.55,147.55,147.55,0.0,0.0
2019-03-24,151.39,151.39,151.39,0.0,0.0,151.86,151.86,151.86,0.0,0.0,151.12,151.12,151.12,0.0,0.0,151.78,151.78,151.78,0.0,0.0
2019-03-31,155.52,155.52,155.52,0.0,0.0,155.87,155.87,155.87,0.0,0.0,155.34,155.34,155.34,0.0,0.0,155.63,155.63,155.63,0.0,0.0
2019-04-07,155.83,155.83,155.83,0.0,0.0,156.52,156.52,156.52,0.0,0.0,155.61,155.61,155.61,0.0,0.0,156.52,156.52,156.52,0.0,0.0
2019-04-14,156.81,156.81,156.81,0.0,0.0,157.78,157.78,157.78,0.0,0.0,156.78,156.78,156.78,0.0,0.0,157.63,157.63,157.63,0.0,0.0
2019-04-21,156.07,156.07,156.07,0.0,0.0,157.14,157.14,157.14,0.0,0.0,155.58,155.58,155.58,0.0,0.0,157.14,157.14,157.14,0.0,0.0
2019-04-28,157.36,157.36,157.36,0.0,0.0,158.55,158.55,158.55,0.0,0.0,157.36,157.36,157.36,0.0,0.0,158.53,158.53,158.53,0.0,0.0
2019-05-05,153.15,153.15,153.15,0.0,0.0,154.82,154.82,154.82,0.0,0.0,151.45,151.45,151.45,0.0,0.0,154.47,154.47,154.47,0.0,0.0
2019-05-12,152.3,152.3,152.3,0.0,0.0,153.69,153.69,153.69,0.0,0.0,152.24,152.24,152.24,0.0,0.0,152.3,152.3,152.3,0.0,0.0
2019-05-19,150.76,150.76,150.76,0.0,0.0,151.35,151.35,151.35,0.0,0.0,149.9,149.9,149.9,0.0,0.0,150.44,150.44,150.44,0.0,0.0
2019-05-26,147.63,147.63,147.63,0.0,0.0,148.28,148.28,148.28,0.0,0.0,147.22,147.22,147.22,0.0,0.0,147.57,147.57,147.57,0.0,0.0
2019-06-02,153.9,153.9,153.9,0.0,0.0,155.51,155.51,155.51,0.0,0.0,153.89,153.89,153.89,0.0,0.0,154.91,154.91,154.91,0.0,0.0
2019-06-09,154.87,154.87,154.87,0.0,0.0,154.87,154.87,154.87,0.0,0.0,154.09,154.09,154.09,0.0,0.0,154.57,154.57,154.57,0.0,0.0
2019-06-16,158.48,158.48,158.48,0.0,0.0,158.6,158.6,158.6,0.0,0.0,157.6,157.6,157.6,0.0,0.0,157.67,157.67,157.67,0.0,0.0
2019-06-23,156.99,156.99,156.99,0.0,0.0,158.5,158.5,158.5,0.0,0.0,156.99,156.99,156.99,0.0,0.0,158.26,158.26,158.26,0.0,0.0
2019-06-30,159.31,159.31,159.31,0.0,0.0,159.35,159.35,159.35,0.0,0.0,157.41,157.41,157.41,0.0,0.0,159.35,159.35,159.35,0.0,0.0
2019-07-07,158.16,158.16,158.16,0.0,0.0,160.5,160.5,160.5,0.0,0.0,158.16,158.16,158.16,0.0,0.0,160.5,160.5,160.5,0.0,0.0
2019-07-14,159.03,159.03,159.03,0.0,0.0,159.86,159.86,159.86,0.0,0.0,158.78,158.78,158.78,0.0,0.0,158.84,158.84,158.84,0.0,0.0
2019-07-21,160.79,160.79,160.79,0.0,0.0,161.76,161.76,161.76,0.0,0.0,160.79,160.79,160.79,0.0,0.0,161.62,161.62,161.62,0.0,0.0
2019-07-28,156.55,156.55,156.55,0.0,0.0,156.55,156.55,156.55,0.0,0.0,154.7,154.7,154.7,0.0,0.0,155.69,155.69,155.69,0.0,0.0
2019-08-04,156.13,156.13,156.13,0.0,0.0,156.13,156.13,156.13,0.0,0.0,154.52,154.52,154.52,0.0,0.0,155.12,155.12,155.12,0.0,0.0
2019-08-11,152.55,152.55,152.55,0.0,0.0,153.79,153.79,153.79,0.0,0.0,152.16,152.16,152.16,0.0,0.0,153.58,153.58,153.58,0.0,0.0
2019-08-18,154.53,154.53,154.53,0.0,0.0,155.51,155.51,155.51,0.0,0.0,150.58,150.58,150.58,0.0,0.0,151.25,151.25,151.25,0.0,0.0
2019-08-25,156.79,156.79,156.79,0.0,0.0,157.15,157.15,157.15,0.0,0.0,155.77,155.77,155.77,0.0,0.0,156.27,156.27,156.27,0.0,0.0
2019-09-01,159.34,159.34,159.34,0.0,0.0,159.62,159.62,159.62,0.0,0.0,158.84,158.84,158.84,0.0,0.0,159.07,159.07,159.07,0.0,0.0
2019-09-08,161.61,161.61,161.61,0.0,0.0,162.14,162.14,162.14,0.0,0.0,161.47,161.47,161.47,0.0,0.0,161.59,161.59,161.59,0.0,0.0
2019-09-15,160.9,160.9,160.9,0.0,0.0,160.9,160.9,160.9,0.0,0.0,158.92,158.92,158.92,0.0,0.0,159.31,159.31,159.31,0.0,0.0
2019-09-22,159.69,159.69,159.69,0.0,0.0,159.69,159.69,159.69,0.0,0.0,157.35,157.35,157.35,0.0,0.0,158.05,158.05,158.05,0.0,0.0
2019-09-29,153.63,153.63,153.63,0.0,0.0,155.45,155.45,155.45,0.0,0.0,153.63,153.63,153.63,0.0,0.0,155.35,155.35,155.35,0.0,0.0
2019-10-06,156.21,156.21,156.21,0.0,0.0,158.44,158.44,158.44,0.0,0.0,156.21,156.21,156.21,0.0,0.0,157.08,157.08,157.08,0.0,0.0
2019-10-13,158.69,158.69,158.69,0.0,0.0,158.69,158.69,158.69,0.0,0.0,157.41,157.41,157.41,0.0,0.0,157.81,157.81,157.81,0.0,0.0
2019-10-20,159.44,159.44,159.44,0.0,0.0,160.94,160.94,160.94,0.0,0.0,159.44,159.44,159.44,0.0,0.0,160.54,160.54,160.54,0.0,0.0
2019-10-27,161.6,161.6,161.6,0.0,0.0,163.31,163.31,163.31,0.0,0.0,161.58,161.58,161.58,0.0,0.0,163.31,163.31,163.31,0.0,0.0
2019-11-03,164.96,164.96,164.96,0.0,0.0,165.48,165.48,165.48,0.0,0.0,164.85,164.85,164.85,0.0,0.0,165.44,165.44,165.44,0.0,0.0
2019-11-10,167.07,167.07,167.07,0.0,0.0,167.56,167.56,167.56,0.0,0.0,166.81,166.81,166.81,0.0,0.0,167.3,167.3,167.3,0.0,0.0
