Date,Deutsche X-trackers High Yield Corporate_Open_average,Deutsche X-trackers High Yield Corporate_Open_max,Deutsche X-trackers High Yield Corporate_Open_min,Deutsche X-trackers High Yield Corporate_Open_volatility,Deutsche X-trackers High Yield Corporate_Open_change,Deutsche X-trackers High Yield Corporate_High_average,Deutsche X-trackers High Yield Corporate_High_max,Deutsche X-trackers High Yield Corporate_High_min,Deutsche X-trackers High Yield Corporate_High_volatility,Deutsche X-trackers High Yield Corporate_High_change,Deutsche X-trackers High Yield Corporate_Low_average,Deutsche X-trackers High Yield Corporate_Low_max,Deutsche X-trackers High Yield Corporate_Low_min,Deutsche X-trackers High Yield Corporate_Low_volatility,Deutsche X-trackers High Yield Corporate_Low_change,Deutsche X-trackers High Yield Corporate_Close_average,Deutsche X-trackers High Yield Corporate_Close_max,Deutsche X-trackers High Yield Corporate_Close_min,Deutsche X-trackers High Yield Corporate_Close_volatility,Deutsche X-trackers High Yield Corporate_Close_change
2018-01-14,50.7,50.7,50.7,0.0,0.0,50.71,50.71,50.71,0.0,0.0,50.64,50.64,50.64,0.0,0.0,50.71,50.71,50.71,0.0,0.0
2018-01-21,50.72,50.72,50.72,0.0,0.0,50.72,50.72,50.72,0.0,0.0,50.63,50.63,50.63,0.0,0.0,50.64,50.64,50.64,0.0,0.0
2018-01-28,49.93,49.93,49.93,0.0,0.0,50.07,50.07,50.07,0.0,0.0,49.45,49.45,49.45,0.0,0.0,49.65,49.65,49.65,0.0,0.0
2018-02-04,49.33,49.33,49.33,0.0,0.0,49.52,49.52,49.52,0.0,0.0,49.26,49.26,49.26,0.0,0.0,49.46,49.46,49.46,0.0,0.0
2018-02-11,49.74,49.74,49.74,0.0,0.0,50.01,50.01,50.01,0.0,0.0,49.74,49.74,49.74,0.0,0.0,49.95,49.95,49.95,0.0,0.0
2018-02-18,49.96,49.96,49.96,0.0,0.0,50.08,50.08,50.08,0.0,0.0,49.96,49.96,49.96,0.0,0.0,50.05,50.05,50.05,0.0,0.0
2018-02-25,49.45,49.45,49.45,0.0,0.0,49.6,49.6,49.6,0.0,0.0,49.45,49.45,49.45,0.0,0.0,49.56,49.56,49.56,0.0,0.0
2018-03-04,49.76,49.76,49.76,0.0,0.0,49.81,49.81,49.81,0.0,0.0,49.68,49.68,49.68,0.0,0.0,49.75,49.75,49.75,0.0,0.0
2018-03-11,49.59,49.59,49.59,0.0,0.0,49.59,49.59,49.59,0.0,0.0,49.42,49.42,49.42,0.0,0.0,49.47,49.47,49.47,0.0,0.0
2018-03-18,49.38,49.38,49.38,0.0,0.0,49.43,49.43,49.43,0.0,0.0,49.24,49.24,49.24,0.0,0.0,49.37,49.37,49.37,0.0,0.0
