Date,ENTG_Open_average,ENTG_Open_max,ENTG_Open_min,ENTG_Open_volatility,ENTG_Open_change,ENTG_High_average,ENTG_High_max,ENTG_High_min,ENTG_High_volatility,ENTG_High_change,ENTG_Low_average,ENTG_Low_max,ENTG_Low_min,ENTG_Low_volatility,ENTG_Low_change,ENTG_Close_average,ENTG_Close_max,ENTG_Close_min,ENTG_Close_volatility,ENTG_Close_change,ENTG_Volume_average,ENTG_Volume_max,ENTG_Volume_min,ENTG_Volume_volatility,ENTG_Volume_change
2018-01-14,33.46,34.7,32.5,2.200000000000003,1.9000000000000057,33.97,34.8,32.95,1.8499999999999943,1.8499999999999943,33.12,34.2,32.05,2.1500000000000057,2.1500000000000057,33.766,34.58,32.3,2.280000000000001,2.280000000000001,912381,1195708,690715,504993,148227
2018-01-21,34.62,35.05,34.2,0.8499999999999943,-0.04999999999999716,35.06,35.35,34.65,0.7000000000000028,-0.45000000000000284,34.076,34.4,33.75,0.6499999999999986,-0.6499999999999986,34.44,35.0,34.0,1.0,-1.0,869548,1323722,614782,708940,128241
2018-01-28,32.83,33.8,31.9,1.8999999999999986,-1.3999999999999986,33.346,33.98,32.58,1.3999999999999986,-1.1900000000000048,32.17,33.06,30.9,2.1600000000000037,-2.1600000000000037,32.43,33.35,30.9,2.450000000000003,-2.450000000000003,1239170,1518766,996338,522428,522428
2018-02-04,31.17,32.6,30.15,2.450000000000003,0.9500000000000028,32.15,33.2,31.15,2.0500000000000043,-1.7500000000000036,30.06,31.4,29.2,2.1999999999999993,1.25,31.16,32.65,29.65,3.0,-1.5499999999999972,1572507,2094298,897741,1196557,-1196557
2018-02-11,31.8625,33.0,30.75,2.25,2.099999999999998,32.5675,33.35,31.27,2.080000000000002,2.080000000000002,31.455,32.6,30.65,1.9500000000000028,1.9500000000000028,32.4,33.1,31.15,1.9500000000000028,1.8999999999999986,751782,909782,602907,306875,-89552
2018-02-18,33.32,33.85,32.85,1.0,1.0,33.914,34.45,33.45,1.0,0.45000000000000284,32.97,33.7,32.6,1.1000000000000014,1.1000000000000014,33.51,34.35,32.8,1.5500000000000043,0.7000000000000028,757251,1128879,494977,633902,-401560
2018-02-25,33.48,34.25,32.6,1.6499999999999986,-0.7000000000000028,34.034,34.45,33.67,0.7800000000000011,-0.20000000000000284,32.98,33.65,32.3,1.3500000000000014,-0.3999999999999986,33.52,34.0,33.05,0.9500000000000028,0.29999999999999716,704817,773315,601399,171916,-171916
2018-03-04,35.54,36.7,34.1,2.6000000000000014,2.6000000000000014,36.112,36.88,35.2,1.6799999999999997,1.6799999999999997,35.272,36.25,33.95,2.299999999999997,2.299999999999997,35.91,36.55,35.15,1.3999999999999986,1.25,829122,953503,676099,277404,35998
2018-03-11,36.25,36.55,36.05,0.5,-0.5,36.6,36.85,36.38,0.46999999999999886,-0.23000000000000398,35.872,36.05,35.7,0.3499999999999943,-0.10999999999999943,36.17,36.5,35.95,0.5499999999999972,0.5499999999999972,1194030,1779242,790568,988674,988674
2018-03-18,36.7,37.25,36.4,0.8500000000000014,0.0,37.574,38.25,37.05,1.2000000000000028,0.5300000000000011,35.532000000000004,36.7,32.76,3.940000000000005,-3.440000000000005,36.85,37.85,35.85,2.0,1.3500000000000014,1487222,1936799,1059182,877617,-393525
2018-03-25,35.4375,37.75,34.25,3.5,-3.299999999999997,35.875,37.75,34.85,2.8999999999999986,-2.8999999999999986,33.9,35.2,32.9,2.3000000000000043,-2.3000000000000043,34.425,35.35,33.45,1.8999999999999986,-1.8999999999999986,1357547,1456965,1090217,366748,-366748
2018-04-01,34.13,35.15,33.35,1.7999999999999972,0.4000000000000057,35.036,35.5,34.35,1.1499999999999986,1.1499999999999986,33.77,34.55,33.1,1.4499999999999957,0.45000000000000284,34.42,34.85,33.7,1.1499999999999986,0.3500000000000014,908009,1248904,741174,507730,316052
2018-04-08,36.24,37.2,35.4,1.8000000000000043,1.8000000000000043,36.83,37.25,36.35,0.8999999999999986,0.8999999999999986,35.91,36.8,34.95,1.8499999999999943,1.8499999999999943,36.5,36.9,35.95,0.9499999999999957,0.9499999999999957,805301,1270563,571522,699041,-387173
2018-04-15,35.95,37.5,34.0,3.5,-3.1499999999999986,36.226,37.83,34.1,3.729999999999997,-3.729999999999997,35.0,37.05,33.28,3.769999999999996,-3.769999999999996,35.36,37.7,33.55,4.150000000000006,-4.150000000000006,1348850,1843870,767298,1076572,-253819
2018-04-22,33.41,33.8,32.9,0.8999999999999986,-0.8000000000000043,33.72,34.1,33.05,1.0500000000000043,-1.0500000000000043,32.43,32.7,32.15,0.5500000000000043,-0.5500000000000043,32.95,33.4,32.2,1.1999999999999957,-1.0499999999999972,1269715,1689083,938909,750174,-12196
2018-04-29,32.78,33.7,32.2,1.5,1.5,33.406,34.1,32.95,1.1499999999999986,1.1499999999999986,32.534,33.42,31.85,1.5700000000000003,1.5700000000000003,33.164,34.02,32.7,1.3200000000000003,1.220000000000006,677823,812384,575277,237107,174492
2018-05-06,35.24,35.9,33.9,2.0,1.8999999999999986,35.938,36.5,35.1,1.3999999999999986,1.3999999999999986,35.0,35.7,33.55,2.1500000000000057,2.1500000000000057,35.63,36.05,35.0,1.0499999999999972,1.0499999999999972,660566,1053087,349082,704005,-403802
