Date,Global X China Materials_etf_Open_average,Global X China Materials_etf_Open_max,Global X China Materials_etf_Open_min,Global X China Materials_etf_Open_volatility,Global X China Materials_etf_Open_change,Global X China Materials_etf_High_average,Global X China Materials_etf_High_max,Global X China Materials_etf_High_min,Global X China Materials_etf_High_volatility,Global X China Materials_etf_High_change,Global X China Materials_etf_Low_average,Global X China Materials_etf_Low_max,Global X China Materials_etf_Low_min,Global X China Materials_etf_Low_volatility,Global X China Materials_etf_Low_change,Global X China Materials_etf_Close_average,Global X China Materials_etf_Close_max,Global X China Materials_etf_Close_min,Global X China Materials_etf_Close_volatility,Global X China Materials_etf_Close_change
2018-01-14,22.84,22.84,22.84,0.0,0.0,23.34,23.34,23.34,0.0,0.0,22.84,22.84,22.84,0.0,0.0,23.34,23.34,23.34,0.0,0.0
2018-01-21,24.07,24.07,24.07,0.0,0.0,24.11,24.11,24.11,0.0,0.0,24.01,24.01,24.01,0.0,0.0,24.08,24.08,24.08,0.0,0.0
2018-01-28,23.51,23.51,23.51,0.0,0.0,23.84,23.84,23.84,0.0,0.0,23.51,23.51,23.51,0.0,0.0,23.64,23.64,23.64,0.0,0.0
2018-02-04,20.26,20.26,20.26,0.0,0.0,20.26,20.26,20.26,0.0,0.0,20.06,20.06,20.06,0.0,0.0,20.07,20.07,20.07,0.0,0.0
2018-02-11,22.84,22.84,22.84,0.0,0.0,23.11,23.11,23.11,0.0,0.0,22.51,22.51,22.51,0.0,0.0,22.97,22.97,22.97,0.0,0.0
2018-02-18,23.48,23.48,23.48,0.0,0.0,23.48,23.48,23.48,0.0,0.0,22.93,22.93,22.93,0.0,0.0,23.0,23.0,23.0,0.0,0.0
2018-02-25,21.82,21.82,21.82,0.0,0.0,22.21,22.21,22.21,0.0,0.0,21.79,21.79,21.79,0.0,0.0,22.2,22.2,22.2,0.0,0.0
2018-03-04,22.0,22.0,22.0,0.0,0.0,22.54,22.54,22.54,0.0,0.0,22.0,22.0,22.0,0.0,0.0,22.54,22.54,22.54,0.0,0.0
2018-03-11,22.75,22.75,22.75,0.0,0.0,22.75,22.75,22.75,0.0,0.0,22.54,22.54,22.54,0.0,0.0,22.54,22.54,22.54,0.0,0.0
2018-03-18,20.73,20.73,20.73,0.0,0.0,20.78,20.78,20.78,0.0,0.0,20.53,20.53,20.53,0.0,0.0,20.53,20.53,20.53,0.0,0.0
2018-03-25,21.0,21.0,21.0,0.0,0.0,21.0,21.0,21.0,0.0,0.0,21.0,21.0,21.0,0.0,0.0,21.0,21.0,21.0,0.0,0.0
2018-04-01,21.06,21.06,21.06,0.0,0.0,21.06,21.06,21.06,0.0,0.0,20.52,20.52,20.52,0.0,0.0,20.52,20.52,20.52,0.0,0.0
2018-04-08,21.04,21.04,21.04,0.0,0.0,21.04,21.04,21.04,0.0,0.0,21.04,21.04,21.04,0.0,0.0,21.04,21.04,21.04,0.0,0.0
2018-04-15,20.44,20.44,20.44,0.0,0.0,20.44,20.44,20.44,0.0,0.0,20.44,20.44,20.44,0.0,0.0,20.44,20.44,20.44,0.0,0.0
2018-04-22,20.62,20.62,20.62,0.0,0.0,20.67,20.67,20.67,0.0,0.0,20.62,20.62,20.62,0.0,0.0,20.67,20.67,20.67,0.0,0.0
