Date,iShares Global Financials_etf_Open_average,iShares Global Financials_etf_Open_max,iShares Global Financials_etf_Open_min,iShares Global Financials_etf_Open_volatility,iShares Global Financials_etf_Open_change,iShares Global Financials_etf_High_average,iShares Global Financials_etf_High_max,iShares Global Financials_etf_High_min,iShares Global Financials_etf_High_volatility,iShares Global Financials_etf_High_change,iShares Global Financials_etf_Low_average,iShares Global Financials_etf_Low_max,iShares Global Financials_etf_Low_min,iShares Global Financials_etf_Low_volatility,iShares Global Financials_etf_Low_change,iShares Global Financials_etf_Close_average,iShares Global Financials_etf_Close_max,iShares Global Financials_etf_Close_min,iShares Global Financials_etf_Close_volatility,iShares Global Financials_etf_Close_change
2018-01-14,74.27,74.27,74.27,0.0,0.0,74.51,74.51,74.51,0.0,0.0,74.08,74.08,74.08,0.0,0.0,74.49,74.49,74.49,0.0,0.0
2018-01-21,75.58,75.58,75.58,0.0,0.0,76.01,76.01,76.01,0.0,0.0,75.47,75.47,75.47,0.0,0.0,75.99,75.99,75.99,0.0,0.0
2018-01-28,74.89,74.89,74.89,0.0,0.0,74.93,74.93,74.93,0.0,0.0,73.63,73.63,73.63,0.0,0.0,73.75,73.75,73.75,0.0,0.0
2018-02-04,69.41,69.41,69.41,0.0,0.0,69.89,69.89,69.89,0.0,0.0,67.78,67.78,67.78,0.0,0.0,69.57,69.57,69.57,0.0,0.0
2018-02-11,72.33,72.33,72.33,0.0,0.0,73.12,73.12,73.12,0.0,0.0,72.33,72.33,72.33,0.0,0.0,72.63,72.63,72.63,0.0,0.0
2018-02-18,72.23,72.23,72.23,0.0,0.0,72.8,72.8,72.8,0.0,0.0,72.17,72.17,72.17,0.0,0.0,72.73,72.73,72.73,0.0,0.0
2018-02-25,70.26,70.26,70.26,0.0,0.0,70.92,70.92,70.92,0.0,0.0,69.72,69.72,69.72,0.0,0.0,70.85,70.85,70.85,0.0,0.0
2018-03-04,71.88,71.88,71.88,0.0,0.0,72.62,72.62,72.62,0.0,0.0,71.78,71.78,71.78,0.0,0.0,72.61,72.61,72.61,0.0,0.0
2018-03-11,71.52,71.52,71.52,0.0,0.0,71.93,71.93,71.93,0.0,0.0,71.49,71.49,71.49,0.0,0.0,71.57,71.57,71.57,0.0,0.0
2018-03-18,69.22,69.22,69.22,0.0,0.0,69.38,69.38,69.38,0.0,0.0,67.65,67.65,67.65,0.0,0.0,67.65,67.65,67.65,0.0,0.0
2018-03-25,68.73,68.73,68.73,0.0,0.0,69.46,69.46,69.46,0.0,0.0,68.5,68.5,68.5,0.0,0.0,69.19,69.19,69.19,0.0,0.0
2018-04-01,68.9,68.9,68.9,0.0,0.0,69.18,69.18,69.18,0.0,0.0,67.8,67.8,67.8,0.0,0.0,68.21,68.21,68.21,0.0,0.0
2018-04-08,70.46,70.46,70.46,0.0,0.0,70.46,70.46,70.46,0.0,0.0,69.04,69.04,69.04,0.0,0.0,69.29,69.29,69.29,0.0,0.0
2018-04-15,70.0,70.0,70.0,0.0,0.0,70.07,70.07,70.07,0.0,0.0,69.77,69.77,69.77,0.0,0.0,69.88,69.88,69.88,0.0,0.0
2018-04-22,69.48,69.48,69.48,0.0,0.0,69.8,69.8,69.8,0.0,0.0,69.42,69.42,69.42,0.0,0.0,69.74,69.74,69.74,0.0,0.0
2018-04-29,67.76,67.76,67.76,0.0,0.0,69.0,69.0,69.0,0.0,0.0,67.76,67.76,67.76,0.0,0.0,68.77,68.77,68.77,0.0,0.0
2018-05-06,70.48,70.48,70.48,0.0,0.0,70.6,70.6,70.6,0.0,0.0,70.29,70.29,70.29,0.0,0.0,70.4,70.4,70.4,0.0,0.0
2018-05-13,69.65,69.65,69.65,0.0,0.0,69.65,69.65,69.65,0.0,0.0,69.26,69.26,69.26,0.0,0.0,69.34,69.34,69.34,0.0,0.0
2018-05-20,68.48,68.48,68.48,0.0,0.0,68.64,68.64,68.64,0.0,0.0,68.23,68.23,68.23,0.0,0.0,68.45,68.45,68.45,0.0,0.0
2018-05-27,67.44,67.44,67.44,0.0,0.0,67.64,67.64,67.64,0.0,0.0,67.35,67.35,67.35,0.0,0.0,67.4,67.4,67.4,0.0,0.0
2018-06-03,68.03,68.03,68.03,0.0,0.0,68.33,68.33,68.33,0.0,0.0,67.83,67.83,67.83,0.0,0.0,68.29,68.29,68.29,0.0,0.0
2018-06-10,66.82,66.82,66.82,0.0,0.0,67.12,67.12,67.12,0.0,0.0,66.45,66.45,66.45,0.0,0.0,66.96,66.96,66.96,0.0,0.0
2018-06-17,65.61,65.61,65.61,0.0,0.0,65.65,65.65,65.65,0.0,0.0,65.18,65.18,65.18,0.0,0.0,65.18,65.18,65.18,0.0,0.0
