Date,GORO_Open_average,GORO_Open_max,GORO_Open_min,GORO_Open_volatility,GORO_Open_change,GORO_High_average,GORO_High_max,GORO_High_min,GORO_High_volatility,GORO_High_change,GORO_Low_average,GORO_Low_max,GORO_Low_min,GORO_Low_volatility,GORO_Low_change,GORO_Close_average,GORO_Close_max,GORO_Close_min,GORO_Close_volatility,GORO_Close_change,GORO_Volume_average,GORO_Volume_max,GORO_Volume_min,GORO_Volume_volatility,GORO_Volume_change
2018-01-14,4.8625,4.99,4.72,0.27000000000000046,0.0600000000000005,4.975,5.05,4.89,0.16000000000000014,-0.16000000000000014,4.76,4.84,4.72,0.1200000000000001,0.010000000000000675,4.8825,5.0,4.77,0.23000000000000043,-0.16999999999999993,87026,152101,50232,101869,-101869
2018-01-21,4.882,5.05,4.75,0.2999999999999998,-0.09999999999999964,4.94,5.05,4.79,0.2599999999999998,-0.20000000000000018,4.758,4.85,4.64,0.20999999999999996,-0.20999999999999996,4.836,4.97,4.71,0.2599999999999998,-0.20999999999999996,81144,121087,26564,94523,33694
2018-01-28,4.59,4.68,4.44,0.23999999999999932,-0.23999999999999932,4.638,4.74,4.49,0.25,-0.21999999999999975,4.444,4.55,4.25,0.2999999999999998,-0.28000000000000025,4.52,4.66,4.29,0.3700000000000001,-0.3700000000000001,93013,129311,61037,68274,40726
2018-02-04,4.327999999999999,4.38,4.26,0.1200000000000001,0.04999999999999982,4.398,4.45,4.32,0.1299999999999999,-0.10999999999999943,4.218,4.31,4.03,0.27999999999999936,-0.17999999999999972,4.302,4.37,4.17,0.20000000000000018,-0.20000000000000018,75955,106624,47876,58748,-21386
2018-02-11,4.402,4.67,4.14,0.5300000000000002,0.4500000000000002,4.554,4.68,4.37,0.3099999999999996,0.2999999999999998,4.342,4.52,4.11,0.40999999999999925,0.40999999999999925,4.5,4.63,4.3,0.33000000000000007,0.2999999999999998,90672,200892,36260,164632,127832
2018-02-18,4.485,4.53,4.44,0.08999999999999986,-0.08999999999999986,4.55,4.65,4.47,0.1800000000000006,-0.1800000000000006,4.41,4.45,4.36,0.08999999999999986,-0.08999999999999986,4.45,4.47,4.42,0.04999999999999982,0.009999999999999787,36897,46258,25756,20502,-12728
2018-02-25,4.298,4.53,4.04,0.4900000000000002,-0.2999999999999998,4.374,4.59,4.23,0.35999999999999943,-0.3099999999999996,4.17,4.34,4.03,0.3099999999999996,-0.16000000000000014,4.2540000000000004,4.5,4.07,0.4299999999999997,-0.2699999999999996,63897,78919,47133,31786,-22621
2018-03-04,4.188,4.23,4.12,0.11000000000000032,0.020000000000000462,4.2780000000000005,4.4,4.19,0.20999999999999996,0.14000000000000057,4.118,4.21,3.99,0.21999999999999975,0.11000000000000032,4.208,4.36,4.11,0.25,0.20999999999999996,50575,72142,42091,30051,24007
2018-03-11,4.4799999999999995,4.61,4.32,0.29000000000000004,0.10999999999999943,4.606,4.68,4.54,0.13999999999999968,0.05000000000000071,4.43,4.52,4.28,0.23999999999999932,0.13999999999999968,4.546,4.6,4.45,0.14999999999999947,0.040000000000000036,82803,204044,40065,163979,135388
2018-03-18,4.676,4.8,4.56,0.2400000000000002,0.2400000000000002,4.774,4.86,4.73,0.1299999999999999,0.11000000000000032,4.622,4.69,4.56,0.13000000000000078,0.13000000000000078,4.680000000000001,4.73,4.58,0.15000000000000036,0.009999999999999787,55149,69386,46709,22677,22677
2018-03-25,4.6274999999999995,4.76,4.46,0.2999999999999998,-0.2999999999999998,4.6775,4.78,4.56,0.22000000000000064,-0.22000000000000064,4.5424999999999995,4.68,4.43,0.25,-0.21999999999999975,4.5825,4.74,4.48,0.2599999999999998,-0.23000000000000043,54742,70084,35263,34821,14746
2018-04-01,4.486,4.55,4.41,0.13999999999999968,-0.10999999999999943,4.528,4.63,4.48,0.14999999999999947,-0.14999999999999947,4.416,4.51,4.37,0.13999999999999968,-0.13999999999999968,4.454000000000001,4.53,4.4,0.1299999999999999,-0.1299999999999999,45121,66755,30199,36556,-14940
2018-04-08,4.618,4.74,4.43,0.3100000000000005,0.2400000000000002,4.722,4.82,4.54,0.28000000000000025,0.28000000000000025,4.552,4.67,4.34,0.33000000000000007,0.2999999999999998,4.668,4.77,4.49,0.27999999999999936,0.27999999999999936,54404,83834,36283,47551,4822
2018-04-15,4.894,5.15,4.7,0.4500000000000002,0.34000000000000075,5.034,5.33,4.81,0.5200000000000005,0.4300000000000006,4.8180000000000005,5.05,4.69,0.35999999999999943,0.35999999999999943,4.948,5.19,4.7,0.4900000000000002,0.3700000000000001,71265,100904,36894,64010,64010
2018-04-22,5.146,5.27,5.08,0.1899999999999995,-0.019999999999999574,5.208,5.3,5.11,0.1899999999999995,-0.040000000000000036,5.061999999999999,5.1,5.02,0.08000000000000007,0.03000000000000025,5.1339999999999995,5.3,5.09,0.20999999999999996,0.0,55873,78322,20699,57623,-35668
2018-04-29,5.192,5.35,5.05,0.2999999999999998,0.2599999999999998,5.374,5.49,5.24,0.25,0.17999999999999972,5.158,5.29,5.02,0.27000000000000046,0.2600000000000007,5.274,5.4,5.07,0.33000000000000007,0.33000000000000007,59384,89855,42606,47249,-47249
2018-05-06,5.382000000000001,5.48,5.32,0.16000000000000014,0.08000000000000007,5.46,5.55,5.4,0.14999999999999947,0.14999999999999947,5.312,5.42,5.22,0.20000000000000018,0.20000000000000018,5.39,5.47,5.31,0.16000000000000014,0.15000000000000036,44243,60571,36348,24223,-9403
2018-05-13,5.54,5.86,5.32,0.54,0.3700000000000001,5.694,5.95,5.46,0.4900000000000002,0.4300000000000006,5.454,5.81,5.1,0.71,0.4499999999999993,5.63,5.88,5.35,0.5300000000000002,0.47999999999999954,148867,438861,50874,387987,378190
