Date,Direxion Daily SP Biotech Bull 3XEtf_Open_average,Direxion Daily SP Biotech Bull 3XEtf_Open_max,Direxion Daily SP Biotech Bull 3XEtf_Open_min,Direxion Daily SP Biotech Bull 3XEtf_Open_volatility,Direxion Daily SP Biotech Bull 3XEtf_Open_change,Direxion Daily SP Biotech Bull 3XEtf_High_average,Direxion Daily SP Biotech Bull 3XEtf_High_max,Direxion Daily SP Biotech Bull 3XEtf_High_min,Direxion Daily SP Biotech Bull 3XEtf_High_volatility,Direxion Daily SP Biotech Bull 3XEtf_High_change,Direxion Daily SP Biotech Bull 3XEtf_Low_average,Direxion Daily SP Biotech Bull 3XEtf_Low_max,Direxion Daily SP Biotech Bull 3XEtf_Low_min,Direxion Daily SP Biotech Bull 3XEtf_Low_volatility,Direxion Daily SP Biotech Bull 3XEtf_Low_change,Direxion Daily SP Biotech Bull 3XEtf_Close_average,Direxion Daily SP Biotech Bull 3XEtf_Close_max,Direxion Daily SP Biotech Bull 3XEtf_Close_min,Direxion Daily SP Biotech Bull 3XEtf_Close_volatility,Direxion Daily SP Biotech Bull 3XEtf_Close_change
2018-01-14,85.68,85.68,85.68,0.0,0.0,88.35,88.35,88.35,0.0,0.0,84.8,84.8,84.8,0.0,0.0,88.23,88.23,88.23,0.0,0.0
2018-01-21,108.51,108.51,108.51,0.0,0.0,112.58,112.58,112.58,0.0,0.0,107.89,107.89,107.89,0.0,0.0,110.61,110.61,110.61,0.0,0.0
2018-01-28,98.5,98.5,98.5,0.0,0.0,100.78,100.78,100.78,0.0,0.0,95.06,95.06,95.06,0.0,0.0,95.54,95.54,95.54,0.0,0.0
2018-02-04,82.34,82.34,82.34,0.0,0.0,82.91,82.91,82.91,0.0,0.0,67.29,67.29,67.29,0.0,0.0,79.87,79.87,79.87,0.0,0.0
2018-02-11,94.67,94.67,94.67,0.0,0.0,98.95,98.95,98.95,0.0,0.0,93.88,93.88,93.88,0.0,0.0,95.34,95.34,95.34,0.0,0.0
2018-02-18,93.73,93.73,93.73,0.0,0.0,95.55,95.55,95.55,0.0,0.0,88.18,88.18,88.18,0.0,0.0,95.52,95.52,95.52,0.0,0.0
2018-02-25,82.95,82.95,82.95,0.0,0.0,93.62,93.62,93.62,0.0,0.0,82.3,82.3,82.3,0.0,0.0,93.1,93.1,93.1,0.0,0.0
2018-03-04,104.59,104.59,104.59,0.0,0.0,108.5,108.5,108.5,0.0,0.0,102.79,102.79,102.79,0.0,0.0,107.29,107.29,107.29,0.0,0.0
2018-03-11,99.17,99.17,99.17,0.0,0.0,100.5,100.5,100.5,0.0,0.0,97.6,97.6,97.6,0.0,0.0,98.02,98.02,98.02,0.0,0.0
2018-03-18,88.49,88.49,88.49,0.0,0.0,90.17,90.17,90.17,0.0,0.0,82.3,82.3,82.3,0.0,0.0,82.5,82.5,82.5,0.0,0.0
