Date,VanEck Vectors Emerging Markets Aggregate Bond_etf_Open_average,VanEck Vectors Emerging Markets Aggregate Bond_etf_Open_max,VanEck Vectors Emerging Markets Aggregate Bond_etf_Open_min,VanEck Vectors Emerging Markets Aggregate Bond_etf_Open_volatility,VanEck Vectors Emerging Markets Aggregate Bond_etf_Open_change,VanEck Vectors Emerging Markets Aggregate Bond_etf_High_average,VanEck Vectors Emerging Markets Aggregate Bond_etf_High_max,VanEck Vectors Emerging Markets Aggregate Bond_etf_High_min,VanEck Vectors Emerging Markets Aggregate Bond_etf_High_volatility,VanEck Vectors Emerging Markets Aggregate Bond_etf_High_change,VanEck Vectors Emerging Markets Aggregate Bond_etf_Low_average,VanEck Vectors Emerging Markets Aggregate Bond_etf_Low_max,VanEck Vectors Emerging Markets Aggregate Bond_etf_Low_min,VanEck Vectors Emerging Markets Aggregate Bond_etf_Low_volatility,VanEck Vectors Emerging Markets Aggregate Bond_etf_Low_change,VanEck Vectors Emerging Markets Aggregate Bond_etf_Close_average,VanEck Vectors Emerging Markets Aggregate Bond_etf_Close_max,VanEck Vectors Emerging Markets Aggregate Bond_etf_Close_min,VanEck Vectors Emerging Markets Aggregate Bond_etf_Close_volatility,VanEck Vectors Emerging Markets Aggregate Bond_etf_Close_change
2018-01-14,21.94,21.94,21.94,0.0,0.0,21.94,21.94,21.94,0.0,0.0,21.87,21.87,21.87,0.0,0.0,21.87,21.87,21.87,0.0,0.0
2018-01-21,22.0,22.0,22.0,0.0,0.0,22.04,22.04,22.04,0.0,0.0,21.95,21.95,21.95,0.0,0.0,21.97,21.97,21.97,0.0,0.0
2018-01-28,21.83,21.83,21.83,0.0,0.0,22.14,22.14,22.14,0.0,0.0,21.83,21.83,21.83,0.0,0.0,22.14,22.14,22.14,0.0,0.0
2018-02-04,21.76,21.76,21.76,0.0,0.0,21.84,21.84,21.84,0.0,0.0,21.73,21.73,21.73,0.0,0.0,21.73,21.73,21.73,0.0,0.0
2018-02-11,21.8,21.8,21.8,0.0,0.0,21.8,21.8,21.8,0.0,0.0,21.8,21.8,21.8,0.0,0.0,21.8,21.8,21.8,0.0,0.0
2018-02-18,21.61,21.61,21.61,0.0,0.0,21.61,21.61,21.61,0.0,0.0,21.61,21.61,21.61,0.0,0.0,21.61,21.61,21.61,0.0,0.0
2018-02-25,21.72,21.72,21.72,0.0,0.0,21.72,21.72,21.72,0.0,0.0,21.67,21.67,21.67,0.0,0.0,21.67,21.67,21.67,0.0,0.0
2018-03-04,21.57,21.57,21.57,0.0,0.0,21.57,21.57,21.57,0.0,0.0,21.57,21.57,21.57,0.0,0.0,21.57,21.57,21.57,0.0,0.0
2018-03-11,21.91,21.91,21.91,0.0,0.0,21.91,21.91,21.91,0.0,0.0,21.91,21.91,21.91,0.0,0.0,21.91,21.91,21.91,0.0,0.0
2018-03-18,21.89,21.89,21.89,0.0,0.0,21.89,21.89,21.89,0.0,0.0,21.88,21.88,21.88,0.0,0.0,21.89,21.89,21.89,0.0,0.0
