Date,Rogers International Commodity Metals Total ReturnEtf_Open_average,Rogers International Commodity Metals Total ReturnEtf_Open_max,Rogers International Commodity Metals Total ReturnEtf_Open_min,Rogers International Commodity Metals Total ReturnEtf_Open_volatility,Rogers International Commodity Metals Total ReturnEtf_Open_change,Rogers International Commodity Metals Total ReturnEtf_High_average,Rogers International Commodity Metals Total ReturnEtf_High_max,Rogers International Commodity Metals Total ReturnEtf_High_min,Rogers International Commodity Metals Total ReturnEtf_High_volatility,Rogers International Commodity Metals Total ReturnEtf_High_change,Rogers International Commodity Metals Total ReturnEtf_Low_average,Rogers International Commodity Metals Total ReturnEtf_Low_max,Rogers International Commodity Metals Total ReturnEtf_Low_min,Rogers International Commodity Metals Total ReturnEtf_Low_volatility,Rogers International Commodity Metals Total ReturnEtf_Low_change,Rogers International Commodity Metals Total ReturnEtf_Close_average,Rogers International Commodity Metals Total ReturnEtf_Close_max,Rogers International Commodity Metals Total ReturnEtf_Close_min,Rogers International Commodity Metals Total ReturnEtf_Close_volatility,Rogers International Commodity Metals Total ReturnEtf_Close_change
2018-01-14,9.07,9.07,9.07,0.0,0.0,9.07,9.07,9.07,0.0,0.0,8.89,8.89,8.89,0.0,0.0,8.89,8.89,8.89,0.0,0.0
2018-01-21,9.03,9.03,9.03,0.0,0.0,9.15,9.15,9.15,0.0,0.0,9.03,9.03,9.03,0.0,0.0,9.14,9.14,9.14,0.0,0.0
2018-01-28,9.05,9.05,9.05,0.0,0.0,9.05,9.05,9.05,0.0,0.0,8.93,8.93,8.93,0.0,0.0,8.99,8.99,8.99,0.0,0.0
2018-02-04,8.62,8.62,8.62,0.0,0.0,8.66,8.66,8.66,0.0,0.0,8.62,8.62,8.62,0.0,0.0,8.62,8.62,8.62,0.0,0.0
2018-02-11,9.01,9.01,9.01,0.0,0.0,9.01,9.01,9.01,0.0,0.0,9.01,9.01,9.01,0.0,0.0,9.01,9.01,9.01,0.0,0.0
2018-02-18,8.94,8.94,8.94,0.0,0.0,8.94,8.94,8.94,0.0,0.0,8.93,8.93,8.93,0.0,0.0,8.93,8.93,8.93,0.0,0.0
2018-02-25,8.75,8.75,8.75,0.0,0.0,8.75,8.75,8.75,0.0,0.0,8.75,8.75,8.75,0.0,0.0,8.75,8.75,8.75,0.0,0.0
2018-03-04,8.68,8.68,8.68,0.0,0.0,8.68,8.68,8.68,0.0,0.0,8.68,8.68,8.68,0.0,0.0,8.68,8.68,8.68,0.0,0.0
2018-03-11,8.57,8.57,8.57,0.0,0.0,8.57,8.57,8.57,0.0,0.0,8.57,8.57,8.57,0.0,0.0,8.57,8.57,8.57,0.0,0.0
2018-03-18,8.61,8.61,8.61,0.0,0.0,8.61,8.61,8.61,0.0,0.0,8.61,8.61,8.61,0.0,0.0,8.61,8.61,8.61,0.0,0.0
