Date,Direxion Daily Mid Cap Bull 3X Shares_Open_average,Direxion Daily Mid Cap Bull 3X Shares_Open_max,Direxion Daily Mid Cap Bull 3X Shares_Open_min,Direxion Daily Mid Cap Bull 3X Shares_Open_volatility,Direxion Daily Mid Cap Bull 3X Shares_Open_change,Direxion Daily Mid Cap Bull 3X Shares_High_average,Direxion Daily Mid Cap Bull 3X Shares_High_max,Direxion Daily Mid Cap Bull 3X Shares_High_min,Direxion Daily Mid Cap Bull 3X Shares_High_volatility,Direxion Daily Mid Cap Bull 3X Shares_High_change,Direxion Daily Mid Cap Bull 3X Shares_Low_average,Direxion Daily Mid Cap Bull 3X Shares_Low_max,Direxion Daily Mid Cap Bull 3X Shares_Low_min,Direxion Daily Mid Cap Bull 3X Shares_Low_volatility,Direxion Daily Mid Cap Bull 3X Shares_Low_change,Direxion Daily Mid Cap Bull 3X Shares_Close_average,Direxion Daily Mid Cap Bull 3X Shares_Close_max,Direxion Daily Mid Cap Bull 3X Shares_Close_min,Direxion Daily Mid Cap Bull 3X Shares_Close_volatility,Direxion Daily Mid Cap Bull 3X Shares_Close_change
2018-01-14,52.25,52.25,52.25,0.0,0.0,52.92,52.92,52.92,0.0,0.0,52.01,52.01,52.01,0.0,0.0,52.91,52.91,52.91,0.0,0.0
2018-01-21,52.9,52.9,52.9,0.0,0.0,53.23,53.23,53.23,0.0,0.0,52.03,52.03,52.03,0.0,0.0,52.09,52.09,52.09,0.0,0.0
2018-01-28,46.08,46.08,46.08,0.0,0.0,47.11,47.11,47.11,0.0,0.0,41.94,41.94,41.94,0.0,0.0,41.94,41.94,41.94,0.0,0.0
2018-02-04,40.49,40.49,40.49,0.0,0.0,41.96,41.96,41.96,0.0,0.0,39.78,39.78,39.78,0.0,0.0,41.34,41.34,41.34,0.0,0.0
2018-02-11,45.04,45.04,45.04,0.0,0.0,46.24,46.24,46.24,0.0,0.0,45.04,45.04,45.04,0.0,0.0,45.63,45.63,45.63,0.0,0.0
2018-02-18,46.3,46.3,46.3,0.0,0.0,46.64,46.64,46.64,0.0,0.0,45.32,45.32,45.32,0.0,0.0,46.63,46.63,46.63,0.0,0.0
2018-02-25,43.34,43.34,43.34,0.0,0.0,45.59,45.59,45.59,0.0,0.0,43.25,43.25,43.25,0.0,0.0,45.27,45.27,45.27,0.0,0.0
2018-03-04,49.25,49.25,49.25,0.0,0.0,49.58,49.58,49.58,0.0,0.0,48.9,48.9,48.9,0.0,0.0,49.19,49.19,49.19,0.0,0.0
2018-03-11,47.43,47.43,47.43,0.0,0.0,47.46,47.46,47.46,0.0,0.0,45.5,45.5,45.5,0.0,0.0,46.71,46.71,46.71,0.0,0.0
2018-03-18,42.59,42.59,42.59,0.0,0.0,43.8,43.8,43.8,0.0,0.0,41.53,41.53,41.53,0.0,0.0,43.77,43.77,43.77,0.0,0.0
2018-03-25,43.36,43.36,43.36,0.0,0.0,43.6,43.6,43.6,0.0,0.0,39.63,39.63,39.63,0.0,0.0,40.67,40.67,40.67,0.0,0.0
2018-04-01,42.5,42.5,42.5,0.0,0.0,43.4,43.4,43.4,0.0,0.0,41.69,41.69,41.69,0.0,0.0,41.76,41.76,41.76,0.0,0.0
2018-04-08,44.46,44.46,44.46,0.0,0.0,45.3,45.3,45.3,0.0,0.0,44.11,44.11,44.11,0.0,0.0,45.01,45.01,45.01,0.0,0.0
2018-04-15,45.07,45.07,45.07,0.0,0.0,45.65,45.65,45.65,0.0,0.0,44.3,44.3,44.3,0.0,0.0,44.85,44.85,44.85,0.0,0.0
2018-04-22,44.71,44.71,44.71,0.0,0.0,44.9,44.9,44.9,0.0,0.0,42.86,42.86,42.86,0.0,0.0,42.86,42.86,42.86,0.0,0.0
2018-04-29,44.86,44.86,44.86,0.0,0.0,45.92,45.92,45.92,0.0,0.0,44.81,44.81,44.81,0.0,0.0,45.27,45.27,45.27,0.0,0.0
2018-05-06,47.81,47.81,47.81,0.0,0.0,48.11,48.11,48.11,0.0,0.0,47.05,47.05,47.05,0.0,0.0,47.27,47.27,47.27,0.0,0.0
2018-05-13,48.48,48.48,48.48,0.0,0.0,49.33,49.33,49.33,0.0,0.0,48.48,48.48,48.48,0.0,0.0,49.29,49.29,49.29,0.0,0.0
2018-05-20,48.0,48.0,48.0,0.0,0.0,48.34,48.34,48.34,0.0,0.0,47.83,47.83,47.83,0.0,0.0,48.04,48.04,48.04,0.0,0.0
2018-05-27,49.27,49.27,49.27,0.0,0.0,49.65,49.65,49.65,0.0,0.0,48.79,48.79,48.79,0.0,0.0,49.65,49.65,49.65,0.0,0.0
2018-06-03,52.21,52.21,52.21,0.0,0.0,52.46,52.46,52.46,0.0,0.0,52.0,52.0,52.0,0.0,0.0,52.22,52.22,52.22,0.0,0.0
2018-06-10,50.57,50.57,50.57,0.0,0.0,51.76,51.76,51.76,0.0,0.0,50.57,50.57,50.57,0.0,0.0,51.62,51.62,51.62,0.0,0.0
2018-06-17,50.64,50.64,50.64,0.0,0.0,50.64,50.64,50.64,0.0,0.0,48.35,48.35,48.35,0.0,0.0,49.0,49.0,49.0,0.0,0.0
2018-06-24,47.41,47.41,47.41,0.0,0.0,48.38,48.38,48.38,0.0,0.0,47.18,47.18,47.18,0.0,0.0,48.34,48.34,48.34,0.0,0.0
2018-07-01,51.73,51.73,51.73,0.0,0.0,52.58,52.58,52.58,0.0,0.0,51.63,51.63,51.63,0.0,0.0,52.58,52.58,52.58,0.0,0.0
