Date,Franklin FTSE EuropeEtf_Open_average,Franklin FTSE EuropeEtf_Open_max,Franklin FTSE EuropeEtf_Open_min,Franklin FTSE EuropeEtf_Open_volatility,Franklin FTSE EuropeEtf_Open_change,Franklin FTSE EuropeEtf_High_average,Franklin FTSE EuropeEtf_High_max,Franklin FTSE EuropeEtf_High_min,Franklin FTSE EuropeEtf_High_volatility,Franklin FTSE EuropeEtf_High_change,Franklin FTSE EuropeEtf_Low_average,Franklin FTSE EuropeEtf_Low_max,Franklin FTSE EuropeEtf_Low_min,Franklin FTSE EuropeEtf_Low_volatility,Franklin FTSE EuropeEtf_Low_change,Franklin FTSE EuropeEtf_Close_average,Franklin FTSE EuropeEtf_Close_max,Franklin FTSE EuropeEtf_Close_min,Franklin FTSE EuropeEtf_Close_volatility,Franklin FTSE EuropeEtf_Close_change
2018-01-14,26.75,26.75,26.75,0.0,0.0,26.77,26.77,26.77,0.0,0.0,26.75,26.75,26.75,0.0,0.0,26.77,26.77,26.77,0.0,0.0
2018-01-21,27.17,27.17,27.17,0.0,0.0,27.22,27.22,27.22,0.0,0.0,27.15,27.15,27.15,0.0,0.0,27.21,27.21,27.21,0.0,0.0
2018-01-28,26.55,26.55,26.55,0.0,0.0,26.55,26.55,26.55,0.0,0.0,26.24,26.24,26.24,0.0,0.0,26.24,26.24,26.24,0.0,0.0
2018-02-04,24.9,24.9,24.9,0.0,0.0,24.9,24.9,24.9,0.0,0.0,24.29,24.29,24.29,0.0,0.0,24.54,24.54,24.54,0.0,0.0
2018-02-11,25.77,25.77,25.77,0.0,0.0,25.86,25.86,25.86,0.0,0.0,25.77,25.77,25.77,0.0,0.0,25.86,25.86,25.86,0.0,0.0
2018-02-18,25.56,25.56,25.56,0.0,0.0,25.57,25.57,25.57,0.0,0.0,25.56,25.56,25.56,0.0,0.0,25.57,25.57,25.57,0.0,0.0
2018-02-25,24.73,24.73,24.73,0.0,0.0,24.73,24.73,24.73,0.0,0.0,24.73,24.73,24.73,0.0,0.0,24.73,24.73,24.73,0.0,0.0
2018-03-04,25.43,25.43,25.43,0.0,0.0,25.43,25.43,25.43,0.0,0.0,25.43,25.43,25.43,0.0,0.0,25.43,25.43,25.43,0.0,0.0
2018-03-11,25.38,25.38,25.38,0.0,0.0,25.38,25.38,25.38,0.0,0.0,25.36,25.36,25.36,0.0,0.0,25.36,25.36,25.36,0.0,0.0
2018-03-18,24.79,24.79,24.79,0.0,0.0,24.79,24.79,24.79,0.0,0.0,24.79,24.79,24.79,0.0,0.0,24.79,24.79,24.79,0.0,0.0
2018-03-25,25.08,25.08,25.08,0.0,0.0,25.12,25.12,25.12,0.0,0.0,25.08,25.08,25.08,0.0,0.0,25.12,25.12,25.12,0.0,0.0
2018-04-01,25.2,25.2,25.2,0.0,0.0,25.26,25.26,25.26,0.0,0.0,25.08,25.08,25.08,0.0,0.0,25.17,25.17,25.17,0.0,0.0
2018-04-08,25.7,25.7,25.7,0.0,0.0,25.7,25.7,25.7,0.0,0.0,25.68,25.68,25.68,0.0,0.0,25.68,25.68,25.68,0.0,0.0
2018-04-15,25.81,25.81,25.81,0.0,0.0,25.88,25.88,25.88,0.0,0.0,25.81,25.81,25.81,0.0,0.0,25.88,25.88,25.88,0.0,0.0
2018-04-22,25.68,25.68,25.68,0.0,0.0,25.79,25.79,25.79,0.0,0.0,25.68,25.68,25.68,0.0,0.0,25.78,25.78,25.78,0.0,0.0
2018-04-29,25.5,25.5,25.5,0.0,0.0,25.5,25.5,25.5,0.0,0.0,25.5,25.5,25.5,0.0,0.0,25.5,25.5,25.5,0.0,0.0
2018-05-06,25.97,25.97,25.97,0.0,0.0,25.97,25.97,25.97,0.0,0.0,25.93,25.93,25.93,0.0,0.0,25.96,25.96,25.96,0.0,0.0
