Date,WisdomTree CBOE S&P 500 PutWrite Strategy_Open_average,WisdomTree CBOE S&P 500 PutWrite Strategy_Open_max,WisdomTree CBOE S&P 500 PutWrite Strategy_Open_min,WisdomTree CBOE S&P 500 PutWrite Strategy_Open_volatility,WisdomTree CBOE S&P 500 PutWrite Strategy_Open_change,WisdomTree CBOE S&P 500 PutWrite Strategy_High_average,WisdomTree CBOE S&P 500 PutWrite Strategy_High_max,WisdomTree CBOE S&P 500 PutWrite Strategy_High_min,WisdomTree CBOE S&P 500 PutWrite Strategy_High_volatility,WisdomTree CBOE S&P 500 PutWrite Strategy_High_change,WisdomTree CBOE S&P 500 PutWrite Strategy_Low_average,WisdomTree CBOE S&P 500 PutWrite Strategy_Low_max,WisdomTree CBOE S&P 500 PutWrite Strategy_Low_min,WisdomTree CBOE S&P 500 PutWrite Strategy_Low_volatility,WisdomTree CBOE S&P 500 PutWrite Strategy_Low_change,WisdomTree CBOE S&P 500 PutWrite Strategy_Close_average,WisdomTree CBOE S&P 500 PutWrite Strategy_Close_max,WisdomTree CBOE S&P 500 PutWrite Strategy_Close_min,WisdomTree CBOE S&P 500 PutWrite Strategy_Close_volatility,WisdomTree CBOE S&P 500 PutWrite Strategy_Close_change
2018-01-14,29.26,29.26,29.26,0.0,0.0,29.36,29.36,29.36,0.0,0.0,29.26,29.26,29.26,0.0,0.0,29.31,29.31,29.31,0.0,0.0
2018-01-21,29.45,29.45,29.45,0.0,0.0,29.46,29.46,29.46,0.0,0.0,29.39,29.39,29.39,0.0,0.0,29.39,29.39,29.39,0.0,0.0
2018-01-28,28.87,28.87,28.87,0.0,0.0,29.01,29.01,29.01,0.0,0.0,27.78,27.78,27.78,0.0,0.0,27.81,27.81,27.81,0.0,0.0
2018-02-04,27.87,27.87,27.87,0.0,0.0,28.09,28.09,28.09,0.0,0.0,27.57,27.57,27.57,0.0,0.0,27.92,27.92,27.92,0.0,0.0
2018-02-11,28.79,28.79,28.79,0.0,0.0,28.81,28.81,28.81,0.0,0.0,28.59,28.59,28.59,0.0,0.0,28.66,28.66,28.66,0.0,0.0
2018-02-18,28.84,28.84,28.84,0.0,0.0,28.95,28.95,28.95,0.0,0.0,28.84,28.84,28.84,0.0,0.0,28.91,28.91,28.91,0.0,0.0
2018-02-25,28.45,28.45,28.45,0.0,0.0,28.76,28.76,28.76,0.0,0.0,28.41,28.41,28.41,0.0,0.0,28.71,28.71,28.71,0.0,0.0
2018-03-04,29.1,29.1,29.1,0.0,0.0,29.13,29.13,29.13,0.0,0.0,29.05,29.05,29.05,0.0,0.0,29.1,29.1,29.1,0.0,0.0
2018-03-11,29.03,29.03,29.03,0.0,0.0,29.04,29.04,29.04,0.0,0.0,28.75,28.75,28.75,0.0,0.0,28.83,28.83,28.83,0.0,0.0
2018-03-18,28.11,28.11,28.11,0.0,0.0,28.42,28.42,28.42,0.0,0.0,27.83,27.83,27.83,0.0,0.0,28.38,28.38,28.38,0.0,0.0
