Date,First Trust Hong Kong AlphaDEX_Open_average,First Trust Hong Kong AlphaDEX_Open_max,First Trust Hong Kong AlphaDEX_Open_min,First Trust Hong Kong AlphaDEX_Open_volatility,First Trust Hong Kong AlphaDEX_Open_change,First Trust Hong Kong AlphaDEX_High_average,First Trust Hong Kong AlphaDEX_High_max,First Trust Hong Kong AlphaDEX_High_min,First Trust Hong Kong AlphaDEX_High_volatility,First Trust Hong Kong AlphaDEX_High_change,First Trust Hong Kong AlphaDEX_Low_average,First Trust Hong Kong AlphaDEX_Low_max,First Trust Hong Kong AlphaDEX_Low_min,First Trust Hong Kong AlphaDEX_Low_volatility,First Trust Hong Kong AlphaDEX_Low_change,First Trust Hong Kong AlphaDEX_Close_average,First Trust Hong Kong AlphaDEX_Close_max,First Trust Hong Kong AlphaDEX_Close_min,First Trust Hong Kong AlphaDEX_Close_volatility,First Trust Hong Kong AlphaDEX_Close_change
2016-01-03,30.71,30.71,30.71,0.0,0.0,30.88,30.88,30.88,0.0,0.0,30.45,30.45,30.45,0.0,0.0,30.45,30.45,30.45,0.0,0.0
2016-01-10,29.49,29.49,29.49,0.0,0.0,29.49,29.49,29.49,0.0,0.0,28.84,28.84,28.84,0.0,0.0,29.34,29.34,29.34,0.0,0.0
2016-01-17,28.86,28.86,28.86,0.0,0.0,28.86,28.86,28.86,0.0,0.0,28.5,28.5,28.5,0.0,0.0,28.5,28.5,28.5,0.0,0.0
2016-01-24,28.48,28.48,28.48,0.0,0.0,28.68,28.68,28.68,0.0,0.0,28.19,28.19,28.19,0.0,0.0,28.57,28.57,28.57,0.0,0.0
2016-01-31,27.48,27.48,27.48,0.0,0.0,27.52,27.52,27.52,0.0,0.0,27.23,27.23,27.23,0.0,0.0,27.42,27.42,27.42,0.0,0.0
2016-02-07,27.55,27.55,27.55,0.0,0.0,27.94,27.94,27.94,0.0,0.0,27.53,27.53,27.53,0.0,0.0,27.94,27.94,27.94,0.0,0.0
2016-02-14,29.51,29.51,29.51,0.0,0.0,29.73,29.73,29.73,0.0,0.0,29.51,29.51,29.51,0.0,0.0,29.63,29.63,29.63,0.0,0.0
2016-02-21,29.35,29.35,29.35,0.0,0.0,29.35,29.35,29.35,0.0,0.0,29.35,29.35,29.35,0.0,0.0,29.35,29.35,29.35,0.0,0.0
2016-02-28,31.23,31.23,31.23,0.0,0.0,31.23,31.23,31.23,0.0,0.0,31.06,31.06,31.06,0.0,0.0,31.06,31.06,31.06,0.0,0.0
2016-03-06,31.57,31.57,31.57,0.0,0.0,31.57,31.57,31.57,0.0,0.0,31.57,31.57,31.57,0.0,0.0,31.57,31.57,31.57,0.0,0.0
2016-03-13,32.35,32.35,32.35,0.0,0.0,32.35,32.35,32.35,0.0,0.0,32.23,32.23,32.23,0.0,0.0,32.3,32.3,32.3,0.0,0.0
2016-03-20,30.79,30.79,30.79,0.0,0.0,30.79,30.79,30.79,0.0,0.0,30.79,30.79,30.79,0.0,0.0,30.79,30.79,30.79,0.0,0.0
2016-03-27,31.02,31.02,31.02,0.0,0.0,31.02,31.02,31.02,0.0,0.0,30.94,30.94,30.94,0.0,0.0,30.94,30.94,30.94,0.0,0.0
2016-04-03,31.32,31.32,31.32,0.0,0.0,31.41,31.41,31.41,0.0,0.0,31.32,31.32,31.32,0.0,0.0,31.41,31.41,31.41,0.0,0.0
2016-04-10,32.16,32.16,32.16,0.0,0.0,32.17,32.17,32.17,0.0,0.0,32.16,32.16,32.16,0.0,0.0,32.17,32.17,32.17,0.0,0.0
2016-04-17,32.09,32.09,32.09,0.0,0.0,32.09,32.09,32.09,0.0,0.0,32.07,32.07,32.07,0.0,0.0,32.09,32.09,32.09,0.0,0.0
2016-04-24,31.46,31.46,31.46,0.0,0.0,31.5,31.5,31.5,0.0,0.0,31.43,31.43,31.43,0.0,0.0,31.5,31.5,31.5,0.0,0.0
2016-05-01,30.7,30.7,30.7,0.0,0.0,30.76,30.76,30.76,0.0,0.0,30.61,30.61,30.61,0.0,0.0,30.72,30.72,30.72,0.0,0.0
2016-05-08,30.26,30.26,30.26,0.0,0.0,30.32,30.32,30.32,0.0,0.0,30.26,30.26,30.26,0.0,0.0,30.32,30.32,30.32,0.0,0.0
2016-05-15,29.87,29.87,29.87,0.0,0.0,30.03,30.03,30.03,0.0,0.0,29.87,29.87,29.87,0.0,0.0,29.97,29.97,29.97,0.0,0.0
2016-05-22,30.54,30.54,30.54,0.0,0.0,30.54,30.54,30.54,0.0,0.0,30.54,30.54,30.54,0.0,0.0,30.54,30.54,30.54,0.0,0.0
