Date,Direxion Daily Pharmaceutical & Medical Bull 2X Sh_Open_average,Direxion Daily Pharmaceutical & Medical Bull 2X Sh_Open_max,Direxion Daily Pharmaceutical & Medical Bull 2X Sh_Open_min,Direxion Daily Pharmaceutical & Medical Bull 2X Sh_Open_volatility,Direxion Daily Pharmaceutical & Medical Bull 2X Sh_Open_change,Direxion Daily Pharmaceutical & Medical Bull 2X Sh_High_average,Direxion Daily Pharmaceutical & Medical Bull 2X Sh_High_max,Direxion Daily Pharmaceutical & Medical Bull 2X Sh_High_min,Direxion Daily Pharmaceutical & Medical Bull 2X Sh_High_volatility,Direxion Daily Pharmaceutical & Medical Bull 2X Sh_High_change,Direxion Daily Pharmaceutical & Medical Bull 2X Sh_Low_average,Direxion Daily Pharmaceutical & Medical Bull 2X Sh_Low_max,Direxion Daily Pharmaceutical & Medical Bull 2X Sh_Low_min,Direxion Daily Pharmaceutical & Medical Bull 2X Sh_Low_volatility,Direxion Daily Pharmaceutical & Medical Bull 2X Sh_Low_change,Direxion Daily Pharmaceutical & Medical Bull 2X Sh_Close_average,Direxion Daily Pharmaceutical & Medical Bull 2X Sh_Close_max,Direxion Daily Pharmaceutical & Medical Bull 2X Sh_Close_min,Direxion Daily Pharmaceutical & Medical Bull 2X Sh_Close_volatility,Direxion Daily Pharmaceutical & Medical Bull 2X Sh_Close_change
2018-01-14,32.92,32.92,32.92,0.0,0.0,39.49,39.49,39.49,0.0,0.0,32.92,32.92,32.92,0.0,0.0,33.79,33.79,33.79,0.0,0.0
2018-01-21,35.59,35.59,35.59,0.0,0.0,37.34,37.34,37.34,0.0,0.0,35.59,35.59,35.59,0.0,0.0,36.51,36.51,36.51,0.0,0.0
2018-01-28,29.36,29.36,29.36,0.0,0.0,30.0,30.0,30.0,0.0,0.0,24.85,24.85,24.85,0.0,0.0,27.35,27.35,27.35,0.0,0.0
2018-02-04,25.88,25.88,25.88,0.0,0.0,26.67,26.67,26.67,0.0,0.0,25.65,25.65,25.65,0.0,0.0,26.15,26.15,26.15,0.0,0.0
2018-02-11,29.99,29.99,29.99,0.0,0.0,29.99,29.99,29.99,0.0,0.0,29.05,29.05,29.05,0.0,0.0,29.68,29.68,29.68,0.0,0.0
2018-02-18,28.51,28.51,28.51,0.0,0.0,28.74,28.74,28.74,0.0,0.0,27.96,27.96,27.96,0.0,0.0,28.39,28.39,28.39,0.0,0.0
2018-02-25,24.86,24.86,24.86,0.0,0.0,26.2,26.2,26.2,0.0,0.0,24.86,24.86,24.86,0.0,0.0,25.98,25.98,25.98,0.0,0.0
2018-03-04,27.9,27.9,27.9,0.0,0.0,28.63,28.63,28.63,0.0,0.0,27.9,27.9,27.9,0.0,0.0,28.56,28.56,28.56,0.0,0.0
2018-03-11,27.2,27.2,27.2,0.0,0.0,27.2,27.2,27.2,0.0,0.0,25.9,25.9,25.9,0.0,0.0,25.9,25.9,25.9,0.0,0.0
2018-03-18,23.25,23.25,23.25,0.0,0.0,23.75,23.75,23.75,0.0,0.0,22.38,22.38,22.38,0.0,0.0,23.73,23.73,23.73,0.0,0.0
