Date,John Hancock Multifactor Large Cap_Open_average,John Hancock Multifactor Large Cap_Open_max,John Hancock Multifactor Large Cap_Open_min,John Hancock Multifactor Large Cap_Open_volatility,John Hancock Multifactor Large Cap_Open_change,John Hancock Multifactor Large Cap_High_average,John Hancock Multifactor Large Cap_High_max,John Hancock Multifactor Large Cap_High_min,John Hancock Multifactor Large Cap_High_volatility,John Hancock Multifactor Large Cap_High_change,John Hancock Multifactor Large Cap_Low_average,John Hancock Multifactor Large Cap_Low_max,John Hancock Multifactor Large Cap_Low_min,John Hancock Multifactor Large Cap_Low_volatility,John Hancock Multifactor Large Cap_Low_change,John Hancock Multifactor Large Cap_Close_average,John Hancock Multifactor Large Cap_Close_max,John Hancock Multifactor Large Cap_Close_min,John Hancock Multifactor Large Cap_Close_volatility,John Hancock Multifactor Large Cap_Close_change
2018-01-14,36.45,36.45,36.45,0.0,0.0,36.71,36.71,36.71,0.0,0.0,36.45,36.45,36.45,0.0,0.0,36.69,36.69,36.69,0.0,0.0
2018-01-21,37.07,37.07,37.07,0.0,0.0,37.08,37.08,37.08,0.0,0.0,36.89,36.89,36.89,0.0,0.0,36.93,36.93,36.93,0.0,0.0
2018-01-28,35.63,35.63,35.63,0.0,0.0,35.75,35.75,35.75,0.0,0.0,34.42,34.42,34.42,0.0,0.0,34.45,34.45,34.45,0.0,0.0
2018-02-04,34.33,34.33,34.33,0.0,0.0,34.61,34.61,34.61,0.0,0.0,34.07,34.07,34.07,0.0,0.0,34.38,34.38,34.38,0.0,0.0
2018-02-11,35.39,35.39,35.39,0.0,0.0,35.73,35.73,35.73,0.0,0.0,35.38,35.38,35.38,0.0,0.0,35.48,35.48,35.48,0.0,0.0
2018-02-18,35.79,35.79,35.79,0.0,0.0,35.96,35.96,35.96,0.0,0.0,35.67,35.67,35.67,0.0,0.0,35.91,35.91,35.91,0.0,0.0
2018-02-25,34.73,34.73,34.73,0.0,0.0,35.4,35.4,35.4,0.0,0.0,34.73,34.73,34.73,0.0,0.0,35.34,35.34,35.34,0.0,0.0
2018-03-04,36.32,36.32,36.32,0.0,0.0,36.32,36.32,36.32,0.0,0.0,36.08,36.08,36.08,0.0,0.0,36.16,36.16,36.16,0.0,0.0
2018-03-11,35.6,35.6,35.6,0.0,0.0,35.62,35.62,35.62,0.0,0.0,35.13,35.13,35.13,0.0,0.0,35.3,35.3,35.3,0.0,0.0
2018-03-18,34.39,34.39,34.39,0.0,0.0,34.71,34.71,34.71,0.0,0.0,34.0,34.0,34.0,0.0,0.0,34.71,34.71,34.71,0.0,0.0
2018-03-25,34.47,34.47,34.47,0.0,0.0,34.47,34.47,34.47,0.0,0.0,33.45,33.45,33.45,0.0,0.0,33.75,33.75,33.75,0.0,0.0
2018-04-01,34.15,34.15,34.15,0.0,0.0,34.64,34.64,34.64,0.0,0.0,34.13,34.13,34.13,0.0,0.0,34.14,34.14,34.14,0.0,0.0
2018-04-08,34.65,34.65,34.65,0.0,0.0,35.07,35.07,35.07,0.0,0.0,34.65,34.65,34.65,0.0,0.0,34.98,34.98,34.98,0.0,0.0
2018-04-15,34.97,34.97,34.97,0.0,0.0,35.07,35.07,35.07,0.0,0.0,34.75,34.75,34.75,0.0,0.0,34.88,34.88,34.88,0.0,0.0
