Date,Global X MSCI Argentina_etf_Open_average,Global X MSCI Argentina_etf_Open_max,Global X MSCI Argentina_etf_Open_min,Global X MSCI Argentina_etf_Open_volatility,Global X MSCI Argentina_etf_Open_change,Global X MSCI Argentina_etf_High_average,Global X MSCI Argentina_etf_High_max,Global X MSCI Argentina_etf_High_min,Global X MSCI Argentina_etf_High_volatility,Global X MSCI Argentina_etf_High_change,Global X MSCI Argentina_etf_Low_average,Global X MSCI Argentina_etf_Low_max,Global X MSCI Argentina_etf_Low_min,Global X MSCI Argentina_etf_Low_volatility,Global X MSCI Argentina_etf_Low_change,Global X MSCI Argentina_etf_Close_average,Global X MSCI Argentina_etf_Close_max,Global X MSCI Argentina_etf_Close_min,Global X MSCI Argentina_etf_Close_volatility,Global X MSCI Argentina_etf_Close_change
2018-01-14,37.86,37.86,37.86,0.0,0.0,37.86,37.86,37.86,0.0,0.0,37.41,37.41,37.41,0.0,0.0,37.51,37.51,37.51,0.0,0.0
2018-01-21,37.98,37.98,37.98,0.0,0.0,38.46,38.46,38.46,0.0,0.0,37.98,37.98,37.98,0.0,0.0,38.39,38.39,38.39,0.0,0.0
2018-01-28,37.56,37.56,37.56,0.0,0.0,37.63,37.63,37.63,0.0,0.0,36.4,36.4,36.4,0.0,0.0,36.41,36.41,36.41,0.0,0.0
2018-02-04,34.63,34.63,34.63,0.0,0.0,34.63,34.63,34.63,0.0,0.0,32.83,32.83,32.83,0.0,0.0,33.68,33.68,33.68,0.0,0.0
2018-02-11,36.73,36.73,36.73,0.0,0.0,37.25,37.25,37.25,0.0,0.0,36.73,36.73,36.73,0.0,0.0,36.85,36.85,36.85,0.0,0.0
2018-02-18,36.9,36.9,36.9,0.0,0.0,37.49,37.49,37.49,0.0,0.0,36.75,36.75,36.75,0.0,0.0,37.4,37.4,37.4,0.0,0.0
2018-02-25,36.23,36.23,36.23,0.0,0.0,36.64,36.64,36.64,0.0,0.0,35.91,35.91,35.91,0.0,0.0,36.5,36.5,36.5,0.0,0.0
2018-03-04,37.23,37.23,37.23,0.0,0.0,38.05,38.05,38.05,0.0,0.0,37.23,37.23,37.23,0.0,0.0,37.92,37.92,37.92,0.0,0.0
2018-03-11,37.2,37.2,37.2,0.0,0.0,37.2,37.2,37.2,0.0,0.0,36.89,36.89,36.89,0.0,0.0,36.91,36.91,36.91,0.0,0.0
2018-03-18,35.57,35.57,35.57,0.0,0.0,35.57,35.57,35.57,0.0,0.0,34.94,34.94,34.94,0.0,0.0,35.0,35.0,35.0,0.0,0.0
2018-03-25,35.08,35.08,35.08,0.0,0.0,35.82,35.82,35.82,0.0,0.0,35.08,35.08,35.08,0.0,0.0,35.68,35.68,35.68,0.0,0.0
2018-04-01,35.7,35.7,35.7,0.0,0.0,35.92,35.92,35.92,0.0,0.0,35.48,35.48,35.48,0.0,0.0,35.6,35.6,35.6,0.0,0.0
2018-04-08,35.68,35.68,35.68,0.0,0.0,35.73,35.73,35.73,0.0,0.0,35.5,35.5,35.5,0.0,0.0,35.5,35.5,35.5,0.0,0.0
2018-04-15,35.46,35.46,35.46,0.0,0.0,35.46,35.46,35.46,0.0,0.0,35.04,35.04,35.04,0.0,0.0,35.24,35.24,35.24,0.0,0.0
2018-04-22,34.5,34.5,34.5,0.0,0.0,34.82,34.82,34.82,0.0,0.0,34.23,34.23,34.23,0.0,0.0,34.7,34.7,34.7,0.0,0.0
