Date,iShares Edge MSCI Min Vol Europe_Open_average,iShares Edge MSCI Min Vol Europe_Open_max,iShares Edge MSCI Min Vol Europe_Open_min,iShares Edge MSCI Min Vol Europe_Open_volatility,iShares Edge MSCI Min Vol Europe_Open_change,iShares Edge MSCI Min Vol Europe_High_average,iShares Edge MSCI Min Vol Europe_High_max,iShares Edge MSCI Min Vol Europe_High_min,iShares Edge MSCI Min Vol Europe_High_volatility,iShares Edge MSCI Min Vol Europe_High_change,iShares Edge MSCI Min Vol Europe_Low_average,iShares Edge MSCI Min Vol Europe_Low_max,iShares Edge MSCI Min Vol Europe_Low_min,iShares Edge MSCI Min Vol Europe_Low_volatility,iShares Edge MSCI Min Vol Europe_Low_change,iShares Edge MSCI Min Vol Europe_Close_average,iShares Edge MSCI Min Vol Europe_Close_max,iShares Edge MSCI Min Vol Europe_Close_min,iShares Edge MSCI Min Vol Europe_Close_volatility,iShares Edge MSCI Min Vol Europe_Close_change
2018-01-14,26.23,26.23,26.23,0.0,0.0,26.32,26.32,26.32,0.0,0.0,26.23,26.23,26.23,0.0,0.0,26.32,26.32,26.32,0.0,0.0
2018-01-21,26.37,26.37,26.37,0.0,0.0,26.41,26.41,26.41,0.0,0.0,26.3,26.3,26.3,0.0,0.0,26.36,26.36,26.36,0.0,0.0
2018-01-28,25.5,25.5,25.5,0.0,0.0,25.57,25.57,25.57,0.0,0.0,24.88,24.88,24.88,0.0,0.0,24.95,24.95,24.95,0.0,0.0
2018-02-04,24.86,24.86,24.86,0.0,0.0,25.01,25.01,25.01,0.0,0.0,24.86,24.86,24.86,0.0,0.0,24.93,24.93,24.93,0.0,0.0
2018-02-11,25.59,25.59,25.59,0.0,0.0,25.62,25.62,25.62,0.0,0.0,25.54,25.54,25.54,0.0,0.0,25.62,25.62,25.62,0.0,0.0
2018-02-18,25.53,25.53,25.53,0.0,0.0,25.65,25.65,25.65,0.0,0.0,25.53,25.53,25.53,0.0,0.0,25.65,25.65,25.65,0.0,0.0
2018-02-25,24.81,24.81,24.81,0.0,0.0,25.05,25.05,25.05,0.0,0.0,24.81,24.81,24.81,0.0,0.0,24.99,24.99,24.99,0.0,0.0
2018-03-04,25.61,25.61,25.61,0.0,0.0,25.65,25.65,25.65,0.0,0.0,25.59,25.59,25.59,0.0,0.0,25.65,25.65,25.65,0.0,0.0
2018-03-11,25.32,25.32,25.32,0.0,0.0,25.35,25.35,25.35,0.0,0.0,25.24,25.24,25.24,0.0,0.0,25.24,25.24,25.24,0.0,0.0
2018-03-18,25.14,25.14,25.14,0.0,0.0,25.16,25.16,25.16,0.0,0.0,24.99,24.99,24.99,0.0,0.0,25.14,25.14,25.14,0.0,0.0
2018-03-25,25.15,25.15,25.15,0.0,0.0,25.15,25.15,25.15,0.0,0.0,25.07,25.07,25.07,0.0,0.0,25.07,25.07,25.07,0.0,0.0
2018-04-01,25.65,25.65,25.65,0.0,0.0,25.77,25.77,25.77,0.0,0.0,25.65,25.65,25.65,0.0,0.0,25.7,25.7,25.7,0.0,0.0
2018-04-08,25.81,25.81,25.81,0.0,0.0,25.82,25.82,25.82,0.0,0.0,25.81,25.81,25.81,0.0,0.0,25.82,25.82,25.82,0.0,0.0
2018-04-15,25.73,25.73,25.73,0.0,0.0,25.75,25.75,25.75,0.0,0.0,25.69,25.69,25.69,0.0,0.0,25.69,25.69,25.69,0.0,0.0
2018-04-22,25.77,25.77,25.77,0.0,0.0,25.79,25.79,25.79,0.0,0.0,25.73,25.73,25.73,0.0,0.0,25.73,25.73,25.73,0.0,0.0
2018-04-29,25.65,25.65,25.65,0.0,0.0,25.7,25.7,25.7,0.0,0.0,25.62,25.62,25.62,0.0,0.0,25.62,25.62,25.62,0.0,0.0
