Date,NM_stock_Open_average,NM_stock_Open_max,NM_stock_Open_min,NM_stock_Open_volatility,NM_stock_Open_change,NM_stock_High_average,NM_stock_High_max,NM_stock_High_min,NM_stock_High_volatility,NM_stock_High_change,NM_stock_Low_average,NM_stock_Low_max,NM_stock_Low_min,NM_stock_Low_volatility,NM_stock_Low_change,NM_stock_Close_average,NM_stock_Close_max,NM_stock_Close_min,NM_stock_Close_volatility,NM_stock_Close_change,NM_stock_Volume_average,NM_stock_Volume_max,NM_stock_Volume_min,NM_stock_Volume_volatility,NM_stock_Volume_change
2018-01-14,13.575,14.1,13.2,0.9000000000000004,-0.9000000000000004,13.975000000000001,14.8,13.4,1.4000000000000004,-1.4000000000000004,13.08,13.5,12.7,0.8000000000000007,-0.8000000000000007,13.5,13.6,13.4,0.1999999999999993,-0.1999999999999993,64323,105296,36374,68922,-44626
2018-01-21,13.4,13.9,13.2,0.7000000000000011,0.0,13.74,14.0,13.4,0.5999999999999996,-0.5999999999999996,13.15,13.2,13.0,0.1999999999999993,-0.15000000000000036,13.36,13.8,13.1,0.7000000000000011,-0.7000000000000011,39375,52352,24888,27464,-17894
2018-01-28,12.66,13.0,12.2,0.8000000000000007,-0.40000000000000036,12.99,13.2,12.7,0.5,-0.5,12.32,12.8,12.0,0.8000000000000007,-0.8000000000000007,12.54,12.9,12.2,0.7000000000000011,-0.7000000000000011,67520,110701,29459,81242,44039
2018-02-04,12.02,12.2,11.6,0.5999999999999996,0.1999999999999993,12.46,12.5,12.3,0.1999999999999993,-0.1999999999999993,11.66,12.0,11.1,0.9000000000000004,0.5,11.98,12.2,11.6,0.5999999999999996,0.40000000000000036,74123,104219,36321,67898,-34286
2018-02-11,12.7,13.2,12.0,1.1999999999999993,0.8000000000000007,13.12,13.3,12.9,0.40000000000000036,0.29999999999999893,12.36,12.6,11.8,0.7999999999999989,0.6999999999999993,12.8,13.1,12.5,0.5999999999999996,0.10000000000000142,47644,69470,22698,46772,-29642
2018-02-18,12.725,13.0,12.6,0.40000000000000036,-0.40000000000000036,13.1625,13.4,13.0,0.40000000000000036,-0.34999999999999964,12.4775,12.6,12.4,0.1999999999999993,-0.1899999999999995,12.65,12.8,12.5,0.3000000000000007,0.10000000000000142,60830,87318,33406,53912,-9950
2018-02-25,12.9,13.3,12.5,0.8000000000000007,-0.40000000000000036,13.31,13.65,12.8,0.8499999999999996,-0.40000000000000036,12.51,13.25,11.9,1.3499999999999996,-0.5,12.96,13.4,12.5,0.9000000000000004,-0.3000000000000007,64970,96079,49253,46826,-46826
2018-03-04,12.58,13.0,12.1,0.9000000000000004,-0.9000000000000004,12.84,13.1,12.5,0.5999999999999996,-0.5999999999999996,12.15,12.75,11.4,1.3499999999999996,-1.3499999999999996,12.28,12.9,11.5,1.4000000000000004,-1.4000000000000004,64674,137244,24746,112498,112498
2018-03-11,11.8,12.2,11.5,0.6999999999999993,-0.09999999999999964,11.98,12.4,11.5,0.9000000000000004,-0.9000000000000004,11.52,11.8,11.2,0.6000000000000014,-0.3000000000000007,11.72,12.2,11.2,1.0,-1.0,50951,120060,21707,98353,69648
2018-03-18,11.02,11.5,10.4,1.0999999999999996,-0.7999999999999989,11.24,11.6,10.7,0.9000000000000004,-0.5,10.588000000000001,10.9,9.74,1.1600000000000001,-1.0600000000000005,10.82,11.3,10.0,1.3000000000000007,-1.0999999999999996,66161,157245,31023,126222,110439
2018-03-25,9.4375,10.3,8.95,1.3500000000000014,-1.3500000000000014,9.8125,10.4,9.2,1.200000000000001,-0.5,8.785,9.0,8.62,0.3800000000000008,-0.3800000000000008,9.0525,9.33,8.9,0.4299999999999997,-0.34999999999999964,124710,162159,65609,96550,21034
