Date,iShares MSCI Malaysia_Open_average,iShares MSCI Malaysia_Open_max,iShares MSCI Malaysia_Open_min,iShares MSCI Malaysia_Open_volatility,iShares MSCI Malaysia_Open_change,iShares MSCI Malaysia_High_average,iShares MSCI Malaysia_High_max,iShares MSCI Malaysia_High_min,iShares MSCI Malaysia_High_volatility,iShares MSCI Malaysia_High_change,iShares MSCI Malaysia_Low_average,iShares MSCI Malaysia_Low_max,iShares MSCI Malaysia_Low_min,iShares MSCI Malaysia_Low_volatility,iShares MSCI Malaysia_Low_change,iShares MSCI Malaysia_Close_average,iShares MSCI Malaysia_Close_max,iShares MSCI Malaysia_Close_min,iShares MSCI Malaysia_Close_volatility,iShares MSCI Malaysia_Close_change
2018-01-14,34.98,34.98,34.98,0.0,0.0,35.16,35.16,35.16,0.0,0.0,34.98,34.98,34.98,0.0,0.0,35.16,35.16,35.16,0.0,0.0
2018-01-21,36.07,36.07,36.07,0.0,0.0,36.07,36.07,36.07,0.0,0.0,35.95,35.95,35.95,0.0,0.0,35.97,35.97,35.97,0.0,0.0
2018-01-28,35.2,35.2,35.2,0.0,0.0,35.48,35.48,35.48,0.0,0.0,34.46,34.46,34.46,0.0,0.0,34.51,34.51,34.51,0.0,0.0
2018-02-04,34.33,34.33,34.33,0.0,0.0,34.8,34.8,34.8,0.0,0.0,34.25,34.25,34.25,0.0,0.0,34.54,34.54,34.54,0.0,0.0
2018-02-11,35.42,35.42,35.42,0.0,0.0,35.78,35.78,35.78,0.0,0.0,35.29,35.29,35.29,0.0,0.0,35.57,35.57,35.57,0.0,0.0
2018-02-18,35.53,35.53,35.53,0.0,0.0,35.69,35.69,35.69,0.0,0.0,35.32,35.32,35.32,0.0,0.0,35.69,35.69,35.69,0.0,0.0
2018-02-25,34.9,34.9,34.9,0.0,0.0,35.25,35.25,35.25,0.0,0.0,34.76,34.76,34.76,0.0,0.0,35.15,35.15,35.15,0.0,0.0
2018-03-04,35.51,35.51,35.51,0.0,0.0,35.63,35.63,35.63,0.0,0.0,35.34,35.34,35.34,0.0,0.0,35.48,35.48,35.48,0.0,0.0
2018-03-11,35.13,35.13,35.13,0.0,0.0,35.21,35.21,35.21,0.0,0.0,34.88,34.88,34.88,0.0,0.0,35.01,35.01,35.01,0.0,0.0
2018-03-18,35.45,35.45,35.45,0.0,0.0,35.59,35.59,35.59,0.0,0.0,35.12,35.12,35.12,0.0,0.0,35.57,35.57,35.57,0.0,0.0
2018-03-25,36.06,36.06,36.06,0.0,0.0,36.19,36.19,36.19,0.0,0.0,35.59,35.59,35.59,0.0,0.0,35.78,35.78,35.78,0.0,0.0
2018-04-01,35.58,35.58,35.58,0.0,0.0,35.78,35.78,35.78,0.0,0.0,35.46,35.46,35.46,0.0,0.0,35.59,35.59,35.59,0.0,0.0
2018-04-08,36.25,36.25,36.25,0.0,0.0,36.38,36.38,36.38,0.0,0.0,36.16,36.16,36.16,0.0,0.0,36.3,36.3,36.3,0.0,0.0
2018-04-15,35.9,35.9,35.9,0.0,0.0,35.99,35.99,35.99,0.0,0.0,35.61,35.61,35.61,0.0,0.0,35.62,35.62,35.62,0.0,0.0
2018-04-22,35.46,35.46,35.46,0.0,0.0,35.7,35.7,35.7,0.0,0.0,35.06,35.06,35.06,0.0,0.0,35.06,35.06,35.06,0.0,0.0
2018-04-29,34.38,34.38,34.38,0.0,0.0,34.41,34.41,34.41,0.0,0.0,34.18,34.18,34.18,0.0,0.0,34.27,34.27,34.27,0.0,0.0
2018-05-06,34.92,34.92,34.92,0.0,0.0,34.94,34.94,34.94,0.0,0.0,34.42,34.42,34.42,0.0,0.0,34.6,34.6,34.6,0.0,0.0
2018-05-13,34.59,34.59,34.59,0.0,0.0,34.71,34.71,34.71,0.0,0.0,34.51,34.51,34.51,0.0,0.0,34.65,34.65,34.65,0.0,0.0
2018-05-20,33.64,33.64,33.64,0.0,0.0,33.95,33.95,33.95,0.0,0.0,33.64,33.64,33.64,0.0,0.0,33.92,33.92,33.92,0.0,0.0
2018-05-27,33.11,33.11,33.11,0.0,0.0,33.27,33.27,33.27,0.0,0.0,33.03,33.03,33.03,0.0,0.0,33.06,33.06,33.06,0.0,0.0
2018-06-03,33.54,33.54,33.54,0.0,0.0,33.64,33.64,33.64,0.0,0.0,33.4,33.4,33.4,0.0,0.0,33.5,33.5,33.5,0.0,0.0
2018-06-10,32.62,32.62,32.62,0.0,0.0,32.69,32.69,32.69,0.0,0.0,32.41,32.41,32.41,0.0,0.0,32.64,32.64,32.64,0.0,0.0
