Date,First Trust Nasdaq SemiconductorEtf_Open_average,First Trust Nasdaq SemiconductorEtf_Open_max,First Trust Nasdaq SemiconductorEtf_Open_min,First Trust Nasdaq SemiconductorEtf_Open_volatility,First Trust Nasdaq SemiconductorEtf_Open_change,First Trust Nasdaq SemiconductorEtf_High_average,First Trust Nasdaq SemiconductorEtf_High_max,First Trust Nasdaq SemiconductorEtf_High_min,First Trust Nasdaq SemiconductorEtf_High_volatility,First Trust Nasdaq SemiconductorEtf_High_change,First Trust Nasdaq SemiconductorEtf_Low_average,First Trust Nasdaq SemiconductorEtf_Low_max,First Trust Nasdaq SemiconductorEtf_Low_min,First Trust Nasdaq SemiconductorEtf_Low_volatility,First Trust Nasdaq SemiconductorEtf_Low_change,First Trust Nasdaq SemiconductorEtf_Close_average,First Trust Nasdaq SemiconductorEtf_Close_max,First Trust Nasdaq SemiconductorEtf_Close_min,First Trust Nasdaq SemiconductorEtf_Close_volatility,First Trust Nasdaq SemiconductorEtf_Close_change
2018-01-14,32.97,32.97,32.97,0.0,0.0,32.97,32.97,32.97,0.0,0.0,32.57,32.57,32.57,0.0,0.0,32.7,32.7,32.7,0.0,0.0
2018-01-21,32.2,32.2,32.2,0.0,0.0,32.8,32.8,32.8,0.0,0.0,32.16,32.16,32.16,0.0,0.0,32.79,32.79,32.79,0.0,0.0
2018-01-28,31.84,31.84,31.84,0.0,0.0,31.93,31.93,31.93,0.0,0.0,31.31,31.31,31.31,0.0,0.0,31.49,31.49,31.49,0.0,0.0
2018-02-04,29.04,29.04,29.04,0.0,0.0,29.54,29.54,29.54,0.0,0.0,28.34,28.34,28.34,0.0,0.0,29.54,29.54,29.54,0.0,0.0
2018-02-11,31.45,31.45,31.45,0.0,0.0,31.66,31.66,31.66,0.0,0.0,31.41,31.41,31.41,0.0,0.0,31.42,31.42,31.42,0.0,0.0
2018-02-18,31.93,31.93,31.93,0.0,0.0,32.22,32.22,32.22,0.0,0.0,31.7,31.7,31.7,0.0,0.0,32.22,32.22,32.22,0.0,0.0
2018-02-25,31.74,31.74,31.74,0.0,0.0,32.8,32.8,32.8,0.0,0.0,31.74,31.74,31.74,0.0,0.0,32.8,32.8,32.8,0.0,0.0
2018-03-04,34.91,34.91,34.91,0.0,0.0,35.23,35.23,35.23,0.0,0.0,34.75,34.75,34.75,0.0,0.0,35.23,35.23,35.23,0.0,0.0
2018-03-11,34.93,34.93,34.93,0.0,0.0,35.19,35.19,35.19,0.0,0.0,34.81,34.81,34.81,0.0,0.0,35.01,35.01,35.01,0.0,0.0
2018-03-18,33.82,33.82,33.82,0.0,0.0,33.82,33.82,33.82,0.0,0.0,32.63,32.63,32.63,0.0,0.0,32.63,32.63,32.63,0.0,0.0
2018-03-25,31.77,31.77,31.77,0.0,0.0,32.78,32.78,32.78,0.0,0.0,31.77,31.77,31.77,0.0,0.0,32.63,32.63,32.63,0.0,0.0
2018-04-01,31.29,31.29,31.29,0.0,0.0,31.86,31.86,31.86,0.0,0.0,31.0,31.0,31.0,0.0,0.0,31.23,31.23,31.23,0.0,0.0
2018-04-08,33.66,33.66,33.66,0.0,0.0,33.66,33.66,33.66,0.0,0.0,32.79,32.79,32.79,0.0,0.0,32.79,32.79,32.79,0.0,0.0
2018-04-15,31.72,31.72,31.72,0.0,0.0,31.72,31.72,31.72,0.0,0.0,31.15,31.15,31.15,0.0,0.0,31.21,31.21,31.21,0.0,0.0
2018-04-22,31.46,31.46,31.46,0.0,0.0,31.46,31.46,31.46,0.0,0.0,30.44,30.44,30.44,0.0,0.0,30.49,30.49,30.49,0.0,0.0
2018-04-29,30.91,30.91,30.91,0.0,0.0,31.6,31.6,31.6,0.0,0.0,30.72,30.72,30.72,0.0,0.0,31.6,31.6,31.6,0.0,0.0
2018-05-06,33.28,33.28,33.28,0.0,0.0,33.34,33.34,33.34,0.0,0.0,32.89,32.89,32.89,0.0,0.0,32.98,32.98,32.98,0.0,0.0
2018-05-13,33.07,33.07,33.07,0.0,0.0,33.14,33.14,33.14,0.0,0.0,32.78,32.78,32.78,0.0,0.0,32.85,32.85,32.85,0.0,0.0
2018-05-20,34.1,34.1,34.1,0.0,0.0,34.28,34.28,34.28,0.0,0.0,34.1,34.1,34.1,0.0,0.0,34.18,34.18,34.18,0.0,0.0
2018-05-27,34.28,34.28,34.28,0.0,0.0,34.69,34.69,34.69,0.0,0.0,34.15,34.15,34.15,0.0,0.0,34.69,34.69,34.69,0.0,0.0
2018-06-03,34.34,34.34,34.34,0.0,0.0,34.45,34.45,34.45,0.0,0.0,34.1,34.1,34.1,0.0,0.0,34.43,34.43,34.43,0.0,0.0
2018-06-10,34.26,34.26,34.26,0.0,0.0,34.56,34.56,34.56,0.0,0.0,34.26,34.26,34.26,0.0,0.0,34.56,34.56,34.56,0.0,0.0
2018-06-17,33.63,33.63,33.63,0.0,0.0,33.65,33.65,33.65,0.0,0.0,33.28,33.28,33.28,0.0,0.0,33.35,33.35,33.35,0.0,0.0
2018-06-24,31.81,31.81,31.81,0.0,0.0,32.17,32.17,32.17,0.0,0.0,31.77,31.77,31.77,0.0,0.0,31.77,31.77,31.77,0.0,0.0
2018-07-01,32.51,32.51,32.51,0.0,0.0,32.88,32.88,32.88,0.0,0.0,32.49,32.49,32.49,0.0,0.0,32.76,32.76,32.76,0.0,0.0
2018-07-08,33.27,33.27,33.27,0.0,0.0,33.3,33.3,33.3,0.0,0.0,33.09,33.09,33.09,0.0,0.0,33.13,33.13,33.13,0.0,0.0
2018-07-15,33.69,33.69,33.69,0.0,0.0,33.69,33.69,33.69,0.0,0.0,33.41,33.41,33.41,0.0,0.0,33.44,33.44,33.44,0.0,0.0
