Date,SPDR S&P MidCap 400_Open_average,SPDR S&P MidCap 400_Open_max,SPDR S&P MidCap 400_Open_min,SPDR S&P MidCap 400_Open_volatility,SPDR S&P MidCap 400_Open_change,SPDR S&P MidCap 400_High_average,SPDR S&P MidCap 400_High_max,SPDR S&P MidCap 400_High_min,SPDR S&P MidCap 400_High_volatility,SPDR S&P MidCap 400_High_change,SPDR S&P MidCap 400_Low_average,SPDR S&P MidCap 400_Low_max,SPDR S&P MidCap 400_Low_min,SPDR S&P MidCap 400_Low_volatility,SPDR S&P MidCap 400_Low_change,SPDR S&P MidCap 400_Close_average,SPDR S&P MidCap 400_Close_max,SPDR S&P MidCap 400_Close_min,SPDR S&P MidCap 400_Close_volatility,SPDR S&P MidCap 400_Close_change
2018-01-14,359.8,359.8,359.8,0.0,0.0,361.47,361.47,361.47,0.0,0.0,359.22,359.22,359.22,0.0,0.0,361.45,361.45,361.45,0.0,0.0
2018-01-21,361.45,361.45,361.45,0.0,0.0,362.21,362.21,362.21,0.0,0.0,359.39,359.39,359.39,0.0,0.0,359.43,359.43,359.43,0.0,0.0
2018-01-28,345.44,345.44,345.44,0.0,0.0,348.2,348.2,348.2,0.0,0.0,335.31,335.31,335.31,0.0,0.0,335.52,335.52,335.52,0.0,0.0
2018-02-04,331.82,331.82,331.82,0.0,0.0,336.07,336.07,336.07,0.0,0.0,329.53,329.53,329.53,0.0,0.0,334.25,334.25,334.25,0.0,0.0
2018-02-11,344.08,344.08,344.08,0.0,0.0,347.47,347.47,347.47,0.0,0.0,343.98,343.98,343.98,0.0,0.0,345.82,345.82,345.82,0.0,0.0
2018-02-18,347.39,347.39,347.39,0.0,0.0,348.59,348.59,348.59,0.0,0.0,345.04,345.04,345.04,0.0,0.0,348.4,348.4,348.4,0.0,0.0
2018-02-25,340.29,340.29,340.29,0.0,0.0,346.32,346.32,346.32,0.0,0.0,340.08,340.08,340.08,0.0,0.0,345.37,345.37,345.37,0.0,0.0
2018-03-04,355.21,355.21,355.21,0.0,0.0,356.37,356.37,356.37,0.0,0.0,354.17,354.17,354.17,0.0,0.0,355.25,355.25,355.25,0.0,0.0
2018-03-11,350.35,350.35,350.35,0.0,0.0,350.46,350.46,350.46,0.0,0.0,345.5,345.5,345.5,0.0,0.0,348.34,348.34,348.34,0.0,0.0
2018-03-18,338.22,338.22,338.22,0.0,0.0,341.67,341.67,341.67,0.0,0.0,335.37,335.37,335.37,0.0,0.0,341.5,341.5,341.5,0.0,0.0
2018-03-25,340.39,340.39,340.39,0.0,0.0,341.51,341.51,341.51,0.0,0.0,330.91,330.91,330.91,0.0,0.0,333.64,333.64,333.64,0.0,0.0
2018-04-01,338.92,338.92,338.92,0.0,0.0,341.69,341.69,341.69,0.0,0.0,336.92,336.92,336.92,0.0,0.0,337.21,337.21,337.21,0.0,0.0
2018-04-08,344.16,344.16,344.16,0.0,0.0,346.88,346.88,346.88,0.0,0.0,343.22,343.22,343.22,0.0,0.0,345.9,345.9,345.9,0.0,0.0
2018-04-15,346.04,346.04,346.04,0.0,0.0,347.8,347.8,347.8,0.0,0.0,344.16,344.16,344.16,0.0,0.0,345.8,345.8,345.8,0.0,0.0
