Date,VIEWF_Open_average,VIEWF_Open_max,VIEWF_Open_min,VIEWF_Open_volatility,VIEWF_Open_change,VIEWF_High_average,VIEWF_High_max,VIEWF_High_min,VIEWF_High_volatility,VIEWF_High_change,VIEWF_Low_average,VIEWF_Low_max,VIEWF_Low_min,VIEWF_Low_volatility,VIEWF_Low_change,VIEWF_Close_average,VIEWF_Close_max,VIEWF_Close_min,VIEWF_Close_volatility,VIEWF_Close_change,VIEWF_Volume_average,VIEWF_Volume_max,VIEWF_Volume_min,VIEWF_Volume_volatility,VIEWF_Volume_change
2016-01-03,0.78625,0.8,0.77,0.030000000000000027,0.0,0.7865,0.8,0.77,0.030000000000000027,0.0,0.7775000000000001,0.8,0.77,0.030000000000000027,-0.030000000000000027,0.7775000000000001,0.8,0.77,0.030000000000000027,-0.030000000000000027,2353,4912,1000,3912,100
2016-01-10,0.6726666666666666,0.782,0.545,0.237,-0.237,0.6726666666666666,0.782,0.545,0.237,-0.237,0.6686666666666666,0.77,0.545,0.22499999999999998,-0.22499999999999998,0.6686666666666666,0.77,0.545,0.22499999999999998,-0.22499999999999998,5793,17071,110,16961,-16961
2016-01-17,0.6966666666666667,0.708,0.68,0.027999999999999914,0.02200000000000002,0.72,0.75,0.7020000000000001,0.04799999999999993,-0.04799999999999993,0.684,0.7020000000000001,0.67,0.03200000000000003,0.02200000000000002,0.7073333333333334,0.75,0.67,0.07999999999999996,-0.04799999999999993,7306,12400,120,12280,-9280
2016-01-24,0.76,0.77,0.75,0.020000000000000018,0.020000000000000018,0.77,0.77,0.77,0.0,0.0,0.76,0.77,0.75,0.020000000000000018,0.020000000000000018,0.77,0.77,0.77,0.0,0.0,4250,5040,3460,1580,1580
2016-01-31,0.67,0.67,0.67,0.0,0.0,0.77,0.77,0.77,0.0,0.0,0.67,0.67,0.67,0.0,0.0,0.77,0.77,0.77,0.0,0.0,1529,1529,1529,0,0
2016-02-07,0.67,0.67,0.67,0.0,0.0,0.67,0.67,0.67,0.0,0.0,0.67,0.67,0.67,0.0,0.0,0.67,0.67,0.67,0.0,0.0,9242,17433,1051,16382,16382
2016-02-14,0.62,0.62,0.62,0.0,0.0,0.62,0.62,0.62,0.0,0.0,0.6,0.6,0.6,0.0,0.0,0.6,0.6,0.6,0.0,0.0,33511,33511,33511,0,0
2016-02-21,0.6,0.6,0.6,0.0,0.0,0.6,0.6,0.6,0.0,0.0,0.6,0.6,0.6,0.0,0.0,0.6,0.6,0.6,0.0,0.0,780,780,780,0,0
2016-02-28,0.594,0.62,0.58,0.040000000000000036,-0.016000000000000014,0.594,0.62,0.58,0.040000000000000036,-0.016000000000000014,0.59,0.62,0.58,0.040000000000000036,0.0,0.59,0.62,0.58,0.040000000000000036,0.0,996,1810,300,1510,-1510
2016-03-06,0.602,0.62,0.584,0.03600000000000003,-0.03600000000000003,0.602,0.62,0.584,0.03600000000000003,-0.03600000000000003,0.6,0.62,0.58,0.040000000000000036,-0.040000000000000036,0.6,0.62,0.58,0.040000000000000036,-0.040000000000000036,350,500,200,300,-300
