Date,PowerShares Russell Top 200 Equal WeightEtf_Open_average,PowerShares Russell Top 200 Equal WeightEtf_Open_max,PowerShares Russell Top 200 Equal WeightEtf_Open_min,PowerShares Russell Top 200 Equal WeightEtf_Open_volatility,PowerShares Russell Top 200 Equal WeightEtf_Open_change,PowerShares Russell Top 200 Equal WeightEtf_High_average,PowerShares Russell Top 200 Equal WeightEtf_High_max,PowerShares Russell Top 200 Equal WeightEtf_High_min,PowerShares Russell Top 200 Equal WeightEtf_High_volatility,PowerShares Russell Top 200 Equal WeightEtf_High_change,PowerShares Russell Top 200 Equal WeightEtf_Low_average,PowerShares Russell Top 200 Equal WeightEtf_Low_max,PowerShares Russell Top 200 Equal WeightEtf_Low_min,PowerShares Russell Top 200 Equal WeightEtf_Low_volatility,PowerShares Russell Top 200 Equal WeightEtf_Low_change,PowerShares Russell Top 200 Equal WeightEtf_Close_average,PowerShares Russell Top 200 Equal WeightEtf_Close_max,PowerShares Russell Top 200 Equal WeightEtf_Close_min,PowerShares Russell Top 200 Equal WeightEtf_Close_volatility,PowerShares Russell Top 200 Equal WeightEtf_Close_change
2018-01-14,55.12,55.12,55.12,0.0,0.0,55.12,55.12,55.12,0.0,0.0,54.95,54.95,54.95,0.0,0.0,55.09,55.09,55.09,0.0,0.0
2018-01-21,56.0,56.0,56.0,0.0,0.0,56.2,56.2,56.2,0.0,0.0,55.88,55.88,55.88,0.0,0.0,56.2,56.2,56.2,0.0,0.0
2018-01-28,54.73,54.73,54.73,0.0,0.0,54.8,54.8,54.8,0.0,0.0,54.1,54.1,54.1,0.0,0.0,54.15,54.15,54.15,0.0,0.0
2018-02-04,51.48,51.48,51.48,0.0,0.0,51.48,51.48,51.48,0.0,0.0,50.03,50.03,50.03,0.0,0.0,50.93,50.93,50.93,0.0,0.0
2018-02-11,53.28,53.28,53.28,0.0,0.0,53.65,53.65,53.65,0.0,0.0,53.28,53.28,53.28,0.0,0.0,53.45,53.45,53.45,0.0,0.0
2018-02-18,52.95,52.95,52.95,0.0,0.0,53.54,53.54,53.54,0.0,0.0,52.95,52.95,52.95,0.0,0.0,53.54,53.54,53.54,0.0,0.0
2018-02-25,51.65,51.65,51.65,0.0,0.0,52.38,52.38,52.38,0.0,0.0,51.65,51.65,51.65,0.0,0.0,52.38,52.38,52.38,0.0,0.0
2018-03-04,53.56,53.56,53.56,0.0,0.0,54.02,54.02,54.02,0.0,0.0,53.56,53.56,53.56,0.0,0.0,53.94,53.94,53.94,0.0,0.0
2018-03-11,53.47,53.47,53.47,0.0,0.0,53.56,53.56,53.56,0.0,0.0,53.44,53.44,53.44,0.0,0.0,53.53,53.53,53.53,0.0,0.0
2018-03-18,51.92,51.92,51.92,0.0,0.0,51.92,51.92,51.92,0.0,0.0,50.75,50.75,50.75,0.0,0.0,50.75,50.75,50.75,0.0,0.0
2018-03-25,51.44,51.44,51.44,0.0,0.0,52.0,52.0,52.0,0.0,0.0,51.3,51.3,51.3,0.0,0.0,52.0,52.0,52.0,0.0,0.0
2018-04-01,51.59,51.59,51.59,0.0,0.0,51.59,51.59,51.59,0.0,0.0,50.81,50.81,50.81,0.0,0.0,51.08,51.08,51.08,0.0,0.0
2018-04-08,52.27,52.27,52.27,0.0,0.0,52.27,52.27,52.27,0.0,0.0,52.27,52.27,52.27,0.0,0.0,52.27,52.27,52.27,0.0,0.0
