Date,First Trust Low Duration OpportunitiesEtf_Open_average,First Trust Low Duration OpportunitiesEtf_Open_max,First Trust Low Duration OpportunitiesEtf_Open_min,First Trust Low Duration OpportunitiesEtf_Open_volatility,First Trust Low Duration OpportunitiesEtf_Open_change,First Trust Low Duration OpportunitiesEtf_High_average,First Trust Low Duration OpportunitiesEtf_High_max,First Trust Low Duration OpportunitiesEtf_High_min,First Trust Low Duration OpportunitiesEtf_High_volatility,First Trust Low Duration OpportunitiesEtf_High_change,First Trust Low Duration OpportunitiesEtf_Low_average,First Trust Low Duration OpportunitiesEtf_Low_max,First Trust Low Duration OpportunitiesEtf_Low_min,First Trust Low Duration OpportunitiesEtf_Low_volatility,First Trust Low Duration OpportunitiesEtf_Low_change,First Trust Low Duration OpportunitiesEtf_Close_average,First Trust Low Duration OpportunitiesEtf_Close_max,First Trust Low Duration OpportunitiesEtf_Close_min,First Trust Low Duration OpportunitiesEtf_Close_volatility,First Trust Low Duration OpportunitiesEtf_Close_change
2018-01-14,51.55,51.55,51.55,0.0,0.0,51.57,51.57,51.57,0.0,0.0,51.55,51.55,51.55,0.0,0.0,51.57,51.57,51.57,0.0,0.0
2018-01-21,51.56,51.56,51.56,0.0,0.0,51.56,51.56,51.56,0.0,0.0,51.51,51.51,51.51,0.0,0.0,51.53,51.53,51.53,0.0,0.0
2018-01-28,51.45,51.45,51.45,0.0,0.0,51.49,51.49,51.49,0.0,0.0,51.39,51.39,51.39,0.0,0.0,51.46,51.46,51.46,0.0,0.0
2018-02-04,51.67,51.67,51.67,0.0,0.0,51.67,51.67,51.67,0.0,0.0,51.46,51.46,51.46,0.0,0.0,51.58,51.58,51.58,0.0,0.0
2018-02-11,51.55,51.55,51.55,0.0,0.0,51.56,51.56,51.56,0.0,0.0,51.49,51.49,51.49,0.0,0.0,51.51,51.51,51.51,0.0,0.0
2018-02-18,51.33,51.33,51.33,0.0,0.0,51.43,51.43,51.43,0.0,0.0,51.32,51.32,51.32,0.0,0.0,51.41,51.41,51.41,0.0,0.0
2018-02-25,51.49,51.49,51.49,0.0,0.0,51.49,51.49,51.49,0.0,0.0,51.4,51.4,51.4,0.0,0.0,51.45,51.45,51.45,0.0,0.0
2018-03-04,51.44,51.44,51.44,0.0,0.0,51.51,51.51,51.51,0.0,0.0,51.37,51.37,51.37,0.0,0.0,51.4,51.4,51.4,0.0,0.0
2018-03-11,51.42,51.42,51.42,0.0,0.0,51.46,51.46,51.46,0.0,0.0,51.37,51.37,51.37,0.0,0.0,51.42,51.42,51.42,0.0,0.0
2018-03-18,51.44,51.44,51.44,0.0,0.0,51.44,51.44,51.44,0.0,0.0,51.28,51.28,51.28,0.0,0.0,51.29,51.29,51.29,0.0,0.0
2018-03-25,51.35,51.35,51.35,0.0,0.0,51.39,51.39,51.39,0.0,0.0,51.34,51.34,51.34,0.0,0.0,51.37,51.37,51.37,0.0,0.0
2018-04-01,51.42,51.42,51.42,0.0,0.0,51.46,51.46,51.46,0.0,0.0,51.4,51.4,51.4,0.0,0.0,51.43,51.43,51.43,0.0,0.0
2018-04-08,51.42,51.42,51.42,0.0,0.0,51.42,51.42,51.42,0.0,0.0,51.36,51.36,51.36,0.0,0.0,51.37,51.37,51.37,0.0,0.0
2018-04-15,51.23,51.23,51.23,0.0,0.0,51.23,51.23,51.23,0.0,0.0,51.17,51.17,51.17,0.0,0.0,51.19,51.19,51.19,0.0,0.0
2018-04-22,51.2,51.2,51.2,0.0,0.0,51.22,51.22,51.22,0.0,0.0,51.15,51.15,51.15,0.0,0.0,51.18,51.18,51.18,0.0,0.0
2018-04-29,51.25,51.25,51.25,0.0,0.0,51.3,51.3,51.3,0.0,0.0,51.22,51.22,51.22,0.0,0.0,51.26,51.26,51.26,0.0,0.0
2018-05-06,51.28,51.28,51.28,0.0,0.0,51.29,51.29,51.29,0.0,0.0,51.17,51.17,51.17,0.0,0.0,51.19,51.19,51.19,0.0,0.0
2018-05-13,51.15,51.15,51.15,0.0,0.0,51.2,51.2,51.2,0.0,0.0,51.13,51.13,51.13,0.0,0.0,51.19,51.19,51.19,0.0,0.0
2018-05-20,51.17,51.17,51.17,0.0,0.0,51.21,51.21,51.21,0.0,0.0,51.15,51.15,51.15,0.0,0.0,51.16,51.16,51.16,0.0,0.0
2018-05-27,51.22,51.22,51.22,0.0,0.0,51.24,51.24,51.24,0.0,0.0,51.15,51.15,51.15,0.0,0.0,51.19,51.19,51.19,0.0,0.0
2018-06-03,51.24,51.24,51.24,0.0,0.0,51.26,51.26,51.26,0.0,0.0,51.18,51.18,51.18,0.0,0.0,51.24,51.24,51.24,0.0,0.0
2018-06-10,51.23,51.23,51.23,0.0,0.0,51.24,51.24,51.24,0.0,0.0,51.2,51.2,51.2,0.0,0.0,51.21,51.21,51.21,0.0,0.0
2018-06-17,51.1,51.1,51.1,0.0,0.0,51.12,51.12,51.12,0.0,0.0,51.09,51.09,51.09,0.0,0.0,51.11,51.11,51.11,0.0,0.0
2018-06-24,51.17,51.17,51.17,0.0,0.0,51.19,51.19,51.19,0.0,0.0,51.12,51.12,51.12,0.0,0.0,51.17,51.17,51.17,0.0,0.0
2018-07-01,51.22,51.22,51.22,0.0,0.0,51.24,51.24,51.24,0.0,0.0,51.21,51.21,51.21,0.0,0.0,51.23,51.23,51.23,0.0,0.0
2018-07-08,51.22,51.22,51.22,0.0,0.0,51.23,51.23,51.23,0.0,0.0,51.18,51.18,51.18,0.0,0.0,51.21,51.21,51.21,0.0,0.0
2018-07-15,51.1,51.1,51.1,0.0,0.0,51.1,51.1,51.1,0.0,0.0,51.07,51.07,51.07,0.0,0.0,51.09,51.09,51.09,0.0,0.0
