Date,QUIK_stock_Open_average,QUIK_stock_Open_max,QUIK_stock_Open_min,QUIK_stock_Open_volatility,QUIK_stock_Open_change,QUIK_stock_High_average,QUIK_stock_High_max,QUIK_stock_High_min,QUIK_stock_High_volatility,QUIK_stock_High_change,QUIK_stock_Low_average,QUIK_stock_Low_max,QUIK_stock_Low_min,QUIK_stock_Low_volatility,QUIK_stock_Low_change,QUIK_stock_Close_average,QUIK_stock_Close_max,QUIK_stock_Close_min,QUIK_stock_Close_volatility,QUIK_stock_Close_change,QUIK_stock_Volume_average,QUIK_stock_Volume_max,QUIK_stock_Volume_min,QUIK_stock_Volume_volatility,QUIK_stock_Volume_change
2018-01-14,25.759999999999998,27.86,24.5,3.3599999999999994,2.66,27.37,29.96,25.34,4.620000000000001,3.219999999999999,24.8775,27.3,23.49,3.8100000000000023,3.5,26.215,27.86,24.36,3.5,3.3599999999999994,45866,96349,17049,79300,25251
2018-01-21,27.944,28.7,26.88,1.8200000000000003,0.5599999999999987,28.56,29.4,27.86,1.5399999999999991,0.6999999999999993,27.358,27.86,26.88,0.9800000000000004,0.41999999999999815,28.098,29.12,27.44,1.6799999999999997,1.4700000000000024,20392,29113,9531,19582,7404
2018-01-28,29.764,30.66,29.12,1.5399999999999991,-0.14000000000000057,30.462,31.07,29.4,1.6700000000000017,-1.2600000000000016,28.62,29.12,27.73,1.3900000000000006,-1.3900000000000006,29.68,30.66,28.7,1.9600000000000009,-1.4000000000000021,22743,29048,16537,12511,-10279
2018-02-04,27.663999999999998,28.7,26.46,2.2399999999999984,-1.8200000000000003,28.338,28.98,27.3,1.6799999999999997,-1.6799999999999997,26.152,26.74,25.34,1.3999999999999986,-1.2600000000000016,27.412,28.7,26.88,1.8200000000000003,0.0,23307,30719,17456,13263,9538
2018-02-11,27.132,28.0,26.04,1.9600000000000009,-1.120000000000001,28.184,30.37,26.69,3.6799999999999997,-0.75,26.348,27.72,25.2,2.5199999999999996,-0.4200000000000017,27.16,29.4,25.9,3.5,-0.6999999999999993,28772,63758,11273,52485,10747
2018-02-18,24.605,26.6,23.24,3.360000000000003,-2.9400000000000013,25.060000000000002,26.6,24.08,2.520000000000003,-1.9600000000000009,23.415,24.08,23.1,0.9799999999999969,-0.6999999999999993,23.975,24.64,23.38,1.2600000000000016,-0.14000000000000057,23404,37533,11113,26420,-26420
2018-02-25,23.323999999999998,24.64,22.4,2.240000000000002,-2.240000000000002,24.024,25.34,23.1,2.2399999999999984,-1.8200000000000003,22.582,23.31,21.84,1.4699999999999989,-1.1899999999999977,23.099999999999998,23.66,22.54,1.120000000000001,-0.14000000000000057,21722,36797,7809,28988,-19547
2018-03-04,23.323999999999998,24.78,22.54,2.240000000000002,0.0,24.314,25.76,23.3,2.460000000000001,-0.7000000000000028,22.792,23.1,22.4,0.7000000000000028,0.28000000000000114,23.38,24.78,22.4,2.3800000000000026,-1.120000000000001,15674,19549,12114,7435,3303
2018-03-11,23.352,23.94,22.68,1.2600000000000016,-1.120000000000001,23.492,23.94,22.96,0.9800000000000004,-0.7000000000000028,22.764,23.1,22.4,0.7000000000000028,-0.5600000000000023,23.156,23.66,22.75,0.9100000000000001,-0.4200000000000017,13210,13766,12073,1693,1528
2018-03-18,22.876,23.1,22.68,0.4200000000000017,0.0,23.072,23.38,22.82,0.5599999999999987,-0.14000000000000057,22.288,22.54,21.7,0.8399999999999999,-0.6999999999999993,22.708000000000002,23.1,22.26,0.8399999999999999,-0.8399999999999999,15402,29839,8144,21695,18780
