Date,iShares US Healthcare Providers_etf_Open_average,iShares US Healthcare Providers_etf_Open_max,iShares US Healthcare Providers_etf_Open_min,iShares US Healthcare Providers_etf_Open_volatility,iShares US Healthcare Providers_etf_Open_change,iShares US Healthcare Providers_etf_High_average,iShares US Healthcare Providers_etf_High_max,iShares US Healthcare Providers_etf_High_min,iShares US Healthcare Providers_etf_High_volatility,iShares US Healthcare Providers_etf_High_change,iShares US Healthcare Providers_etf_Low_average,iShares US Healthcare Providers_etf_Low_max,iShares US Healthcare Providers_etf_Low_min,iShares US Healthcare Providers_etf_Low_volatility,iShares US Healthcare Providers_etf_Low_change,iShares US Healthcare Providers_etf_Close_average,iShares US Healthcare Providers_etf_Close_max,iShares US Healthcare Providers_etf_Close_min,iShares US Healthcare Providers_etf_Close_volatility,iShares US Healthcare Providers_etf_Close_change
2018-01-14,166.67,166.67,166.67,0.0,0.0,167.64,167.64,167.64,0.0,0.0,166.15,166.15,166.15,0.0,0.0,167.64,167.64,167.64,0.0,0.0
2018-01-21,170.08,170.08,170.08,0.0,0.0,171.8,171.8,171.8,0.0,0.0,170.08,170.08,170.08,0.0,0.0,171.8,171.8,171.8,0.0,0.0
2018-01-28,165.62,165.62,165.62,0.0,0.0,165.76,165.76,165.76,0.0,0.0,163.52,163.52,163.52,0.0,0.0,163.55,163.55,163.55,0.0,0.0
2018-02-04,157.86,157.86,157.86,0.0,0.0,159.3,159.3,159.3,0.0,0.0,153.7,153.7,153.7,0.0,0.0,158.15,158.15,158.15,0.0,0.0
2018-02-11,160.72,160.72,160.72,0.0,0.0,162.9,162.9,162.9,0.0,0.0,160.72,160.72,160.72,0.0,0.0,162.41,162.41,162.41,0.0,0.0
2018-02-18,159.77,159.77,159.77,0.0,0.0,161.99,161.99,161.99,0.0,0.0,159.77,159.77,159.77,0.0,0.0,161.99,161.99,161.99,0.0,0.0
2018-02-25,158.99,158.99,158.99,0.0,0.0,162.42,162.42,162.42,0.0,0.0,158.92,158.92,158.92,0.0,0.0,162.32,162.32,162.32,0.0,0.0
2018-03-04,164.27,164.27,164.27,0.0,0.0,165.64,165.64,165.64,0.0,0.0,164.2,164.2,164.2,0.0,0.0,165.59,165.59,165.59,0.0,0.0
2018-03-11,163.91,163.91,163.91,0.0,0.0,164.62,164.62,164.62,0.0,0.0,163.39,163.39,163.39,0.0,0.0,163.5,163.5,163.5,0.0,0.0
2018-03-18,158.39,158.39,158.39,0.0,0.0,159.06,159.06,159.06,0.0,0.0,156.14,156.14,156.14,0.0,0.0,156.22,156.22,156.22,0.0,0.0
